name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalRevenue,"67,826,000,000","17,819,000,000","17,875,000,000","16,924,000,000","15,208,000,000","16,006,000,000","14,858,000,000","13,276,000,000","12,631,000,000","13,065,000,000","12,276,000,000","9,444,000,000","6,001,000,000","6,935,000,000","6,285,000,000","5,973,000,000","5,218,000,000","5,538,000,000","5,056,000,000","4,923,000,000","4,396,000,000","4,694,000,000","4,659,000,000","4,835,000,000","4,373,000,000","5,537,000,000","5,176,000,000","5,166,000,000","4,951,000,000","5,492,000,000","4,701,000,000","4,293,000,000","4,044,000,000","3,620,000,000","4,582,000,000","4,136,000,000","3,985,000,000","4,322,000,000","3,841,000,000","3,159,000,000","2,815,000,000","4,656,000,000","2,844,000,000","2,978,000,000","2,085,000,000","3,604,000,000","3,021,000,000","1,228,000,000","1,313,235,001.457","3,152,147,415.391","2,221,099,739.122","1,092,149,352.748","1,133,544,406.207","2,904,000,000","1,405,000,000","1,405,000,000","1,183,000,000","2,232,149,793.145","1,176,774,213.22","1,772,473,893.097","991,581,651.649","1,301,742,979.25","1,060,932,168.825","898,715,899.067","765,249,373.103","1,180,510,617.748","805,076,843.888","721,041,055.546","667,588,915.914","956,700,270.684","680,107,796.856","745,449,597.099","709,319,592.451","-5,404,109,099.987","2,010,316,958.782","2,218,060,651.47","2,037,699,338.198","2,422,204,007.035","2,050,621,420.394","2,330,105,496.405","238,566,563.399","341,452,989.644","198,838,938.674","220,875,939.003","213,064,079.047","336,547,625.734","203,494,950.54","257,146,900.143","276,793,096.865","262,097,805.09","247,932,627.045","71,982.471","95,227,221.538","1,195,157,208.518","1,124,597,328.586","1,098,937,051.329","1,078,225,068.966"
	OperatingRevenue,"58,799,000,000","15,273,000,000","15,648,000,000","14,845,000,000","13,033,000,000","16,006,000,000","14,858,000,000","13,276,000,000","12,631,000,000","13,065,000,000","12,276,000,000","9,444,000,000","6,001,000,000","6,935,000,000","6,285,000,000","5,973,000,000","5,218,000,000","5,538,000,000","5,056,000,000","4,923,000,000","4,396,000,000","4,694,000,000","4,659,000,000","4,835,000,000","4,373,000,000","5,537,000,000","5,176,000,000","5,166,000,000","4,951,000,000","5,492,000,000","4,701,000,000","4,293,000,000","4,044,000,000","3,620,000,000","4,582,000,000","4,136,000,000","3,985,000,000","4,322,000,000","3,841,000,000","3,159,000,000","2,815,000,000","4,656,000,000","2,844,000,000","2,978,000,000","2,085,000,000","3,604,000,000","3,021,000,000","1,228,000,000","1,313,235,001.457","3,152,147,415.391","2,221,099,739.122","854,551,961.484","872,649,264.91","-798,000,000","1,405,000,000","1,405,000,000","1,183,000,000","1,950,149,793.145","1,176,774,213.22","1,772,473,893.097","991,581,651.649","1,301,742,979.25","1,060,932,168.825","898,715,899.067","765,249,373.103","1,180,510,617.748","805,076,843.888","721,041,055.546","667,588,915.914","956,700,270.684","680,107,796.856","745,449,597.099","709,319,592.451","-5,404,109,099.987","2,010,316,958.782","2,218,060,651.47","2,037,699,338.198","2,422,204,007.035","2,050,621,420.394","2,330,105,496.405","238,566,563.399","341,452,989.644","198,838,938.674","220,875,939.003","213,064,079.047","336,547,625.734","203,494,950.54","257,146,900.143","276,793,096.865","262,097,805.09","247,932,627.045","71,982.471","95,227,221.538","1,195,157,208.518","1,124,597,328.586","1,098,937,051.329","1,078,225,068.966"
CostOfRevenue,"52,728,000,000","13,848,000,000","13,910,000,000","13,385,000,000","11,585,000,000","12,680,000,000","11,967,000,000","10,781,000,000","10,091,000,000","10,635,000,000","10,034,000,000","7,332,000,000","4,387,000,000","5,150,000,000","4,590,000,000","4,330,000,000","3,648,000,000","4,092,000,000","3,740,000,000","3,595,000,000","3,006,000,000","3,432,000,000","3,467,000,000","3,229,000,000","2,990,000,000","3,672,000,000","3,230,000,000","3,606,000,000","3,420,000,000","5,446,000,000","3,121,000,000","1,487,000,000","2,369,000,000","2,524,000,000","3,591,000,000","3,004,000,000","2,778,000,000","4,254,000,000","2,632,000,000","2,343,000,000","1,778,000,000","2,564,000,000","2,091,000,000","1,852,000,000","1,325,000,000","1,740,000,000","2,038,000,000",,,"2,119,623,764.102","1,559,474,264.706",,,,"794,000,000","853,000,000","672,000,000","1,090,936,493.356","805,161,303.918","1,301,550,925.684","509,784,921.881","634,699,280.045","713,282,079.623","463,369,110.234","447,145,712.39","607,522,176.206","502,423,886.789","437,237,691.725","390,344,343.839","660,228,412.584","367,058,179.011","461,659,134.191","407,609,004.953","-5,207,698,945.423","1,815,189,130.628","2,034,138,542.451","1,831,628,614.848","2,197,270,894.693","1,655,501,683.307","2,239,179,424.096","98,820,459.333",,,,,,,,,,,,,,,,
GrossProfit,"15,098,000,000","3,971,000,000","3,965,000,000","3,539,000,000","3,623,000,000","3,326,000,000","2,891,000,000","2,495,000,000","2,540,000,000","2,430,000,000","2,242,000,000","2,112,000,000","1,614,000,000","1,785,000,000","1,695,000,000","1,643,000,000","1,570,000,000","1,446,000,000","1,316,000,000","1,328,000,000","1,390,000,000","1,262,000,000","1,192,000,000","1,606,000,000","1,383,000,000","1,865,000,000","1,946,000,000","1,560,000,000","1,531,000,000","46,000,000","1,580,000,000","2,806,000,000","1,675,000,000","1,096,000,000","991,000,000","1,132,000,000","1,207,000,000","68,000,000","1,209,000,000","816,000,000","1,037,000,000","2,092,000,000","753,000,000","1,126,000,000","760,000,000","1,864,000,000","983,000,000",,,"1,032,523,651.289","661,625,474.416",,,,"611,000,000","552,000,000","511,000,000","1,141,213,299.789","371,612,909.302","470,922,967.413","481,796,729.768","667,043,699.205","347,650,089.201","435,346,788.833","318,103,660.713","572,988,441.542","302,652,957.099","283,803,363.821","277,244,572.075","296,471,858.1","313,049,617.844","283,790,462.908","301,710,587.498","-196,410,154.564","195,127,828.155","183,922,109.019","206,070,723.35","224,933,112.342","395,119,737.087","90,926,072.309","139,746,104.066",,,,,,,,,,,,,,,,
OperatingExpense,"4,876,000,000","1,309,000,000","1,299,000,000","1,234,000,000","1,034,000,000","927,000,000","833,000,000","672,000,000","670,000,000","590,000,000","643,000,000","613,000,000","499,000,000","482,000,000","541,000,000","516,000,000","481,000,000","430,000,000","436,000,000","428,000,000","401,000,000","370,000,000","353,000,000","371,000,000","376,000,000","360,000,000","357,000,000","373,000,000","365,000,000","-16,000,000","455,000,000","406,000,000","418,000,000","454,000,000","343,000,000","349,000,000","336,000,000","336,000,000","287,000,000","317,000,000","272,000,000","907,000,000","248,000,000","466,000,000","281,000,000","596,000,000","470,000,000","476,000,000","478,721,130.866","433,994,131.749","358,338,759.065","371,370,712.071","332,866,214.459","341,000,000","206,000,000","211,000,000","175,000,000","780,875,131.811","-68,928,201.092","-78,153,172.958","103,956,141.192","541,790,857.841","-95,903,472.911","85,067,763.809","-46,014,995.195","317,907,226.162","-27,967,930.068","-23,065,291.244","-30,026,488.302","48,924,642.841","1,000,158.785","-14,988,933.07","-12,987,541.539","-256,190,673.433","94,061,619.531","91,961,054.509","105,036,048.223","119,967,641.573","281,085,180.378","1,998,374.911",,"121,794,495.06","75,938,489.248","85,564,552.935","102,030,685.629","128,167,291.475","98,238,941.369","150,085,739.568","159,880,489.609","173,487,882.149","116,968,214.854",,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160,000,000","128,000,000","119,000,000","121,000,000","129,000,000","119,000,000","118,000,000","115,000,000","121,000,000","94,000,000","109,000,000","93,000,000","119,000,000","87,000,000","166,000,000","96,000,000","189,000,000","157,000,000","148,000,000","164,903,938.599","140,694,359.388","108,102,195.81","104,822,378.581","109,955,806.172","108,000,000","70,000,000","84,000,000","35,000,000",,,,"26,988,613.706","30,053,290.94","21,977,878.829","29,023,119.506","26,008,475.313","39,056,122.381","15,981,674.642","19,053,936.213","14,012,360.844","17,976,253.56","12,001,902.272",,,"-280,188,709.84","94,061,619.531","91,961,054.509","105,036,048.223","119,967,641.573","281,085,180.378","1,998,374.911",,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"4,876,000,000","1,309,000,000","1,299,000,000","1,234,000,000","1,034,000,000","927,000,000","833,000,000","672,000,000","670,000,000","590,000,000","643,000,000","613,000,000","499,000,000","482,000,000","541,000,000","516,000,000","481,000,000","430,000,000","436,000,000","428,000,000","401,000,000","370,000,000","353,000,000","371,000,000","376,000,000","360,000,000","357,000,000","373,000,000","365,000,000","352,000,000","327,000,000","287,000,000","297,000,000","228,000,000","224,000,000","231,000,000","221,000,000","215,000,000","193,000,000","208,000,000","179,000,000","792,000,000","161,000,000","300,000,000","185,000,000","414,000,000","313,000,000","328,000,000","313,817,192.267","293,299,771.354","250,236,563.255","266,548,333.49","222,910,407.42","233,000,000","136,000,000","127,000,000","104,000,000","141,242,452.157","87,908,429.88","92,180,665.937","76,967,527.486","79,172,944.6","59,939,670.47","56,044,644.304","56,018,254.755","40,124,843.77","37,956,476.626","36,102,194.539","35,030,902.451","30,948,389.281","30,004,755.994","31,976,390.373","27,973,166.97",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"4,876,000,000","1,309,000,000","1,299,000,000","1,234,000,000","1,034,000,000","927,000,000","833,000,000","672,000,000","670,000,000","590,000,000","643,000,000","613,000,000","499,000,000","482,000,000","541,000,000","516,000,000","481,000,000","430,000,000","436,000,000","428,000,000","401,000,000","370,000,000","353,000,000","371,000,000","376,000,000","360,000,000","357,000,000","373,000,000","365,000,000","352,000,000","327,000,000","287,000,000","297,000,000","228,000,000","224,000,000","231,000,000","221,000,000","215,000,000","193,000,000","208,000,000","179,000,000",,"161,000,000","300,000,000","185,000,000","414,000,000","313,000,000","328,000,000","313,817,192.267","293,299,771.354","250,236,563.255","266,548,333.49","222,910,407.42","233,000,000","136,000,000","127,000,000","104,000,000","141,242,452.157","87,908,429.88","92,180,665.937","76,967,527.486","79,172,944.6","59,939,670.47","56,044,644.304","56,018,254.755","40,124,843.77","37,956,476.626","36,102,194.539","35,030,902.451","30,948,389.281","30,004,755.994","31,976,390.373","27,973,166.97",,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.867",,,,"36,000,000",,"-156,836,630.972","-170,333,838.895",,,"-177,821,022.209",,"-128,041,725.263",,"-81,906,081.336","-78,221,421.996","-79,069,751.598",,"-41,006,499.48","-46,965,323.442","-40,960,708.508",,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"10,222,000,000","2,662,000,000","2,666,000,000","2,305,000,000","2,589,000,000","2,399,000,000","2,058,000,000","1,823,000,000","1,870,000,000","1,840,000,000","1,599,000,000","1,499,000,000","1,115,000,000","1,303,000,000","1,154,000,000","1,127,000,000","1,089,000,000","1,016,000,000","880,000,000","900,000,000","989,000,000","892,000,000","839,000,000","1,235,000,000","1,007,000,000","1,505,000,000","1,589,000,000","1,187,000,000","1,166,000,000","62,000,000","1,125,000,000","2,400,000,000","1,257,000,000","642,000,000","648,000,000","783,000,000","871,000,000","-268,000,000","922,000,000","499,000,000","765,000,000","1,185,000,000","505,000,000","660,000,000","479,000,000","1,268,000,000","513,000,000","752,000,000","834,513,870.592","598,529,519.541","303,286,715.351","720,778,640.676","800,678,191.748","4,826,000,000","405,000,000","341,000,000","336,000,000","360,338,167.978","440,541,110.394","549,076,140.371","377,840,588.576","125,252,841.364","443,553,562.112","350,279,025.023","364,118,655.908","255,081,215.38","330,620,887.167","306,868,655.065","307,271,060.377","247,547,215.259","312,049,459.059","298,779,395.978","314,698,129.036","59,780,518.869","101,066,208.624","91,961,054.509","101,034,675.127","104,965,470.769","114,034,556.709","88,927,697.397","139,746,104.066","219,658,494.584","122,900,449.426","135,311,386.068","111,033,393.418","208,380,334.26","105,256,009.171","107,061,160.575","116,912,607.256","88,609,922.941","130,964,412.191","71,982.471","95,227,221.538","1,195,157,208.518","1,124,597,328.586","1,098,937,051.329","1,078,225,068.966"
