name,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003
MarketCap,"4,386,265,699","6,272,546,048","4,093,033,560","5,403,462,600","4,615,256,070","3,694,347,030","2,810,001,671","2,488,508,961","1,209,456,560","1,061,413,400","1,019,436,200","951,272,620","337,557,285","647,236,480","692,132,670","453,036,200","593,357,800","315,188,382"
EnterpriseValue,"7,195,823,699","9,339,006,048","5,708,651,560","6,208,699,600","5,193,437,070","4,118,395,030","3,671,709,671","2,567,924,961","1,305,110,560","1,360,847,400","1,355,716,200","1,196,137,620","742,673,285","975,783,480","749,781,670","441,116,200","647,650,800","295,196,382"
PeRatio,"8.185","13.799","11.634","18.48","22.017","18.412","16.809","21.205","8.276","7.194","8.791","10.931","4.489","10.705","14.106","12.323","13.806","24.569"
ForwardPeRatio,"26.81","9.183",,"13.947","15.625","13.495","10.858","13.947","7.148","7.123","8.292",,,,,,,
PegRatio,"2.68","0.765",,"0.436",,,"0.897","1.153","0.591","0.375","0.829",,,,,,,
PsRatio,"0.183","0.266","0.163","0.346","0.336","0.272","0.211","0.237","0.122","0.104","0.119","0.125","0.046","0.096","0.115","0.086","0.121","0.183"
PbRatio,"1.138","1.731","1.759","2.437","2.395","2.112","1.712","1.802","0.917","0.916","1.027","1.162","0.504","1.071","1.353","1.036","1.605","1.334"
EnterprisesValueRevenueRatio,"0.303","0.393","0.285","0.364","0.369","0.309","0.265","0.237","0.127","0.131","0.157","0.155","0.096","0.139","0.118","0.078","0.122","0.072"
EnterprisesValueEBITDARatio,"5.981","7.875","7.353","9.283","10.368","8.991","9.175","9.68","4.667","4.845","6.248","6.942","4.353","7.629","6.877","5.029","7.459","4.522"
