name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalRevenue,"7,295,959,000","7,400,806,000","7,175,267,000","6,313,690,000","5,830,113,000","5,165,493,000","4,449,508,000","4,216,250,000","3,189,154,000","2,663,906,000","3,051,958,000","2,743,848,000","3,693,039,000","5,129,342,000","6,134,124,000","5,275,097,000","4,250,158,000","3,677,564,000","3,126,125,000","2,623,752,000","2,317,220,000","2,006,600,000","1,559,800,000","1,154,000,000","1,069,900,000","869,100,000","846,000,000"
	OperatingRevenue,"7,295,959,000","7,400,806,000","7,175,267,000","6,313,690,000","5,830,113,000","5,165,493,000","4,449,508,000","4,216,250,000","3,189,154,000","2,663,906,000","3,051,958,000","2,743,848,000","3,693,039,000","5,129,342,000","6,134,124,000","5,184,044,000","4,250,158,000","3,677,564,000","3,126,125,000","2,623,752,000","2,317,220,000","2,006,600,000","1,559,800,000","1,154,000,000","1,069,900,000","869,100,000","846,000,000"
CostOfRevenue,"5,806,894,000","5,850,907,000","5,693,172,000","4,991,526,000","4,708,947,000","4,119,423,000","3,569,135,000","3,424,749,000","2,576,185,000","2,165,625,000","2,438,292,000","2,185,733,000","3,181,010,000","4,227,059,000","4,701,265,000","3,738,030,000","3,156,286,000","2,711,861,000","2,335,369,000","2,002,290,000","1,828,725,000","1,604,900,000","1,269,000,000","990,300,000","899,000,000","736,200,000","710,800,000"
GrossProfit,"1,489,065,000","1,549,899,000","1,482,095,000","1,322,164,000","1,121,166,000","1,046,070,000","880,373,000","791,501,000","612,969,000","498,281,000","613,666,000","558,115,000","512,029,000","902,283,000","1,432,859,000","1,537,067,000","1,093,872,000","965,703,000","790,756,000","621,462,000","488,495,000","401,700,000","290,800,000","163,700,000","170,900,000","132,900,000","135,200,000"
OperatingExpense,"495,946,000","499,769,000","498,327,000","452,216,000","438,848,000","419,940,000","404,236,000","350,965,000","330,909,000","294,515,000","290,655,000","260,626,000","340,318,000","403,557,000","516,598,000","436,578,000","260,795,000","305,228,000","288,354,000","245,824,000","200,285,000","195,500,000","156,700,000","124,100,000","110,100,000","104,700,000","99,000,000"
	SellingGeneralAndAdministration,"523,291,000","527,405,000","512,712,000","460,800,000","443,320,000","424,009,000","407,867,000","355,623,000","334,959,000","294,515,000","290,655,000","260,626,000","340,318,000","376,025,000","471,307,000","377,080,000","286,388,000","255,789,000","250,018,000","204,876,000","186,445,000","180,800,000","143,300,000","110,800,000","94,700,000","89,900,000","85,200,000"
		GeneralAndAdministrativeExpense,"523,291,000","527,405,000","512,712,000","460,800,000","443,320,000","424,009,000","407,867,000","355,623,000","334,959,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"523,291,000","527,405,000","512,712,000","460,800,000","443,320,000","424,009,000","407,867,000","355,623,000","334,959,000",,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,"8,342,000","13,840,000","14,700,000","13,400,000","13,300,000","15,400,000","14,800,000","13,800,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,"8,342,000","13,840,000","14,700,000","13,400,000","13,300,000","15,400,000","14,800,000","13,800,000"
			Amortization,,,,,,,,,,,,,,,,,,,,"8,342,000",,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,"8,342,000",,,,,,,
	OtherOperatingExpenses,"-27,345,000","-27,636,000","-14,385,000","-8,584,000","-4,472,000","-4,069,000","-3,631,000","-4,658,000","-4,050,000",,,,,"27,532,000","45,291,000","59,498,000","-25,593,000","49,439,000","38,336,000","32,606,000",,,,,,,
OperatingIncome,"993,119,000","1,050,130,000","983,768,000","869,948,000","682,318,000","626,130,000","476,137,000","440,536,000","282,060,000","203,766,000","323,011,000","297,489,000","171,711,000","498,726,000","916,261,000","1,100,489,000","833,077,000","660,475,000","502,402,000","375,638,000","288,210,000","206,200,000","134,100,000","39,600,000","60,800,000","28,200,000","36,200,000"
NetNonOperatingInterestIncomeExpense,"-24,556,000","-24,335,000","-24,036,000","-23,037,000","-20,621,000","-22,918,000","-22,591,000","-21,840,000","-6,983,000","3,810,000","-618,000","-8,401,000","-9,701,000",,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,"5,702,000","5,411,000","2,979,000","3,955,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"24,556,000","24,335,000","24,036,000","23,037,000","20,621,000","22,918,000","22,591,000","21,840,000","6,983,000","1,892,000","6,029,000","11,380,000","13,656,000",,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,,,,,,,,"-11,686,000","22,178,000","14,943,000","86,039,000","73,294,000","-4,093,000","3,965,000",,"-5,726,000",,,"34,300,000","6,700,000","32,700,000","22,900,000"
	SpecialIncomeCharges,,,,,,,,,,,,"0","-11,686,000","22,178,000","14,943,000","86,039,000","73,294,000","-4,093,000","3,965,000",,"-5,726,000",,,"34,300,000","6,700,000","32,700,000","22,900,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,,,"0","11,686,000",,,,,,,,,,,,,,
PretaxIncome,"968,563,000","1,025,795,000","959,732,000","846,911,000","661,697,000","603,212,000","453,546,000","418,696,000","275,077,000","207,576,000","322,393,000","298,414,000","167,455,000","539,505,000","962,971,000","1,144,419,000","872,005,000","696,172,000","536,023,000","394,658,000","266,854,000","185,200,000","110,400,000","53,900,000","48,700,000","33,400,000","22,100,000"
TaxProvision,"102,727,000","147,256,000","162,535,000","309,390,000","236,435,000","220,285,000","171,916,000","152,219,000","94,489,000","78,156,000","116,388,000","106,234,000","66,563,000","205,550,000","375,559,000","446,860,000","348,801,000","276,381,000","204,553,000","157,864,000","108,608,000","76,300,000","44,300,000","25,000,000","22,900,000","17,000,000","13,100,000"
NetIncomeCommonStockholders,"865,836,000","878,539,000","797,197,000","537,521,000","425,262,000","382,927,000","281,630,000","266,477,000","180,588,000","129,420,000","206,005,000","192,180,000","100,892,000","333,955,000","587,412,000","697,559,000","523,204,000","419,791,000","331,470,000","236,794,000","158,246,000","108,900,000","56,700,000","28,900,000","25,800,000","17,300,000","10,400,000"
