name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalAssets,"38,312,550,000","36,725,194,000","36,218,704,000","36,263,289,000","35,930,100,000","34,951,377,000","34,480,000,000","33,718,427,000","33,162,377,000","33,707,184,000","32,044,557,000","31,080,336,000","30,434,209,000","30,497,583,000","29,770,220,000","29,183,942,000","28,947,657,000","28,414,324,000","27,946,201,000","27,398,453,000","25,618,142,000","25,494,683,000","25,065,978,000","24,434,204,000","23,111,445,000","22,166,115,000","21,842,993,000","21,438,746,000","21,211,554,000","19,908,825,000","19,538,925,000","19,350,024,000","19,121,663,000","18,900,644,000","18,601,980,000","18,206,241,000","17,859,432,000","14,658,868,000","14,063,158,000","13,854,965,000","13,833,496,000","13,761,846,000","13,315,213,000","13,188,444,000","13,253,626,000","13,083,881,000","12,734,862,000","12,555,438,000","12,360,017,000","12,052,242,880","11,571,496,596","11,419,832,886","11,934,623,000","11,457,804,202","11,069,134,538","11,008,953,268.8","10,945,744,000","10,319,259,883.95","10,136,486,069.5","10,046,450,232","9,879,281,000","9,670,152,945","9,420,826,240","9,257,529,875","9,222,573,000","9,071,496,945","8,773,258,550","8,748,336,408","8,547,177,000","9,661,907,200","9,474,862,465","8,964,681,264","8,687,315,954.5","8,559,419,837.5","8,236,392,945","8,138,532,556","10,366,141,500","7,920,752,880","7,854,085,940","7,831,132,750","9,538,575,110","7,588,992,000","7,452,939,000","7,388,432,000"
	CurrentAssets,"7,909,196,000","6,748,404,000","6,612,373,000","6,800,453,000","6,677,846,000","5,626,758,000","6,072,795,000","6,008,435,000","5,701,834,000","6,180,714,000","5,298,220,000","4,623,842,000","4,402,990,000","4,881,893,000","4,512,404,000","5,951,158,000","6,933,397,000","6,720,226,000","6,869,865,000","6,437,135,000","5,218,176,000","5,409,291,000","5,704,523,000","5,591,745,000","4,680,284,000","4,634,676,000","4,884,296,000","4,846,388,000","4,699,255,000","3,538,245,000","3,412,108,000","3,582,426,000","3,702,013,000","4,176,943,000","4,257,507,000","4,161,095,000","4,157,790,000","3,936,871,000","3,516,167,000","3,700,425,000","3,827,745,000","3,843,002,000","3,520,187,000","3,539,576,000","3,573,153,000","3,532,869,000","3,251,020,000","3,160,301,000","3,162,410,000","2,969,340,480","2,707,066,188","2,622,294,774","3,013,633,000","2,325,069,357","2,048,308,963.25","2,466,828,293.8","2,472,323,000","2,227,095,264.15","1,945,857,108","1,820,006,441.5","1,633,077,000","1,779,901,899","1,553,752,512","1,428,860,125","1,391,141,000","1,334,866,812.5","1,131,117,595","1,095,999,432","1,031,259,000","1,465,788,610","1,439,496,799","1,210,297,368","963,222,034.5","1,054,225,273.5","885,157,446","853,095,892","770,415,750","840,070,400","761,990,090","839,618,500","727,721,360","693,696,000","634,722,000","686,280,000"
		CashCashEquivalentsAndShortTermInvestments,"3,300,409,000","2,487,617,000","2,430,629,000","2,625,425,000","2,494,455,000","1,267,333,000","2,039,246,000","2,025,785,000","1,213,025,000","1,611,875,000","1,647,013,000","1,200,404,000","1,284,471,000","1,754,930,000","1,220,801,000","1,882,457,000","2,797,760,000","2,452,370,000","2,869,151,000","2,415,911,000","1,808,544,000","2,347,296,000","2,492,984,000","1,604,159,000","2,130,854,000","2,040,999,000","2,048,650,000","1,707,093,000","2,118,638,000","1,218,597,000","1,132,123,000","1,323,542,000","1,631,144,000","2,017,621,000","2,209,906,000","2,316,437,000","2,328,511,000","1,878,157,000","1,482,009,000","1,698,934,000","1,696,152,000","1,808,059,000","1,623,679,000","1,665,575,000","1,813,576,000","1,832,804,000","1,587,994,000","1,505,720,000","1,540,871,000","1,372,264,640","1,107,906,462","1,091,743,554","1,504,004,000","917,314,801","691,142,416.25","1,153,949,566.2","1,131,766,000","813,528,240.3","579,077,584","503,458,754.5","519,236,000","469,413,492","363,782,911","346,692,610","348,881,000","502,979,630","364,397,428","229,350,000","199,919,000","406,783,850","540,788,308.5","216,320,244","164,734,029","337,099,885.5","330,969,826","302,753,737","224,076,450","321,527,120","292,523,150","314,476,750","181,561,100","293,568,000","228,684,000","261,096,000"
			CashAndCashEquivalents,"2,941,727,000","2,026,390,000","1,906,712,000","2,053,970,000","1,948,409,000","857,862,000","1,704,148,000","1,697,463,000","1,040,075,000","1,305,400,000","1,423,948,000","945,591,000","982,073,000","1,417,706,000","828,317,000","1,160,439,000","1,480,727,000","831,568,000","867,805,000","1,132,473,000","740,131,000","1,790,122,000","2,063,537,000","1,384,692,000","1,741,632,000","1,531,816,000","1,570,383,000","1,206,096,000","1,483,137,000","749,520,000","673,765,000","820,998,000","1,049,125,000","1,490,455,000","1,676,318,000","1,791,920,000","1,794,416,000","1,867,236,000","1,476,519,000","1,695,486,000","1,696,152,000","1,713,933,000","1,531,582,000","1,594,217,000","1,813,576,000","42,378,000","1,587,994,000","1,505,720,000","1,540,871,000","1,372,264,640","1,107,906,462","1,091,743,554","1,504,004,000","917,314,801","691,142,416.25","1,153,949,566.2","1,131,766,000","813,528,240.3","579,077,584","503,458,754.5","519,236,000","469,413,492","363,782,911","346,692,610","348,881,000","502,979,630","364,397,428","229,350,000","199,919,000","406,783,850","540,788,308.5","216,320,244","164,734,029","337,099,885.5","330,969,826","302,753,737","224,076,450","321,527,120","292,523,150","314,476,750","181,561,100","293,568,000","228,684,000","261,096,000"
				CashFinancial,"263,188,000",,,"196,115,000","167,728,000","217,542,000",,"135,680,000","157,470,000","147,154,000","108,178,000","118,476,000","173,020,000","216,347,000","156,513,000","163,960,000","167,724,000",,"177,940,000",,"152,373,000","147,606,000",,,"130,311,000",,,,"94,189,000",,,,,,,,,,,,,,,,,"1,832,804,000","1,587,994,000","1,505,720,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"2,678,539,000",,,"1,857,855,000","1,780,681,000","640,320,000",,"1,561,783,000","882,605,000","1,158,246,000","1,315,770,000","827,115,000","809,053,000","1,201,359,000","671,804,000","996,479,000","1,313,003,000",,"689,865,000",,"587,758,000","1,642,516,000",,,"1,611,321,000",,,,"1,388,948,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"358,682,000","461,227,000","523,917,000","571,455,000","546,046,000","409,471,000","335,098,000","328,322,000","172,950,000","306,475,000","223,065,000","254,813,000","302,398,000","337,224,000","392,484,000","722,018,000","1,317,033,000","1,620,802,000","2,001,346,000","1,283,438,000","1,068,413,000","557,174,000","429,447,000","219,467,000","389,222,000","509,183,000","478,267,000","500,997,000","635,501,000","469,077,000","458,358,000","502,544,000","582,019,000","527,166,000","533,588,000","524,517,000","534,095,000","10,921,000","5,490,000","3,448,000",,"94,126,000","92,097,000","71,358,000",,"1,790,426,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"4,225,399,000","3,893,999,000","3,783,287,000","3,767,461,000","3,835,208,000","3,948,868,000","3,667,221,000","3,629,580,000","4,111,902,000","4,229,893,000","3,412,708,000","3,217,845,000","2,947,492,000","2,945,201,000","3,108,479,000","3,767,615,000","3,841,674,000","4,003,178,000","3,742,261,000","3,744,806,000","3,130,801,000","2,797,674,000","2,942,953,000","3,747,710,000","2,302,746,000","2,352,178,000","2,568,909,000","2,869,834,000","2,338,062,000","2,109,463,000","2,084,246,000","2,068,062,000","1,893,949,000","1,955,134,000","1,710,821,000","1,706,485,000","1,579,996,000","1,739,370,000","1,320,632,000","1,583,894,000","1,154,449,000","1,269,540,000","1,174,176,000","1,179,868,000","1,097,442,000","1,642,703,000","70,834,000","1,607,782,000","1,080,962,000","1,549,005,840","1,548,344,142","967,481,790","1,117,936,000","1,014,820,924","1,102,230,882.5","1,268,398,792.4","997,092,000","968,494,992.75","901,615,977","851,211,822.5","811,414,000","1,283,270,727","1,161,963,430","1,058,206,215","729,551,000","584,282,160","583,838,631","583,646,544","678,807,000","735,940,205","739,029,181.5","736,036,364","591,663,598","548,988,037.5","462,167,902","451,147,730","448,581,900","423,676,560","331,979,340","328,497,750","319,711,160","292,992,000","273,996,000","253,356,000"
			AccountsReceivable,"3,179,010,000","3,095,418,000","2,928,731,000","2,960,512,000","2,997,268,000","3,210,671,000","2,774,017,000","2,667,873,000","2,882,984,000","2,806,096,000","2,590,278,000","2,545,604,000","2,282,950,000","2,316,270,000","2,565,391,000","3,161,518,000","3,041,989,000","2,988,368,000","2,688,465,000","2,769,806,000","2,186,246,000","1,907,004,000","1,854,090,000","2,011,847,000","1,342,024,000","1,360,312,000","1,280,990,000","1,708,594,000","1,574,535,000","1,571,845,000","1,490,924,000","1,470,130,000","1,368,366,000","1,509,468,000","1,414,535,000","1,234,958,000","1,162,627,000","1,289,647,000","1,113,049,000","1,108,549,000","1,117,858,000","1,124,112,000","978,862,000","1,044,176,000","976,668,000","981,168,000",,,"1,078,195,000","1,001,592,960","1,042,127,784","965,499,216","986,978,000","945,364,121","886,214,925.75","929,552,938.2","885,985,000","966,342,213.9","899,452,843","848,335,325.5","768,623,000","805,000,053","1,116,171,188","1,010,030,010","651,828,000","584,282,160","570,824,847","583,646,544","525,823,000","735,940,205","726,715,021.5","724,151,428","591,663,598","533,699,425","452,532,668","444,687,903","448,581,900",,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,032,952,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
