name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"2,683,071,000","2,547,804,000","2,685,157,000","2,336,135,000","2,024,382,000","2,118,598,000","2,309,726,000","676,465,000","563,041,000","337,854,000","247,354,000","152,222,757","130,639,780"
	CurrentAssets,"407,479,000","363,031,000","395,851,000","277,069,000","203,596,000","259,672,000","374,497,000","135,989,000","149,508,000","101,063,000","23,354,000","46,908,697","105,279,063"
		CashCashEquivalentsAndShortTermInvestments,"140,596,000","102,752,000","147,468,000","144,671,000","85,143,000","132,564,000","252,736,000","67,949,000","102,292,000","70,495,000","3,293,000","46,280,723","98,982,803"
			CashAndCashEquivalents,"140,596,000","102,752,000","147,468,000","144,671,000","85,143,000","132,564,000","252,736,000","67,949,000","102,292,000","70,012,000","2,924,000","13,232,670","98,982,803"
			OtherShortTermInvestments,,,,,,,,,"0","483,000","369,000","33,048,053",
		Receivables,"48,960,000","26,308,000","41,938,000","27,707,000","32,129,000","31,117,000","46,096,000","26,432,000","20,521,000","11,130,000","9,798,000","544,559","3,146,435"
			AccountsReceivable,"37,890,000","12,651,000","20,603,000","10,723,000","11,532,000","14,446,000","26,273,000","7,695,000","6,372,000","5,605,000","8,098,000","544,559","1,078,579"
			LoansReceivable,,,,,,,,,,,,,"2,067,856"
			NotesReceivable,,,,,,,,,"0","0","1,700,000",,
			TaxesReceivable,"11,070,000","13,657,000","21,335,000","16,984,000","20,597,000","16,671,000","19,823,000","18,737,000","14,149,000","5,525,000",,,
		Inventory,"217,923,000","233,971,000","206,445,000","104,691,000","86,324,000","95,991,000","75,665,000","41,608,000","26,695,000","19,438,000","10,263,000",,
			RawMaterials,"161,142,000","182,574,000","147,065,000","75,106,000","61,268,000","59,690,000","44,144,000","25,926,000","15,344,000","10,833,000","8,211,000",,
			WorkInProcess,"10,297,000","16,345,000","11,464,000","8,365,000","10,783,000","9,379,000","8,471,000","4,128,000","2,753,000","2,696,000","1,781,000",,
			FinishedGoods,"46,484,000","35,052,000","47,916,000","21,220,000","14,273,000","26,922,000","23,050,000","11,554,000","8,598,000","5,909,000","271,000",,
			OtherInventories,,,,,,,,,,"8,605,000","2,052,000",,
		PrepaidAssets,,,,,,,,,,,,"83,415","104,200"
		OtherCurrentAssets,,,,,,,,,,,,,"3,045,625"
	TotalNonCurrentAssets,"2,275,592,000","2,184,773,000","2,289,306,000","2,059,066,000","1,820,786,000","1,858,926,000","1,935,229,000","540,476,000","413,533,000","236,791,000","224,000,000","105,314,060","25,360,718"
