name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalRevenue,"2,445,000,000","2,445,000,000","2,229,000,000","1,333,000,000","900,000,000","1,470,000,000","3,059,000,000","2,885,000,000","3,111,000,000","3,959,000,000","4,034,000,000","3,681,000,000"
	OperatingRevenue,"2,441,000,000","2,441,000,000","2,229,000,000","1,332,000,000","899,000,000","1,461,000,000","3,051,000,000","2,863,000,000","3,103,000,000","3,959,000,000","4,007,000,000","3,663,000,000"
CostOfRevenue,"1,274,000,000","1,274,000,000","1,066,000,000","794,000,000","907,000,000","1,484,000,000","2,125,000,000","2,304,000,000","2,468,000,000","2,112,000,000","2,024,000,000","1,714,000,000"
GrossProfit,"1,171,000,000","1,171,000,000","1,163,000,000","539,000,000","-7,000,000","-14,000,000","934,000,000","581,000,000","643,000,000","1,847,000,000","2,010,000,000","1,967,000,000"
OperatingExpense,"853,000,000","853,000,000","686,000,000","595,000,000","479,000,000","655,000,000","814,000,000","1,169,000,000","764,000,000","1,664,000,000","1,182,000,000","1,225,000,000"
	SellingGeneralAndAdministration,"580,000,000","580,000,000","454,000,000","392,000,000","377,000,000","469,000,000","515,000,000","597,000,000","570,000,000","285,000,000","253,000,000","251,000,000"
		GeneralAndAdministrativeExpense,"580,000,000","580,000,000","454,000,000","392,000,000","377,000,000","469,000,000","515,000,000","597,000,000","570,000,000",,,
			SalariesAndWages,"34,000,000","34,000,000","32,000,000","30,000,000","33,000,000",,,,,,,
			RentAndLandingFees,"374,000,000","374,000,000","272,000,000","218,000,000","163,000,000","220,000,000","244,000,000","308,000,000","283,000,000",,,
			OtherGandA,"172,000,000","172,000,000","150,000,000","144,000,000","181,000,000","249,000,000","271,000,000","289,000,000","287,000,000",,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"949,000,000","875,000,000","887,000,000"
	OtherTaxes,"178,000,000","178,000,000","157,000,000","102,000,000","60,000,000","75,000,000","126,000,000","141,000,000","111,000,000",,,
	OtherOperatingExpenses,"95,000,000","95,000,000","75,000,000","101,000,000","42,000,000","111,000,000","173,000,000","431,000,000","83,000,000","430,000,000","54,000,000","87,000,000"
