name,ttm,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
		NetIncomeIncludingNoncontrollingInterests,"33,856,000","143,993,000","141,625,000","133,910,000","29,577,000","115,484,000","112,821,000","118,149,000","108,779,000","96,759,000","65,903,000","42,260,000","95,456,000","86,022,000","72,299,000","55,339,000","31,471,000","19,832,000","2,655,000","28,048,000","31,048,000","19,900,000","30,100,000","27,100,000","23,300,000","16,900,000","12,700,000","8,900,000","-1,700,000","4,300,000","12,200,000","18,300,000","14,900,000","6,200,000","2,200,000"
			NetIncomeContinuousOperations,"33,856,000","143,993,000","141,625,000","133,910,000","29,577,000","115,484,000","112,821,000","118,149,000","108,779,000","96,759,000","65,903,000","42,260,000","95,456,000","86,022,000","72,299,000","55,339,000","31,471,000","19,832,000","14,755,000","28,048,000","31,048,000","19,900,000","30,100,000","27,100,000","23,300,000","16,900,000","12,700,000","8,900,000","-1,700,000","4,300,000","12,200,000","18,300,000","14,900,000","6,200,000","2,200,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,"-12,100,000",,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"33,856,000","143,993,000","141,625,000","133,910,000","29,577,000","115,484,000","112,821,000","118,149,000","108,779,000","96,759,000","65,903,000","42,260,000","95,456,000","86,022,000","72,299,000","55,339,000","31,471,000","19,832,000","2,655,000","28,048,000","31,048,000","19,900,000","30,100,000","27,100,000","23,300,000","16,900,000","12,700,000","8,900,000","-1,700,000","4,300,000","12,200,000","18,300,000","14,900,000","6,200,000","2,200,000"
BasicEPS,,"3.72","3.65","3.43","0.75","2.82","2.69","2.81","2.58","2.28","1.56","1","2.23","1.97","1.62","1.247","0.729","0.467","0.062","0.636","0.676","0.413","0.622","0.649","0.563","0.435","0.066","0.048","-0.01","0.024","0.066","0.096","0.049","0.012","0.004"
DilutedEPS,,"3.68","3.61","3.4","0.75","2.8","2.67","2.78","2.54","2.24","1.54","0.99","2.19","1.93","1.57","1.2","0.711","0.458","0.058","0.627","0.667","0.413","0.613","0.649","0.563","0.435","0.066","0.048","-0.01","0.024","0.066","0.096","0.046","0.012","0.004"
BasicAverageShares,,"38,670,000","38,752,000","39,013,000","39,254,000","40,892,000","41,942,000","42,060,000","42,139,000","42,433,000","42,312,000","42,287,000","42,797,000","43,665,990","44,629,012","44,389,572","43,176,677","42,497,143","42,669,643","44,131,469","45,959,211","48,145,161","48,375,000","41,763,699","41,388,158","38,889,205","38,115,010","36,977,763","35,894,346","35,653,837","35,966,274","37,312,678","39,061,429","42,077,912","45,582,156"
DilutedAverageShares,,"39,160,000","39,281,000","39,404,000","39,466,000","41,187,000","42,331,000","42,542,000","42,823,000","43,254,000","42,917,000","42,794,000","43,552,000","44,570,984","46,050,318","46,115,833","44,256,094","43,322,330","45,951,923","44,757,447","46,572,000","48,145,161","49,076,087","41,763,699","41,388,158","38,889,205","38,115,010","36,977,763","35,894,346","35,653,837","35,966,274","37,312,678","39,061,429","42,077,912","45,582,156"
TotalOperatingIncomeAsReported,"113,936,000","233,788,000","225,827,000","174,590,000","88,801,000","184,619,000","164,358,000","176,399,000","168,395,000","150,763,000","110,050,000","72,493,000","152,824,000","135,011,000","115,592,000","87,968,000","51,448,000","36,254,000","30,834,000","55,001,000","57,717,000","42,400,000","58,500,000","50,700,000","49,200,000","36,900,000","27,900,000","20,400,000","4,600,000","17,100,000","29,200,000","33,400,000","25,000,000","13,900,000","20,000,000"
TotalExpenses,"3,158,383,000","3,207,357,000","2,847,447,000","2,419,156,000","2,365,833,000","2,566,942,000","2,295,520,000","2,285,772,000","2,207,050,000","2,062,086,000","1,783,158,000","1,814,050,000","1,936,632,000","1,879,098,000","1,785,188,000","1,629,087,000","1,465,556,000","1,428,113,000","1,415,735,000","1,570,754,000","1,513,988,000","1,485,500,000","1,432,900,000","1,109,600,000","1,094,500,000","1,017,900,000","908,400,000","811,000,000","813,200,000","796,900,000","622,100,000","596,900,000","517,900,000","477,100,000","470,200,000"
