name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"120,897,000,000","123,949,000,000","96,504,000,000","74,733,000,000","63,339,000,000","72,051,000,000","97,817,000,000","100,160,000,000","82,243,000,000","78,709,000,000","62,605,000,000","45,639,000,000","65,258,000,000"
	OperatingRevenue,"120,897,000,000","123,949,000,000","96,504,000,000","74,733,000,000","63,339,000,000","72,051,000,000","97,817,000,000","100,160,000,000","82,243,000,000","78,697,000,000","62,524,000,000","45,605,000,000","64,985,000,000"
CostOfRevenue,"114,005,000,000","113,881,000,000","88,556,000,000","61,444,000,000","51,310,000,000","57,907,000,000","85,601,000,000","88,978,000,000","69,943,000,000","72,778,000,000","54,278,000,000","38,320,000,000","56,527,000,000"
GrossProfit,"6,892,000,000","10,068,000,000","7,948,000,000","13,289,000,000","12,029,000,000","14,144,000,000","12,216,000,000","11,182,000,000","12,300,000,000","5,931,000,000","8,327,000,000","7,319,000,000","8,731,000,000"
OperatingExpense,"3,965,000,000","3,996,000,000","2,773,000,000","9,636,000,000","9,368,000,000","9,547,000,000","8,339,000,000","7,799,000,000","7,156,000,000","2,236,000,000","2,108,000,000","1,741,000,000","1,811,000,000"
	SellingGeneralAndAdministration,"3,348,000,000","3,408,000,000","2,418,000,000","1,743,000,000","1,605,000,000","1,576,000,000","1,375,000,000","1,248,000,000","1,223,000,000","1,106,000,000","920,000,000","842,000,000","961,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,"3,638,000,000","2,490,000,000","2,114,000,000","2,001,000,000","1,646,000,000","1,326,000,000","1,220,000,000","995,000,000","891,000,000","941,000,000","670,000,000","606,000,000"
		DepreciationAndAmortizationInIncomeStatement,,"3,638,000,000","2,490,000,000","2,114,000,000","2,001,000,000","1,646,000,000","1,326,000,000","1,220,000,000","995,000,000","891,000,000","941,000,000","670,000,000","606,000,000"
	OtherTaxes,"816,000,000","751,000,000","557,000,000","8,213,000,000","7,941,000,000","8,083,000,000","7,075,000,000","6,603,000,000","5,979,000,000","239,000,000","247,000,000","229,000,000","244,000,000"
	OtherOperatingExpenses,"-199,000,000","-163,000,000","-202,000,000","-320,000,000","-178,000,000","-112,000,000","-111,000,000","-52,000,000","-46,000,000",,,,
OperatingIncome,"2,927,000,000","6,072,000,000","5,175,000,000","3,653,000,000","2,661,000,000","4,597,000,000","3,877,000,000","3,383,000,000","5,144,000,000","3,695,000,000","6,219,000,000","5,578,000,000","6,920,000,000"
NetNonOperatingInterestIncomeExpense,"-1,273,000,000","-1,244,000,000","-886,000,000","-625,000,000","-556,000,000","-313,000,000","-216,000,000","-179,000,000","-109,000,000","-61,000,000","-5,000,000","-5,000,000","-2,000,000"
	InterestIncomeNonOperating,,"40,000,000","87,000,000","27,000,000","6,000,000","6,000,000","7,000,000","9,000,000","6,000,000",,"2,000,000","3,000,000","6,000,000"
	InterestExpenseNonOperating,"1,268,000,000","1,238,000,000","946,000,000","625,000,000","538,000,000","288,000,000","202,000,000","167,000,000","90,000,000","61,000,000","7,000,000","8,000,000","8,000,000"
	TotalOtherFinanceCost,,"46,000,000","27,000,000","27,000,000","24,000,000","31,000,000","21,000,000","21,000,000","25,000,000",,,,
OtherIncomeExpense,"-9,843,000,000","-499,000,000","279,000,000","316,000,000","-283,000,000","90,000,000","174,000,000","42,000,000","203,000,000","85,000,000","87,000,000","66,000,000","153,000,000"
	EarningsFromEquityInterest,"-915,000,000","394,000,000","373,000,000","306,000,000","-185,000,000","88,000,000","153,000,000","36,000,000","26,000,000","50,000,000","70,000,000","30,000,000","121,000,000"
	SpecialIncomeCharges,"-8,922,000,000","-890,000,000","-41,000,000","10,000,000","-98,000,000","2,000,000","21,000,000","6,000,000","177,000,000","35,000,000","17,000,000","36,000,000","32,000,000"
		WriteOff,,"1,197,000,000","0","0","130,000,000",,,,,,,,
		OtherSpecialCharges,,,"64,000,000",,,"5,000,000",,,,,,,
		GainOnSaleOfPPE,"97,000,000","307,000,000","23,000,000","10,000,000","32,000,000","7,000,000","21,000,000","6,000,000","177,000,000",,,,
	OtherNonOperatingIncomeExpenses,,"-3,000,000","-53,000,000",,,,,,,,,,
PretaxIncome,"-8,189,000,000","4,329,000,000","4,568,000,000","3,344,000,000","1,822,000,000","4,374,000,000","3,835,000,000","3,246,000,000","5,238,000,000","3,719,000,000","1,023,000,000","685,000,000","1,885,000,000"
TaxProvision,"-967,000,000","1,074,000,000","962,000,000","-460,000,000","609,000,000","1,506,000,000","1,280,000,000","1,113,000,000","1,845,000,000","1,330,000,000","400,000,000","236,000,000","670,000,000"
NetIncomeCommonStockholders,"-6,591,000,000","2,636,000,000","2,779,000,000","3,430,000,000","1,173,000,000","2,848,000,000","2,520,000,000","2,108,000,000","3,383,000,000","2,389,000,000","623,000,000","449,000,000","1,215,000,000"
	NetIncome,"-6,590,000,000","2,637,000,000","2,780,000,000","3,432,000,000","1,174,000,000","2,852,000,000","2,524,000,000","2,112,000,000","3,389,000,000","2,389,000,000","623,000,000","449,000,000","1,215,000,000"
		NetIncomeIncludingNoncontrollingInterests,"-7,222,000,000","3,255,000,000","3,606,000,000","3,804,000,000","1,213,000,000","2,868,000,000","2,555,000,000","2,133,000,000","3,393,000,000","2,389,000,000","623,000,000","449,000,000","1,215,000,000"
			NetIncomeContinuousOperations,"-7,222,000,000","3,255,000,000","3,606,000,000","3,804,000,000","1,213,000,000","2,868,000,000","2,555,000,000","2,133,000,000","3,393,000,000","2,389,000,000","623,000,000","449,000,000","1,215,000,000"
		MinorityInterests,"632,000,000","-618,000,000","-826,000,000","-372,000,000","-39,000,000","-16,000,000","-31,000,000","-21,000,000","-4,000,000",,,,
	OtherunderPreferredStockDividend,,"1,000,000","1,000,000","2,000,000","1,000,000","4,000,000","4,000,000","4,000,000","6,000,000",,,,
DilutedNIAvailtoComStockholders,"-6,591,000,000","2,636,000,000","2,779,000,000","3,430,000,000","1,173,000,000","2,848,000,000","2,520,000,000","2,108,000,000","3,383,000,000","2,389,000,000","623,000,000","449,000,000","1,215,000,000"
BasicEPS,,,"5.36","6.76","2.22","5.29","4.42","3.345","4.975","3.35","0.875","0.631","1.706"
DilutedEPS,,,"5.28","6.7","2.21","5.26","4.39","3.32","4.945","3.335","0.87","0.627","1.697"
