name,ttm,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"54,520,127,000","13,368,190,000",,"12,977,953,000","14,837,000,000","16,348,157,000","13,786,228,000","13,028,800,000","12,628,388,000","12,162,048,000","11,870,430,000","12,599,728,000","12,046,000,000","12,162,428,000","11,886,174,000","12,171,941,000","12,332,000,000","13,163,620,000","11,591,774,000","10,195,322,000","11,724,000,000","11,723,962,000","10,853,109,000","11,842,626,000","10,783,000,000","10,700,268,000","9,527,624,000","9,295,751,000","9,232,000,000","9,454,393,000","9,137,644,000","8,232,429,000","8,710,315,000","8,685,938,000","8,368,188,000","7,388,088,000","7,236,958,000","7,275,682,000","6,516,391,000","4,465,786,000","4,253,300,000","4,047,000,000","3,688,000,000","3,154,755,000","3,931,616,000","5,098,600,000","4,401,712,840","4,402,413,795","4,836,242,742.38","4,608,530,928.4","3,098,563,975.4","3,285,124,929.9","3,017,872,157","3,716,421,357","2,848,156,920","2,659,845,810","3,322,364,973.57","3,118,802,940","3,201,255,540","3,386,447,088.78","3,933,870,742.28","3,368,597,020","3,042,710,212.05","2,077,898,422.83","2,712,645,913.5","2,512,894,257.44","2,122,285,440","2,476,261,247.73","6,296,920,891.12","972,505,459.58","536,819,058.6","562,679,634.4","1,848,317,055.7","480,728,454.5","740,765,763.9","771,179,633.76","966,623,115.61","702,697,831.22","726,904,105.69","637,235,164","635,897,480.8","472,140,000","391,258,400","329,557,242"
	OperatingRevenue,"65,183,581,000","13,368,190,000",,"12,977,953,000","14,837,000,000","16,348,157,000","13,786,228,000","15,561,303,000","21,648,363,000","12,162,048,000","11,870,430,000","14,754,402,000","12,046,000,000","12,162,428,000","11,886,174,000","14,138,607,000","12,332,000,000","13,163,620,000","11,591,774,000","11,939,138,000","11,724,000,000","11,723,962,000","10,853,109,000","13,630,434,000","10,783,000,000","10,700,268,000","9,527,624,000","11,037,751,000","9,232,000,000","9,454,393,000","9,137,644,000","8,232,429,000","8,710,315,000","8,685,938,000","8,368,188,000","7,388,088,000","7,236,958,000","7,275,682,000","6,516,391,000","5,630,056,000","4,253,300,000","4,047,000,000","3,688,000,000","3,154,755,000","3,931,616,000","5,098,600,000","4,401,712,840","4,402,413,795","4,836,242,742.38","4,608,530,928.4","3,098,563,975.4","3,285,124,929.9","3,017,872,157","3,716,421,357","2,848,156,920","2,659,845,810","3,322,364,973.57","3,118,802,940","3,201,255,540","3,386,447,088.78","3,933,870,742.28","3,368,597,020","3,042,710,212.05","2,077,898,422.83","2,712,645,913.5","2,512,894,257.44","2,122,285,440","2,476,261,247.73","5,289,810,242.74","972,505,459.58","536,819,058.6","562,679,634.4","1,848,317,055.7","480,728,454.5","740,765,763.9","771,179,633.76","966,623,115.61","702,697,831.22","726,904,105.69","637,235,164","635,897,480.8","472,140,000","391,258,400","329,557,242"
	ExciseTaxes,,,,,,,,"2,456,782,000",,,,"2,093,059,000",,,,"1,861,544,000",,,,"1,673,392,000",,,,"1,688,017,000",,,,"1,630,739,000",,,,,,,,,,,,"1,164,270,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"47,389,700,000","11,651,152,000",,"11,216,343,000","12,863,000,000","12,714,281,000","10,503,537,000","10,327,132,000","9,160,129,000","9,126,289,000","8,979,357,000","8,911,633,000","8,938,000,000","8,929,357,000","8,632,099,000","8,924,605,000","9,524,000,000","9,960,382,000","8,827,607,000","8,590,489,000","10,051,000,000","10,051,035,000","9,599,795,000","10,324,626,000","9,467,000,000","9,006,096,000","8,470,621,000","8,315,675,000","8,309,000,000","8,497,552,000","8,278,007,000","7,599,568,000","8,015,774,000","7,764,969,000","7,137,221,000","6,390,213,000","6,237,101,000","6,145,054,000","5,356,754,000","3,672,866,000","3,679,800,000","3,076,000,000","3,047,000,000","2,769,403,000","3,192,760,000","4,323,228,000","3,764,916,820","3,753,281,005","4,039,292,600.18","3,769,888,955.7","2,582,825,477.8","2,610,739,665.6","2,286,569,096.5","3,102,391,931.5","2,545,485,810","2,293,271,490","2,700,882,991.92","2,642,053,342.5","2,478,473,046","2,504,543,639.99","2,772,447,743.52","2,602,226,900","2,326,847,537.52","1,535,976,324.5","2,171,480,725.82","1,981,182,068.6","1,708,042,560","1,960,880,496.24","4,883,247,051.5","802,697,872.42","463,719,382.2","487,048,648","817,827,912.6","436,069,064","614,326,692.9","659,746,462.89","737,783,390.11","597,403,212.89","550,086,370.18","468,711,056.8","329,605,736.7","345,784,500","285,708,800","232,035,201"
GrossProfit,"7,130,427,000","1,717,038,000",,"1,761,610,000","1,974,000,000","3,633,876,000","3,282,691,000","2,701,668,000","3,468,259,000","3,035,759,000","2,891,073,000","3,688,095,000","3,108,000,000","3,233,071,000","3,254,075,000","3,247,336,000","2,809,000,000","3,203,238,000","2,764,167,000","1,604,833,000","1,673,000,000","1,672,927,000","1,253,314,000","1,518,000,000","1,316,000,000","1,694,172,000","1,057,003,000","980,076,000","923,000,000","956,841,000","859,637,000","632,861,000","694,541,000","920,969,000","1,230,967,000","997,875,000","999,857,000","1,130,628,000","1,159,637,000","792,920,000","573,500,000","971,000,000","641,000,000","385,352,000","738,856,000","775,372,000","636,796,020","649,132,790","796,950,142.2","838,641,972.7","515,738,497.6","674,385,264.3","731,303,060.5","614,029,425.5","302,671,110","366,574,320","621,481,981.65","476,749,597.5","722,782,494","881,903,448.79","1,161,422,998.76","766,370,120","715,862,674.53","541,922,098.33","541,165,187.68","531,712,188.84","414,242,880","515,380,751.49","1,413,673,839.62","169,807,587.16","73,099,676.4","75,630,986.4","1,030,489,143.1","44,659,390.5","126,439,071","111,433,170.87","228,839,725.5","105,294,618.33","176,817,735.51","168,524,107.2","306,291,744.1","126,355,500","105,549,600","97,522,041"
OperatingExpense,"2,223,963,000","899,531,000",,"-142,266,000","1,003,000,000","844,599,000","844,629,000","732,958,000","675,160,000","1,110,607,000","590,272,000","761,840,000","4,354,000,000","938,866,000","895,210,000","775,793,000","1,310,000,000","729,167,000","652,447,000","638,732,000","702,000,000","702,856,000","619,259,000","388,716,000","689,000,000","587,585,000","520,129,000","536,997,000","512,000,000","541,198,000","553,881,000","508,685,000","492,461,000","495,100,000","472,396,000","497,468,000","164,739,000","490,143,000","416,461,000","244,793,000","2,121,400,000","-149,000,000","-1,031,000,000","143,385,000","-1,111,228,000","2,064,452,000","480,389,980","588,490,926","159,676,513.94","499,501,271.5","764,016,818.6","375,313,780.8","-354,022,277.5","669,174,877","479,047,800","218,199,000","820,163,838.15","391,371,750","168,209,622","555,519,850.9","654,320,335.52","191,592,530","977,479,081.5","528,411,182.07","724,543,583.49","602,802,692.52","141,864,000","235,101,656.28","-2,303,017,759.78","1,711,103,754.46","29,674,615.2","-4,886,328","941,529,956","26,079,137.5","34,656,800.4","33,059,091.9","136,917,596.66","35,901,967.75","35,552,921.75","31,662,232","117,940,616.2","31,734,000","30,409,600","29,734,488"
	SellingGeneralAndAdministration,"3,945,830,000","1,011,836,000",,"931,762,000","963,000,000","859,163,000","680,373,000","676,348,000","813,898,000","753,012,000","670,105,000","656,865,000","753,000,000","769,338,000","729,098,000","668,594,000","768,000,000","616,445,000","560,254,000","559,020,000","635,000,000","601,302,000","571,417,000","544,523,000","578,000,000","513,781,000","468,349,000","483,378,000","558,000,000","512,863,000","526,970,000","484,239,000","461,924,000","470,303,000","448,274,000","465,385,000","251,840,000","433,980,000","335,408,000","196,946,000","352,900,000","293,000,000","287,000,000","230,633,000","178,164,000","352,092,000","298,448,260","260,072,396","341,632,132.06","293,753,427.1","235,576,561.4","272,362,097.1","291,120,891","232,297,158.5","217,749,000","170,195,220","208,800,051.21","182,009,025","207,678,114","185,708,147.59","284,144,511.6","122,962,370","139,731,537.06","107,765,917.37","154,006,507.84","111,920,681.88","99,304,800","90,105,929.28","792,391,817.12","49,493,237.44","24,899,011.2","32,276,539.2","41,537,019.4","23,700,306","28,889,560.2","27,741,925.58","63,032,459.77","26,981,319.64","26,640,748.43","22,759,084.8","33,331,045.5","22,833,000","21,569,600","20,884,938"
		GeneralAndAdministrativeExpense,"2,300,589,000","573,877,000",,"500,684,000","517,000,000","425,683,000","381,579,000","308,830,000","439,755,000","372,133,000","311,821,000","310,563,000","362,000,000","393,046,000","373,560,000","348,717,000","462,000,000","322,669,000","299,787,000","297,096,000","334,000,000","299,955,000","289,726,000","275,014,000","322,000,000","271,632,000","228,153,000","237,006,000","282,000,000","262,941,000","430,663,000","385,517,000","371,746,000","381,383,000","367,159,000","382,554,000","148,497,000","322,720,000","216,248,000","147,255,000","211,300,000","159,000,000","153,000,000","110,097,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,"121,892,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,925,229,000","573,877,000",,"378,792,000","517,000,000","425,683,000","381,579,000","308,830,000","439,755,000","372,133,000","311,821,000","310,563,000","362,000,000","393,046,000","373,560,000","348,717,000","462,000,000","322,669,000","299,787,000","297,096,000","334,000,000","299,955,000","289,726,000","275,014,000","322,000,000","271,632,000","228,153,000","237,006,000","282,000,000","262,941,000","430,663,000","385,517,000","371,746,000","381,383,000","367,159,000","382,554,000","148,497,000","322,720,000","216,248,000","147,255,000","211,300,000","159,000,000","153,000,000","110,097,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
