name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
TotalRevenue,"9,521,081,000","10,164,367,000","12,593,196,000","12,173,907,000","8,920,934,000","7,763,206,000","12,195,091,000","14,602,717,000","12,632,559,000","14,805,794,000","13,030,051,000","11,111,651,000","16,157,433,000","13,477,414,000","11,896,104,000","12,676,230,000","5,988,080,000","2,998,996,000","2,104,280,000","6,803,146,000","6,642,858,000","808,874,000","1,842,810,000","1,835,402,000","1,161,900,000","1,224,300,000","949,900,000","792,400,000","789,100,000","677,100,000","689,500,000","668,000,000","618,300,000","571,400,000","587,000,000","736,800,000","1,049,100,000"
	OperatingRevenue,"9,521,081,000","10,164,367,000","12,593,196,000","12,173,907,000","8,920,934,000","7,763,206,000","12,195,091,000","14,602,717,000","12,632,559,000","14,805,794,000","13,030,051,000","11,111,651,000","16,157,433,000","13,477,414,000","11,896,104,000","12,676,230,000","5,988,080,000","2,998,996,000","2,104,280,000","6,803,146,000","6,642,858,000","808,874,000","1,842,810,000","1,835,402,000","1,161,900,000","1,224,300,000","949,900,000","792,400,000","789,100,000","677,100,000","689,500,000","668,000,000","618,300,000","571,400,000","587,000,000","736,800,000","1,049,100,000"
CostOfRevenue,"6,603,321,000","7,264,575,000","9,851,265,000","9,944,380,000","6,887,709,000","5,995,672,000","10,383,232,000","12,697,411,000","10,617,562,000","12,425,435,000","10,957,509,000","9,095,705,000","14,221,906,000","11,667,306,000","10,176,510,000","11,338,076,000","4,743,835,000","1,862,518,000","1,128,620,000","5,894,361,000","5,845,726,000","523,533,000","1,156,024,000","1,220,009,000","726,000,000","807,700,000","567,800,000","432,400,000",,,,,,,,,
GrossProfit,"2,917,760,000","2,899,792,000","2,741,931,000","2,229,527,000","2,033,225,000","1,767,534,000","1,811,859,000","1,905,306,000","2,014,997,000","2,380,359,000","2,072,542,000","2,015,946,000","1,935,527,000","1,810,108,000","1,719,594,000","1,338,154,000","1,244,245,000","1,136,478,000","975,660,000","908,785,000","797,132,000","285,341,000","686,786,000","615,393,000","435,900,000","416,600,000","382,100,000","360,000,000",,,,,,,,,
OperatingExpense,"949,163,000","982,864,000","907,068,000","833,586,000","757,184,000","693,331,000","674,887,000","990,453,000","908,978,000","1,221,446,000","1,147,144,000","1,126,112,000","1,020,839,000","989,474,000","973,920,000","803,389,000","754,235,000","690,414,000","604,182,000","613,553,000","463,199,000","199,377,000","467,203,000","412,444,000","307,700,000","296,200,000","277,100,000","268,500,000",,,,,,,,,
	OperationAndMaintenance,"831,553,000","863,708,000","803,146,000","735,190,000","668,335,000","605,748,000","599,143,000","872,125,000","806,087,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"312,160,000","307,317,000","288,991,000","243,927,000","227,964,000","235,543,000","183,394,000","188,725,000","160,861,000","147,843,000","157,310,000","143,351,000","43,227,000","129,704,000","102,159,000","74,500,000","72,900,000","50,400,000","53,400,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"312,160,000","307,317,000","288,991,000",,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"117,610,000","119,156,000","103,922,000","98,396,000","88,849,000","87,583,000","75,744,000","118,328,000","102,891,000","94,657,000","91,215,000","100,996,000","82,315,000","85,935,000","78,086,000","67,464,000","66,732,000","66,437,000","55,011,000","61,876,000","53,303,000","14,755,000","39,715,000","33,217,000","22,500,000","21,500,000","20,300,000","19,100,000",,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,"814,629,000","748,612,000","736,125,000","694,597,000","675,575,000","660,291,000","552,531,000","498,778,000","463,116,000","401,328,000","394,367,000","266,545,000","141,395,000","297,784,000","277,068,000","210,700,000","201,800,000","206,400,000","196,000,000",,,,,,,,,
