name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
MarketCap,"1,883,817,713","4,569,188,026","4,173,848,671","4,123,662,378","3,401,404,324","3,321,232,283","3,368,875,865","3,991,247,308","5,418,380,019","5,647,112,069","5,245,672,579","4,928,480,622","4,727,524,255","3,819,350,180","3,697,406,819","2,197,503,472","2,848,495,159","2,024,759,254","1,820,410,992","3,626,979,327","4,434,145,813","4,558,960,159","4,759,288,053","6,326,103,778","6,442,415,688","7,060,630,047","6,149,484,779","5,815,990,451","5,267,202,176","4,379,426,941","3,598,631,291","3,652,210,028","3,476,554,329","2,597,904,489","2,713,032,351","2,934,117,916","2,321,267,995","2,565,042,893","2,350,194,858","1,927,761,392","2,650,562,928","2,361,000,950","1,953,702,672","1,763,202,142","1,238,388,177","1,309,659,210","1,403,823,362","1,216,358,950","1,646,144,872","1,613,174,799","1,719,660,652","2,887,140,630","2,210,869,587","1,993,350,000","1,469,753,125","969,703,125","978,265,625","1,168,781,250"
EnterpriseValue,"2,392,667,713","5,240,214,026","5,019,662,671","5,083,395,378","3,969,103,324","3,758,937,283","3,701,376,865","4,287,508,308","5,649,061,019","6,011,334,069","5,497,017,579","5,262,502,622","5,096,967,255","4,270,596,180","4,204,412,819","2,780,551,472","3,530,527,159","2,675,624,254","2,410,664,992","4,175,245,327","4,786,787,813","4,807,734,159","4,906,422,053","6,248,902,778","6,442,743,688","7,186,978,047","6,473,446,779","6,302,385,451","5,822,203,176","4,934,427,941","4,276,561,291","4,280,549,028","4,038,341,329","3,203,845,489","3,318,973,351","3,535,965,916","2,894,236,995","3,151,980,893","2,920,906,858","2,555,742,392","3,202,863,928","2,854,453,950","2,486,447,672","2,325,831,142","1,769,780,177","1,828,862,210","1,932,736,362","1,802,627,950","2,177,180,872","2,147,683,799","2,192,916,652","3,372,487,630","2,634,744,587","2,411,615,000","1,882,053,125","1,382,003,125","1,327,665,625","1,474,270,250"
PeRatio,"7.332","34.203","99.747","101.635","38.942","20.497","8.53","9.897","14.751","15.833","16.033","15.462","13.996",,,,"16.017","10.139","6.863","11.298","12.063","9.889","10.238","13.604","15.061","20.659","17.893","16.919","16.273","13.531","11.61","11.783","11.347","8.823","9.214","10.036","7.94","12.207","11.519","9.449","12.991","9.958","11.061","10.149","8.262","11.106","9.259","8.023","10.858","10.099","11.003","19.378","16.61","18.188","14.67","9.679","10.564","17.063"
ForwardPeRatio,"9.158","10.707","9.785","13.624","10.718",,"7.605","9.461","12.658","14.389","13.986","13.908","14.006","12.285","12.887","13.736","13.947","10.04","6.916","8.278","9.515","12.739","10.707","11.834","12.063","13.351","11.429","11.124","11.161","9.747","8.584","9.149",,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,"0.76","0.946","1.266",,"1.399","1.39","1.4","1.228","1.289","1.374",,"1.004","0.692","0.828","0.952","2.546","1.071","1.184","1.206","1.335","1.142","1.112","1.116","0.975","0.859","0.915",,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.668","1.692","2.125","1.573","1.278","2.471","1.261","1.528","2.159","2.32","2.235","2.175","2.14","1.792","1.769","1.042","1.321","0.898","0.745","1.395","1.647","1.716","1.777","2.361","2.473","3.029","2.624","2.481","2.361","1.963","1.852","1.88","1.926","1.724","1.8","1.961","1.551","1.834","1.851","1.518","2.088","1.909","1.512","1.388","0.957","1.022","1.309","1.134","1.534","1.591","1.842","3.229","2.612","2.516","1.985","1.31","1.425","2.923"
PbRatio,"0.931","2.322","2.208","2.209","1.851","1.484","1.52","1.813","2.57","2.765","2.665","2.559","2.559","2.155","2.155","1.306","1.423","0.96","0.844","1.701","2.136","2.154","2.277","3.146","3.388","3.882","3.566","3.516","3.453","2.85","2.514","2.448","2.522","2.062","2.172","2.486","1.924","2.472","2.491","2.198","2.925","2.728","2.452","2.357","1.769","2.071","2.301","2.056","2.853","3.034","3.833","6.739","5.948","6.089","5.074","3.348","3.518","5.099"
EnterprisesValueRevenueRatio,"0.884","2.621","79.541","7.88","5.905","5.73","5.505","6.761","7.901","8.898","8.365","9.103","8.265","7.102","7.389","5.624","6.338","5.024","4.405","7.756","7.576","7.166","7.393","9.277","9.028","10.3","9.558","10.646","9.079","8.226","7.243","8.298","7.434","6.376","6.961","8.252","6.841","7.61","8.069","8.424","9.555","8.323","7.68","8.377","5.732","5.285","5.539","6.051","7.358","7.547","8.287","14.333","10.854","10.161","8.161","7.218","6.925","8.207"
EnterprisesValueEBITDARatio,"3.817","24.292","112.322","60.291","35.425","-27.049","47.46","64.553","36.013","50.156","43.334","62.399","41.708","39.613","43.635","40.039","25.916","-6.807","129.023","52.451","35.291","110.908","61.91","44.994","35.634","55.049","40.128","70.093","42.768","47.006","27.751","65.259","29.004","22.097","32.476","45.668","22.344","20.673","30.936","59.82","50.553","29.663","37.57","29.529","18.037","21.203","36.32","33.567","83.738","-3.412","38.595","68.358","38.787","-4.968","67.974","47.3","32.374","-4.445"
