name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalRevenue,"588,916,000","588,916,000","454,086,000","316,861,000","198,141,000","98,588,000"
	OperatingRevenue,"588,916,000","588,916,000","454,086,000","316,861,000","198,141,000","98,588,000"
CostOfRevenue,"36,300,000","36,300,000","24,811,000","17,609,000","9,575,000","4,234,000"
GrossProfit,"552,616,000","552,616,000","429,275,000","299,252,000","188,566,000","94,354,000"
OperatingExpense,"518,294,000","518,294,000","406,084,000","283,978,000","179,995,000","96,882,000"
	SellingGeneralAndAdministration,"444,278,000","444,278,000","355,414,000","258,853,000","166,908,000","87,678,000"
		GeneralAndAdministrativeExpense,"50,434,000","50,434,000","39,475,000","22,688,000","12,783,000","5,801,000"
			OtherGandA,"50,434,000","50,434,000","39,475,000","22,688,000","12,783,000","5,801,000"
		SellingAndMarketingExpense,"393,844,000","393,844,000","315,939,000","236,165,000","154,125,000","81,877,000"
	ResearchAndDevelopment,"69,462,000","69,462,000","47,866,000","22,470,000","11,453,000","8,235,000"
	DepreciationAmortizationDepletionIncomeStatement,"4,554,000","4,554,000","2,804,000","2,655,000","1,634,000","969,000"
		DepreciationAndAmortizationInIncomeStatement,"4,554,000","4,554,000","2,804,000","2,655,000","1,634,000","969,000"
OperatingIncome,"34,322,000","34,322,000","23,191,000","15,274,000","8,571,000","-2,528,000"
NetNonOperatingInterestIncomeExpense,"2,984,000","2,984,000","2,283,000","840,000","390,000","-12,000"
	InterestIncomeNonOperating,"2,984,000","2,984,000","2,283,000","869,000","416,000",
	InterestExpenseNonOperating,,,,"29,000","26,000","12,000"
OtherIncomeExpense,"1,399,000","1,399,000","10,000","-277,000","-16,000",
	GainOnSaleOfSecurity,,,,"-277,000","-16,000",
	OtherNonOperatingIncomeExpenses,"1,399,000","1,399,000","10,000","563,000",,
PretaxIncome,"38,705,000","38,705,000","25,484,000","15,837,000","8,945,000","-2,540,000"
TaxProvision,"-3,441,000","-3,441,000","-39,686,000","2,638,000","2,448,000","-904,000"
NetIncomeCommonStockholders,"42,146,000","42,146,000","65,170,000","7,101,000","-25,590,000","-17,566,000"
	NetIncome,"42,146,000","42,146,000","65,170,000","13,199,000","6,497,000","-1,636,000"
		NetIncomeIncludingNoncontrollingInterests,"42,146,000","42,146,000","65,170,000","13,199,000","6,497,000","-1,636,000"
			NetIncomeContinuousOperations,"42,146,000","42,146,000","65,170,000","13,199,000","6,497,000","-1,636,000"
	PreferredStockDividends,,,,,"32,087,000","15,930,000"
	OtherunderPreferredStockDividend,"0","0","0","6,098,000",,
AverageDilutionEarnings,"0","0","0","269,000",,"0"
DilutedNIAvailtoComStockholders,"42,146,000","42,146,000","65,170,000","7,370,000","-25,590,000","-17,566,000"
BasicEPS,,,"0.6","0.13","-0.24","-0.171"
DilutedEPS,,,"0.57","0.12","-0.24","-0.171"
BasicAverageShares,,,"108,833,028","55,835,000","104,703,600","102,687,017"
DilutedAverageShares,,,"113,364,712","60,638,000","104,703,600","106,747,037"
TotalOperatingIncomeAsReported,"34,322,000","34,322,000","23,191,000","15,274,000","8,571,000","-2,528,000"
TotalExpenses,"554,594,000","554,594,000","430,895,000","301,587,000","189,570,000","101,116,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"42,146,000","42,146,000","65,170,000","13,199,000","6,497,000","-1,636,000"
NormalizedIncome,"42,146,000","42,146,000","65,170,000","13,429,741","6,508,616","-1,636,000"
InterestIncome,"2,984,000","2,984,000","2,283,000","869,000","416,000",
InterestExpense,,,,"29,000","26,000","12,000"
NetInterestIncome,"2,984,000","2,984,000","2,283,000","840,000","390,000","-12,000"
EBIT,"34,322,000","34,322,000","23,191,000","15,866,000","8,971,000","-2,528,000"
EBITDA,"42,139,000"
ReconciledCostOfRevenue,"33,037,000","33,037,000","22,586,000","16,469,000","9,137,000","4,081,000"
ReconciledDepreciation,"7,817,000","7,817,000","5,029,000","3,795,000","2,072,000","1,122,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"42,146,000","42,146,000","65,170,000","13,199,000","6,497,000","-1,636,000"
TotalUnusualItemsExcludingGoodwill,,,,"-277,000","-16,000",
TotalUnusualItems,,,,"-277,000","-16,000",
NormalizedEBITDA,"42,139,000","42,139,000","28,220,000","19,938,000","11,059,000","-1,406,000"
TaxRateForCalcs,"0.087","0.087","0.27","0.167","0.274","0.356"
TaxEffectOfUnusualItems,"0","0","0","-46,259","-4,384","0"
