name,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,01/31/1988,01/31/1987,01/31/1986
TotalAssets,"13,268,609,000","12,694,736,000","12,055,055,000","12,311,749,000","12,986,552,000","12,559,603,000","11,833,316,000","11,419,784,000","12,652,636,000","10,959,853,000","11,373,925,000","10,556,608,000","7,931,866,000","6,462,664,000","6,203,458,000","6,190,896,000","6,358,288,000","6,365,067,000","6,145,569,000","5,905,976,000","6,138,246,000","6,665,241,000","6,659,444,000","7,015,003,000","7,169,666,000","6,704,585,000","6,234,071,000","6,110,101,000","6,830,960,000","5,922,317,000","5,301,063,000","5,644,183,000","5,785,418,000","6,410,633,000","6,197,066,000","6,597,487,000","6,488,292,000","6,414,012,000","5,496,130,000","5,607,157,000","5,902,087,000","6,119,739,000","5,338,911,000","4,908,498,000","5,023,754,000","5,410,595,000","5,544,506,000","5,530,048,000","5,220,935,000","5,505,894,000","4,871,205,000","4,790,393,000","4,703,864,000","4,445,617,000","4,004,675,000","4,288,579,000","4,404,634,000","4,383,667,000","4,129,714,000","4,533,624,000","4,557,736,000","4,432,646,000","3,969,750,000","4,126,647,000","4,167,886,000","3,998,380,000","3,614,965,000","3,761,001,000","3,248,018,000","3,790,934,000","3,774,798,000","3,590,246,000","3,458,330,000","3,771,006,000","3,596,797,000","4,025,013,000","4,615,545,000","4,657,878,000","4,204,088,000","4,155,207,000","4,123,818,000","4,045,600,000","3,762,300,000","3,576,800,000","3,845,000,000","3,206,200,000","2,382,900,000","2,134,000,000","2,185,400,000","2,128,500,000","1,655,200,000","1,439,200,000","1,545,300,000","1,384,400,000","1,077,600,000","1,043,300,000","1,043,900,000","918,200,000","779,900,000","787,100,000","784,400,000","727,600,000","665,800,000","592,400,000","506,800,000","421,700,000","394,900,000","360,600,000","326,900,000","270,200,000","233,900,000","237,900,000","200,500,000","193,200,000","164,700,000","155,800,000","149,100,000","146,500,000","132,000,000","129,100,000","121,800,000","119,800,000","95,100,000","86,600,000","88,700,000","53,600,000","25,500,000","10,700,000"
	CurrentAssets,"10,438,292,000","10,219,542,000","9,604,293,000","9,849,568,000","10,692,849,000","10,185,267,000","9,398,762,000","8,931,383,000","10,092,690,000","8,479,680,000","8,966,400,000","8,255,548,000","7,412,326,000","5,940,782,000","5,664,650,000","5,635,192,000","5,822,061,000","5,802,434,000","5,574,209,000","5,353,912,000","5,578,123,000","6,042,083,000","5,987,329,000","6,312,901,000","6,469,035,000","6,049,974,000","5,584,149,000","5,449,011,000","6,145,425,000","5,528,797,000","4,918,862,000","5,237,275,000","5,381,902,000","6,002,958,000","5,815,779,000","6,206,154,000","6,123,146,000","6,039,635,000","5,235,410,000","5,344,532,000","5,643,572,000","5,853,608,000","5,075,165,000","4,656,479,000","4,771,797,000","5,147,611,000","5,226,927,000","5,232,488,000","4,922,982,000","5,204,476,000","4,581,982,000","4,488,960,000","4,407,852,000","4,168,645,000","3,718,596,000","3,867,799,000","3,983,459,000","3,975,716,000","3,706,406,000","4,027,304,000","4,056,489,000","3,957,443,000","3,513,101,000","3,655,739,000","3,680,304,000","3,565,893,000","3,197,408,000","3,343,905,000","2,978,118,000","3,237,828,000","3,237,096,000","3,084,490,000","2,971,530,000","3,270,651,000","3,103,498,000","3,498,271,000","4,066,268,000","4,134,886,000","3,647,933,000","3,611,427,000","3,587,805,000","3,488,400,000","3,227,900,000","3,066,400,000","3,288,000,000","2,670,300,000","1,783,500,000","1,943,100,000","2,006,400,000","1,974,800,000","1,452,400,000","1,344,000,000","1,450,000,000","1,291,300,000","986,200,000","952,300,000","950,800,000","822,300,000","688,700,000","697,300,000","696,700,000","644,400,000","590,800,000","527,700,000","449,300,000","377,200,000","353,800,000","321,100,000","291,500,000","238,500,000","203,700,000","209,700,000","174,500,000","167,400,000","139,200,000","130,500,000","123,900,000","122,400,000","107,300,000","104,300,000","97,000,000","98,000,000","73,800,000","67,400,000","71,200,000","46,900,000","22,900,000","8,900,000"
		CashCashEquivalentsAndShortTermInvestments,"841,366,000","964,146,000","738,265,000","797,500,000","799,123,000","646,479,000","792,859,000","345,577,000","955,628,000","562,645,000","1,033,267,000","861,541,000","2,125,591,000","691,565,000","697,047,000","825,734,000","531,169,000","585,960,000","709,269,000","619,183,000","542,995,000","465,738,000","611,528,000","675,632,000","570,101,000","471,025,000","586,840,000","326,527,000","340,564,000","515,788,000","277,633,000","447,038,000","505,178,000","899,666,000","905,138,000","807,554,000","839,934,000","706,541,000","940,058,000","911,002,000","1,116,579,000","1,235,946,000","1,066,358,000","634,794,000","528,023,000","385,166,000","468,321,000","520,740,000","447,340,000","525,858,000","617,038,000","453,903,000","265,006,000","128,769,000","269,832,000","218,526,000","156,665,000","245,556,000","232,690,000","155,791,000","195,056,000","151,034,000","178,720,000","102,929,000","108,801,000","121,435,000","226,570,000","163,865,000","157,191,000","496,748,000","520,968,000","214,102,000","257,927,000","249,661,000","221,725,000","128,408,000","138,925,000","97,162,000","82,260,000","45,458,000","31,786,000","4,200,000","5,400,000","200,000","8,600,000","1,400,000","1,500,000","1,200,000","2,700,000","1,900,000","2,100,000","1,400,000","700,000","3,800,000","800,000","900,000","1,200,000","900,000","900,000","600,000","500,000","900,000","800,000","1,100,000","700,000","600,000","400,000","300,000","400,000","300,000","400,000","2,300,000","3,900,000","3,200,000","2,700,000","3,400,000","3,100,000","900,000","3,400,000","400,000","600,000","3,200,000","2,100,000","2,000,000","1,800,000","1,300,000","2,700,000","300,000"
			CashAndCashEquivalents,"841,366,000","964,146,000","738,265,000","797,500,000","799,123,000","646,479,000","792,859,000","345,577,000","955,628,000","562,645,000","1,033,267,000","861,541,000","2,125,591,000","691,565,000","697,047,000","825,734,000","531,169,000","585,960,000","709,269,000","619,183,000","542,995,000","465,738,000","611,528,000","675,632,000","570,101,000","471,025,000","586,840,000","326,527,000","340,564,000","515,788,000","277,633,000","447,038,000","505,178,000","899,666,000","905,138,000","807,554,000","839,934,000","706,541,000","940,058,000","911,002,000","1,116,579,000","1,235,946,000","1,066,358,000","634,794,000","528,023,000","385,166,000","468,321,000","520,740,000","447,340,000","525,858,000","617,038,000","453,903,000","265,006,000","128,769,000","269,832,000","218,526,000","156,665,000","245,556,000","232,690,000","155,791,000","195,056,000","151,034,000","178,720,000","102,929,000","108,801,000","121,435,000","226,570,000","163,865,000","157,191,000","496,748,000","520,968,000","214,102,000","257,927,000","249,661,000","221,725,000","128,408,000","138,925,000","97,162,000","82,260,000","45,458,000","31,786,000","4,200,000","5,400,000","200,000","8,600,000","1,400,000","1,500,000","1,200,000","2,700,000","1,900,000","2,100,000","1,400,000","700,000","3,800,000","800,000","900,000","1,200,000","900,000","900,000","600,000","500,000","900,000","800,000","1,100,000","700,000","600,000","400,000","300,000","400,000","300,000","400,000","2,300,000","3,900,000","3,200,000","2,700,000","3,400,000","3,100,000","900,000","3,400,000","400,000","600,000","3,200,000","2,100,000","2,000,000","1,800,000","1,300,000","2,700,000","300,000"
		Receivables,"6,192,203,000","5,768,940,000","5,390,102,000","5,423,370,000","6,241,740,000","5,995,247,000","5,200,039,000","5,250,159,000","5,783,666,000","4,816,963,000","4,981,866,000","4,538,603,000","3,047,927,000","2,866,028,000","2,706,079,000","2,580,799,000","2,995,114,000","2,926,554,000","2,694,650,000","2,573,955,000","2,811,963,000","3,064,553,000","2,996,350,000","3,061,180,000","3,215,729,000","3,104,581,000","2,777,486,000","2,749,087,000","3,215,920,000","2,781,490,000","2,622,811,000","2,656,030,000","2,871,243,000","2,928,041,000","2,833,724,000","2,916,549,000","2,896,671,000","2,976,372,000","2,356,816,000","2,488,057,000","2,648,460,000","2,743,728,000","2,331,503,000","2,277,938,000","2,346,185,000","2,629,263,000","2,757,981,000","2,779,347,000","2,659,446,000","2,732,814,000","2,318,118,000","2,371,194,000","2,464,735,000","2,329,860,000","1,955,173,000","2,033,943,000","2,160,138,000","2,046,549,000","1,897,118,000","2,187,035,000","2,217,474,000","2,211,051,000","1,974,627,000","2,044,121,000","2,111,384,000","2,045,325,000","1,745,203,000","1,823,209,000","1,714,902,000","1,631,890,000","1,655,411,000","1,644,789,000","1,702,957,000","1,741,252,000","1,641,839,000","1,818,574,000","2,142,792,000","2,113,312,000","1,914,748,000","2,013,753,000","1,906,315,000","1,872,200,000","1,792,000,000","1,676,900,000","1,796,000,000","1,520,400,000","909,800,000","914,800,000","909,400,000","890,100,000","700,800,000","626,500,000","633,600,000","590,200,000","508,600,000","486,300,000","445,200,000","416,400,000","349,600,000","323,900,000","309,800,000","305,800,000","274,900,000","243,900,000","205,000,000","175,500,000","151,600,000","137,900,000","121,300,000","109,600,000","93,400,000","84,500,000","81,400,000","77,300,000","60,300,000","51,500,000","50,900,000","48,000,000","39,800,000","37,900,000","39,900,000","34,800,000","26,100,000","24,800,000","23,200,000","15,500,000","8,100,000","4,800,000"
			AccountsReceivable,"6,192,203,000","5,768,940,000","5,390,102,000","5,423,370,000","6,241,740,000","5,995,247,000","5,200,039,000","5,250,159,000","5,783,666,000","4,816,963,000","4,981,866,000","4,538,603,000","3,047,927,000","2,866,028,000","2,706,079,000","2,580,799,000","2,995,114,000","2,926,554,000","2,694,650,000","2,573,955,000","2,811,963,000","3,064,553,000","2,996,350,000","3,061,180,000","3,215,729,000","3,104,581,000","2,777,486,000","2,749,087,000","3,215,920,000","2,781,490,000","2,622,811,000","2,656,030,000","2,871,243,000","2,928,041,000","2,833,724,000","2,916,549,000","2,896,671,000","2,976,372,000","2,356,816,000","2,488,057,000","2,648,460,000","2,743,728,000","2,331,503,000","2,277,938,000","2,346,185,000","2,629,263,000","2,757,981,000","2,779,347,000","2,659,446,000","2,732,814,000","2,318,118,000","2,371,194,000","2,464,735,000","2,329,860,000","1,955,173,000","2,033,943,000","2,160,138,000","2,046,549,000","1,897,118,000","2,187,035,000","2,217,474,000","2,211,051,000","1,974,627,000","2,044,121,000","2,111,384,000","2,045,325,000","1,745,203,000","1,823,209,000","1,714,902,000","1,631,890,000","1,655,411,000","1,644,789,000","1,702,957,000","1,741,252,000","1,641,839,000","1,818,574,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"6,271,643,000",,,,"6,315,010,000","5,995,247,000","5,200,039,000","5,250,159,000","5,874,090,000","4,816,963,000","4,981,866,000","4,538,603,000","3,086,694,000","2,907,428,000","2,749,629,000","2,626,650,000","3,040,989,000","2,974,522,000","2,741,632,000","2,621,633,000","2,862,106,000","3,119,931,000","3,053,482,000","3,120,881,000","3,274,483,000",,,,"3,274,204,000","2,835,784,000","2,672,839,000","2,707,925,000","2,923,956,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-79,440,000",,,,"-73,270,000",,,,"-90,424,000",,,,"-38,767,000","-41,400,000","-43,550,000","-45,851,000","-45,875,000","-47,968,000","-46,982,000","-47,678,000","-50,143,000","-55,378,000","-57,132,000","-59,701,000","-58,754,000",,,,"-58,284,000","-54,294,000","-50,028,000","-51,895,000","-52,713,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"3,042,541,000","3,145,381,000","3,115,899,000","3,260,840,000","3,297,385,000","3,201,213,000","3,022,673,000","2,917,468,000","3,065,218,000","2,862,199,000","2,703,763,000","2,601,951,000","2,118,902,000","2,253,962,000","2,145,070,000","2,092,742,000","2,117,384,000","2,111,649,000","1,975,741,000","1,968,782,000","1,959,627,000","2,321,088,000","2,193,927,000","2,333,325,000","2,450,782,000","2,262,179,000","2,038,957,000","2,185,803,000","2,254,510,000","2,025,424,000","1,819,233,000","1,949,279,000","1,802,976,000","1,961,299,000","1,878,911,000","2,271,537,000","2,205,394,000","2,165,473,000","1,782,822,000","1,776,357,000","1,704,658,000","1,697,006,000","1,504,660,000","1,565,654,000","1,728,916,000","1,955,730,000","1,814,242,000","1,758,205,000","1,642,317,000","1,768,763,000","1,488,525,000","1,490,067,000","1,556,008,000","1,573,195,000","1,320,236,000","1,431,312,000","1,527,729,000","1,530,030,000","1,408,143,000","1,537,181,000","1,492,479,000","1,462,497,000","1,231,650,000","1,380,464,000","1,330,081,000","1,290,038,000","1,078,907,000","1,224,570,000","997,875,000","961,268,000","936,008,000","1,092,109,000","910,823,000","1,133,191,000","1,106,477,000","1,443,929,000","1,669,574,000","1,818,799,000","1,557,285,000","1,459,262,000","1,540,030,000","1,448,300,000","1,305,500,000","1,284,600,000","1,369,400,000","1,064,100,000","811,300,000","969,600,000","1,028,400,000","1,014,700,000","705,600,000","671,100,000","760,000,000","641,200,000","440,400,000","430,700,000","465,400,000","379,000,000","320,300,000","335,800,000","364,500,000","316,700,000","289,400,000","252,200,000","225,600,000","182,800,000","183,900,000","166,600,000","158,600,000","126,000,000","106,400,000","119,200,000","84,800,000","81,800,000","70,500,000","69,400,000","64,400,000","67,700,000","58,500,000","60,600,000","50,800,000","57,200,000","43,400,000","35,300,000","44,300,000","27,200,000","11,100,000","3,300,000"
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,776,357,000",,,,,,,,,,,,,"1,556,008,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
