name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"6,037,000,000","5,993,000,000","5,681,000,000","5,303,000,000","4,878,000,000","4,453,000,000","4,559,000,000","4,330,000,000","4,555,000,000","4,691,000,000"
	NetInterestIncome,"4,614,000,000","4,614,000,000","4,532,000,000","4,173,000,000","3,758,000,000","3,402,000,000","3,301,000,000","3,058,000,000","3,227,000,000","3,320,000,000"
		InterestIncome,"6,097,000,000","6,189,000,000","5,758,000,000","4,920,000,000","4,266,000,000","3,854,000,000","3,664,000,000","3,501,000,000","3,846,000,000","4,204,000,000"
			InterestIncomeFromLoansAndLease,"5,447,000,000","5,517,000,000","5,057,000,000","4,277,000,000","3,674,000,000","3,228,000,000","3,040,000,000","3,013,000,000","3,222,000,000","3,447,000,000"
				InterestIncomeFromLoans,"5,447,000,000","5,517,000,000","5,057,000,000","4,277,000,000","3,674,000,000","3,228,000,000","3,040,000,000","3,013,000,000","3,222,000,000","3,447,000,000"
			InterestIncomeFromSecurities,"623,000,000","642,000,000","672,000,000","625,000,000","584,000,000","621,000,000","619,000,000","477,000,000","620,000,000","750,000,000"
			InterestIncomeFromDeposits,"27,000,000","30,000,000","29,000,000","18,000,000","8,000,000","5,000,000","5,000,000","11,000,000","4,000,000","7,000,000"
		InterestExpense,"1,483,000,000","1,575,000,000","1,226,000,000","747,000,000","508,000,000","452,000,000","363,000,000","443,000,000","619,000,000","884,000,000"
			InterestExpenseForDeposit,"1,095,000,000","1,155,000,000","785,000,000","441,000,000","270,000,000","237,000,000","160,000,000","216,000,000","375,000,000","490,000,000"
			InterestExpenseForShortTermDebt,"1,000,000","2,000,000","57,000,000","31,000,000","40,000,000","67,000,000","89,000,000","4,000,000","101,000,000","150,000,000"
			InterestExpenseForLongTermDebtAndCapitalSecurities,"379,000,000","410,000,000","378,000,000","272,000,000","196,000,000","132,000,000","82,000,000","31,000,000","24,000,000","53,000,000"
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,"8,000,000","6,000,000","3,000,000","2,000,000","16,000,000","32,000,000","192,000,000","119,000,000","191,000,000"
	NonInterestIncome,"1,423,000,000","1,379,000,000","1,149,000,000","1,130,000,000","1,120,000,000","1,051,000,000","1,258,000,000","1,272,000,000","1,328,000,000","1,371,000,000"
		TotalPremiumsEarned,,,,"54,000,000","54,000,000","56,000,000","49,000,000","50,000,000","51,000,000","49,000,000"
		FeesAndCommissions,"1,195,000,000","1,116,000,000","940,000,000","926,000,000","808,000,000","782,000,000","707,000,000","869,000,000","986,000,000","979,000,000"
			FeesandCommissionIncome,"1,718,000,000","1,614,000,000","1,387,000,000","1,330,000,000","1,185,000,000","1,153,000,000","1,127,000,000","1,229,000,000","1,325,000,000","1,319,000,000"
				ServiceChargeOnDepositorAccounts,"1,054,000,000","942,000,000","793,000,000","745,000,000","711,000,000","676,000,000","645,000,000","793,000,000","893,000,000","804,000,000"
				TrustFeesbyCommissions,"208,000,000","202,000,000","171,000,000","158,000,000","146,000,000","157,000,000","158,000,000","149,000,000","131,000,000","131,000,000"
				CreditCard,"251,000,000","254,000,000","244,000,000","233,000,000","203,000,000","232,000,000","233,000,000","234,000,000","249,000,000","344,000,000"
				OtherCustomerServices,"205,000,000","216,000,000","179,000,000","194,000,000","125,000,000","88,000,000","91,000,000","53,000,000","52,000,000","40,000,000"
			FeesandCommissionExpense,"523,000,000","498,000,000","447,000,000","404,000,000","377,000,000","371,000,000","420,000,000","360,000,000","339,000,000","340,000,000"
		ForeignExchangeTradingGains,"143,000,000","155,000,000","126,000,000","109,000,000","90,000,000","90,000,000","95,000,000","97,000,000","105,000,000","114,000,000"
		GainLossonSaleofAssets,"10,000,000","17,000,000","16,000,000","4,000,000","4,000,000","22,000,000","18,000,000","136,000,000","71,000,000","143,000,000"
			GainOnSaleOfSecurity,"10,000,000","17,000,000","16,000,000","4,000,000","4,000,000","22,000,000","18,000,000","136,000,000","71,000,000","143,000,000"
		OtherNonInterestIncome,"75,000,000","91,000,000","67,000,000","37,000,000","164,000,000","101,000,000","389,000,000","120,000,000","115,000,000","86,000,000"
CreditLossesProvision,"-908,000,000","-393,000,000","-326,000,000","-321,000,000","-369,000,000","-302,000,000","-319,000,000","-479,000,000","-413,000,000","-882,000,000"
NonInterestExpense,"3,093,000,000","3,047,000,000","2,957,000,000","2,819,000,000","2,729,000,000","2,663,000,000","2,717,000,000","2,628,000,000","2,847,000,000","2,661,000,000"
	OccupancyAndEquipment,"856,000,000","847,000,000","608,000,000","582,000,000","570,000,000","576,000,000","576,000,000","602,000,000","589,000,000","673,000,000"
		NetOccupancyExpense,"334,000,000","333,000,000","333,000,000","319,000,000","307,000,000","319,000,000","326,000,000","327,000,000","310,000,000","372,000,000"
		Equipment,"522,000,000","514,000,000","275,000,000","263,000,000","263,000,000","257,000,000","250,000,000","275,000,000","279,000,000","301,000,000"
	SellingGeneralAndAdministration,"2,237,000,000","2,200,000,000","2,160,000,000","2,057,000,000","1,989,000,000","1,941,000,000","1,996,000,000","1,924,000,000","2,181,000,000","1,935,000,000"
		GeneralAndAdministrativeExpense,"2,128,000,000","2,088,000,000","2,031,000,000","1,952,000,000","1,891,000,000","1,840,000,000","1,910,000,000","1,848,000,000","2,095,000,000","1,833,000,000"
			SalariesAndWages,"2,066,000,000","2,026,000,000","1,880,000,000","1,761,000,000","1,709,000,000","1,636,000,000","1,678,000,000","1,652,000,000","1,743,000,000","1,623,000,000"
			InsuranceAndClaims,,"62,000,000","104,000,000","137,000,000","120,000,000","115,000,000","95,000,000","85,000,000","98,000,000","117,000,000"
			OtherGandA,,,"47,000,000","54,000,000","62,000,000","89,000,000","137,000,000","111,000,000","254,000,000","93,000,000"
		SellingAndMarketingExpense,"109,000,000","112,000,000","129,000,000","105,000,000","98,000,000","101,000,000","86,000,000","76,000,000","86,000,000","102,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,,"189,000,000","180,000,000","170,000,000","146,000,000","145,000,000","102,000,000","77,000,000","53,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,"189,000,000","180,000,000","170,000,000","146,000,000","145,000,000","102,000,000","77,000,000","53,000,000"
			Amortization,,,"189,000,000","180,000,000","170,000,000","146,000,000","145,000,000","102,000,000","77,000,000","53,000,000"
				AmortizationOfIntangiblesIncomeStatement,,,"189,000,000","180,000,000","170,000,000","146,000,000","145,000,000","102,000,000","77,000,000","53,000,000"
	OtherNonInterestExpense,,"476,000,000","495,000,000","547,000,000","526,000,000","530,000,000","573,000,000",,,
SpecialIncomeCharges,,,,,,,"0","-4,435,000,000","0","0"
	ImpairmentOfCapitalAssets,,,,,,,"0","4,435,000,000","0","0"
OtherNonOperatingIncomeExpenses,"-306,000,000","-302,000,000","-215,000,000","-251,000,000","-246,000,000","-225,000,000","-255,000,000","-256,000,000","-271,000,000","-370,000,000"
PretaxIncome,"1,730,000,000","2,251,000,000","2,183,000,000","1,912,000,000","1,534,000,000","1,263,000,000","1,268,000,000","-3,468,000,000","1,024,000,000","778,000,000"
TaxProvision,"344,000,000","460,000,000","462,000,000","260,000,000","489,000,000","423,000,000","403,000,000","-42,000,000","381,000,000","272,000,000"
NetIncomeCommonStockholders,"1,306,000,000","1,718,000,000","1,692,000,000","1,638,000,000","1,031,000,000","833,000,000","865,000,000","-3,426,000,000","643,000,000","506,000,000"
	NetIncome,"1,386,000,000","1,791,000,000","1,721,000,000","1,652,000,000","1,045,000,000","840,000,000","865,000,000","-3,426,000,000","643,000,000","506,000,000"
		NetIncomeIncludingNoncontrollingInterests,"1,386,000,000","1,791,000,000","1,721,000,000","1,652,000,000","1,045,000,000","840,000,000","865,000,000","-3,426,000,000","643,000,000","506,000,000"
			NetIncomeContinuousOperations,"1,386,000,000","1,791,000,000","1,721,000,000","1,652,000,000","1,045,000,000","840,000,000","865,000,000","-3,426,000,000","643,000,000","506,000,000"
	PreferredStockDividends,"80,000,000","73,000,000","29,000,000","14,000,000","14,000,000","7,000,000",,,,
DilutedNIAvailtoComStockholders,"1,306,000,000","1,718,000,000","1,692,000,000","1,638,000,000","1,031,000,000","833,000,000","865,000,000","-3,426,000,000","643,000,000","506,000,000"
BasicEPS,,"3.82","3.54","3.26","1.97","1.55","1.55","-6.118","1.15","0.904"
DilutedEPS,,"3.81","3.52","3.25","1.97","1.55","1.55","-6.118","1.15","0.904"
BasicAverageShares,,"449,731,453","478,822,072","502,157,440","522,093,545","535,599,731","556,674,146","559,998,324","559,998,324","559,998,324"
DilutedAverageShares,,"451,213,701","480,430,741","503,685,091","523,930,718","538,220,898","557,724,936","559,998,324","559,998,324","559,998,324"
InterestIncomeAfterProvisionForLoanLoss,"3,706,000,000","4,221,000,000","4,206,000,000","3,852,000,000","3,389,000,000","3,100,000,000","2,982,000,000","2,579,000,000","2,814,000,000","2,438,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,386,000,000","1,791,000,000","1,721,000,000","1,652,000,000","1,045,000,000","840,000,000","865,000,000","-3,426,000,000","643,000,000","506,000,000"
NormalizedIncome,"1,386,000,000","1,791,000,000","1,721,000,000","1,652,000,000","1,045,000,000","840,000,000","865,000,000","955,336,500","643,000,000","506,000,000"
TotalMoneyMarketInvestments,"27,000,000","30,000,000","29,000,000","18,000,000","8,000,000","5,000,000","5,000,000","11,000,000","4,000,000","7,000,000"
ReconciledDepreciation,"703,000,000","633,000,000","489,000,000","502,000,000","523,000,000","471,000,000","386,000,000","404,000,000","467,000,000","434,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,386,000,000","1,791,000,000","1,721,000,000","1,652,000,000","1,045,000,000","840,000,000","865,000,000","-3,426,000,000","643,000,000","506,000,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,"0","-4,435,000,000","0","0"
TotalUnusualItems,,,,,,,"0","-4,435,000,000","0","0"
TaxRateForCalcs,"0.199","0.204","0.212","0.136","0.319","0.335","0.318","0.012","0.372","0.353"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","-53,663,500","0","0"
