name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996
TotalAssets,"51,005,000,000","43,481,000,000","43,786,000,000","41,119,000,000","38,679,000,000","37,191,000,000","37,520,000,000","37,511,000,000","38,410,000,000","39,412,000,000","38,627,000,000","30,110,000,000","29,165,000,000","28,834,000,000","28,818,000,000","27,107,000,000","27,154,000,000","25,766,000,000","26,375,000,000","25,159,000,000","24,096,000,000","23,815,000,000","23,831,000,000","23,579,000,000","23,087,000,000","22,236,000,000","21,836,000,000","21,183,000,000","20,520,000,000","21,018,000,000","19,513,000,000","18,913,885,000","21,078,639,000","20,080,452,000","17,125,762,000","15,690,604,000","15,757,196,000","15,032,642,000","14,726,918,000","13,932,238,000","15,190,065,000","18,447,184,000","18,371,810,000","17,219,634,000","13,114,240,000","12,495,222,000","15,951,522,000","19,693,947,000","17,734,635,000","18,859,233,000","18,092,327,000","19,210,978,000","18,531,916,000","17,261,584,000","16,558,469,000","22,318,210,000","22,953,216,000","15,776,079,000","16,417,110,000","16,505,871,000","16,354,908,000","17,083,779,000","15,277,021,000","15,304,692,000","15,419,758,000","14,210,811,000","14,404,268,000","12,707,973,000","11,162,856,000","9,961,553,000","9,800,841,000","4,882,003,000","4,899,903,000","4,516,248,000","3,653,871,000","3,712,842,000","3,642,755,000","3,514,244,000","3,798,236,000","3,772,513,000","4,468,300,000","3,872,700,000","3,037,100,000","2,651,800,000","2,105,000,000","1,768,100,000","1,290,400,000","1,157,100,000","1,125,700,000","829,700,000","757,400,000","690,900,000","607,300,000","502,500,000","401,700,000"
TotalLiabilitiesNetMinorityInterest,"41,852,000,000","34,734,000,000","35,086,000,000","32,626,000,000","30,356,000,000","28,834,000,000","29,517,000,000","29,575,000,000","30,815,000,000","31,979,000,000","31,380,000,000","24,650,000,000","23,840,000,000","23,635,000,000","23,767,000,000","22,135,000,000","22,282,000,000","20,792,000,000","21,472,000,000","20,166,000,000","19,222,000,000","19,055,000,000","19,083,000,000","18,881,000,000","18,420,000,000","17,708,000,000","17,160,000,000","16,632,000,000","16,108,000,000","16,740,000,000","15,088,000,000","14,573,496,000","16,831,561,000","15,942,122,000","13,009,945,000","11,515,532,000","11,625,883,000","11,013,277,000","10,955,039,000","10,100,349,000","11,309,688,000","14,742,539,000","14,820,527,000","13,842,068,000","10,330,696,000","9,417,132,000","13,026,484,000","16,944,205,000","15,182,023,000","16,472,574,000","15,937,406,000","17,234,932,000","16,683,545,000","15,509,144,000","14,828,235,000","20,668,893,000","21,504,715,000","14,148,731,000","14,898,243,000","15,103,748,000","15,046,452,000","15,819,404,000","14,066,113,000","14,117,240,000","14,180,347,000","13,009,831,000","13,168,494,000","11,541,800,000","10,065,677,000","8,838,219,000","8,702,442,000","4,497,313,000","4,515,573,000","4,115,559,000","3,282,438,000","3,466,929,000","3,445,060,000","3,375,311,000","3,534,068,000","3,557,089,000","4,158,306,000","3,590,300,000","2,816,600,000","2,313,000,000","1,900,700,000","1,651,500,000","1,205,800,000","1,095,800,000","1,070,300,000","774,000,000","690,400,000","630,300,000","552,000,000","471,900,000","371,000,000"
TotalEquityGrossMinorityInterest,"9,153,000,000","8,747,000,000","8,700,000,000","8,493,000,000","8,323,000,000","8,357,000,000","8,003,000,000","7,936,000,000","7,595,000,000","7,433,000,000","7,247,000,000","5,460,000,000","5,325,000,000","5,199,000,000","5,051,000,000","4,972,000,000","4,872,000,000","4,974,000,000","4,903,000,000","4,993,000,000","4,874,000,000","4,760,000,000","4,748,000,000","4,698,000,000","4,667,000,000","4,528,000,000","4,676,000,000","4,551,000,000","4,412,000,000","4,278,000,000","4,425,000,000","4,340,389,000","4,247,078,000","4,138,330,000","4,115,817,000","4,175,072,000","4,131,313,000","4,019,365,000","3,771,879,000","3,831,889,000","3,880,377,000","3,704,645,000","3,551,283,000","3,377,566,000","2,783,544,000","3,078,090,000","2,925,038,000","2,749,742,000","2,552,612,000","2,386,659,000","2,154,921,000","1,976,046,000","1,848,371,000","1,752,440,000","1,730,234,000","1,649,317,000","1,448,501,000","1,627,348,000","1,518,867,000","1,402,123,000","1,308,456,000","1,264,375,000","1,210,908,000","1,187,452,000","1,239,411,000","1,200,980,000","1,235,774,000","1,166,173,000","1,097,179,000","1,123,334,000","1,098,399,000","384,690,000","384,330,000","400,689,000","371,433,000","245,913,000","197,695,000","138,933,000","264,168,000","215,424,000","309,994,000","282,400,000","220,500,000","338,800,000","204,300,000","116,600,000","84,600,000","61,300,000","55,400,000","55,700,000","67,000,000","60,600,000","55,300,000","30,600,000","30,700,000"
	StockholdersEquity,"9,153,000,000","8,747,000,000","8,700,000,000","8,493,000,000","8,323,000,000","8,357,000,000","8,003,000,000","7,936,000,000","7,595,000,000","7,433,000,000","7,247,000,000","5,460,000,000","5,325,000,000","5,199,000,000","5,051,000,000","4,972,000,000","4,872,000,000","4,974,000,000","4,903,000,000","4,993,000,000","4,874,000,000","4,760,000,000","4,748,000,000","4,698,000,000","4,667,000,000","4,528,000,000","4,676,000,000","4,551,000,000","4,412,000,000","4,278,000,000","4,425,000,000","4,340,389,000","4,247,078,000","4,138,330,000","4,115,817,000","4,175,072,000","4,131,313,000","4,019,365,000","3,771,879,000","3,831,889,000","3,880,377,000","3,704,645,000","3,551,283,000","3,377,566,000","2,783,544,000","3,078,090,000","2,925,038,000","2,749,742,000","2,552,612,000","2,386,659,000","2,154,921,000","1,976,046,000","1,848,371,000","1,752,440,000","1,730,234,000","1,649,317,000","1,448,501,000","1,627,348,000","1,518,867,000","1,402,123,000","1,308,456,000","1,264,375,000","1,210,908,000","1,187,452,000","1,239,411,000","1,200,980,000","1,235,774,000","1,166,173,000","1,097,179,000","1,123,334,000","1,098,399,000","384,690,000","384,330,000","400,689,000","371,433,000","245,913,000","197,695,000","138,933,000","264,168,000","215,424,000","309,994,000","282,400,000","220,500,000","338,800,000","204,300,000","116,600,000","84,600,000","61,300,000","55,400,000","55,700,000","67,000,000","60,600,000","55,300,000","30,600,000","30,700,000"
		CapitalStock,,"7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,339,000","4,336,000","4,336,000","2,167,000","2,163,000","2,162,000","2,154,000","1,894,000","1,816,000","1,769,000","1,764,000","1,750,000","1,747,000","1,800,000","1,700,000",,,,,,,,,,,,
			PreferredStock,,"0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,,"7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","6,314,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,351,000","4,339,000","4,336,000","4,336,000","2,167,000","2,163,000","2,162,000","2,154,000","1,894,000","1,816,000","1,769,000","1,764,000","1,750,000","1,747,000","1,800,000","1,700,000",,,,,,,,,,,,
		AdditionalPaidInCapital,,"3,459,000,000","3,452,000,000","3,355,000,000","3,345,000,000","3,400,000,000","3,379,000,000","3,395,000,000","3,387,000,000","3,375,000,000","3,369,000,000","1,699,000,000","1,696,000,000","1,689,000,000","1,670,000,000","1,654,000,000","1,656,000,000","1,642,000,000","1,649,000,000","1,638,000,000","1,630,000,000","1,623,000,000","1,618,000,000","1,610,000,000","1,604,000,000","1,593,000,000","1,592,000,000","1,586,000,000","1,579,000,000","1,581,000,000","1,587,000,000","1,602,161,000","1,588,478,000","1,586,041,000","1,583,327,000","1,574,641,000","1,563,070,000","1,558,992,000","1,390,283,000","1,555,811,000","1,555,014,000","1,558,727,000","1,574,638,000","1,576,491,000","1,603,744,000","1,619,775,000","1,613,700,000","1,611,567,000","1,604,248,000","1,597,221,000","1,598,451,000","1,594,790,000","1,599,194,000","1,595,760,000","1,591,610,000","1,597,007,000","1,605,976,000","1,187,017,000","1,184,004,000","1,182,943,000","1,193,740,000","1,194,639,000","1,195,218,000","1,195,051,000","1,194,817,000","1,193,656,000","1,188,444,000","1,176,587,000","1,167,786,000","1,164,839,000","1,160,200,000","392,428,000","388,833,000","388,733,000","384,175,000","229,529,000","161,619,000","52,042,000","47,864,000","29,010,000","25,972,000","25,800,000","24,100,000",,,,,,,,,,,,
		RetainedEarnings,,"8,790,000,000","8,580,000,000","8,194,000,000","7,805,000,000","7,475,000,000","7,011,000,000","6,673,000,000","6,341,000,000","6,189,000,000","6,011,000,000","5,895,000,000","5,759,000,000","5,640,000,000","5,518,000,000","5,423,000,000","5,273,000,000","5,159,000,000","5,038,000,000","4,904,000,000","4,789,000,000","4,681,000,000","4,551,000,000","4,406,000,000","4,282,000,000","4,154,000,000","4,304,000,000","4,153,000,000","4,019,000,000","3,924,000,000","4,100,000,000","3,989,475,000","3,868,551,000","3,764,768,000","3,645,846,000","3,510,471,000","3,381,644,000","3,238,664,000","3,122,305,000","3,008,346,000","2,828,907,000","2,666,354,000","2,530,117,000","2,373,377,000","2,202,840,000","2,070,810,000","1,886,412,000","1,714,413,000","1,510,050,000","1,323,334,000","1,086,662,000","886,231,000","727,533,000","586,395,000","440,762,000","312,652,000","172,835,000","738,739,000","652,742,000","568,756,000","494,084,000","423,070,000","330,519,000","273,324,000","211,066,000","130,109,000","58,172,000","3,059,000","-46,811,000","-56,428,000","-78,470,000","-32,782,000","-38,557,000","-40,503,000","-49,507,000","-35,483,000","-35,553,000","18,638,000","41,670,000","41,385,000","36,787,000","33,600,000","55,300,000","64,500,000","55,600,000","47,500,000","43,800,000","38,000,000","32,000,000","32,300,000","43,500,000","37,700,000","33,100,000","29,600,000","29,700,000"
		TreasuryStock,,"3,527,000,000","3,380,000,000","3,074,000,000","2,832,000,000","2,515,000,000","2,371,000,000","2,118,000,000","2,120,000,000","2,119,000,000","2,116,000,000","2,116,000,000","2,111,000,000","2,110,000,000","2,121,000,000","2,088,000,000","2,039,000,000","1,809,000,000","1,765,000,000","1,529,000,000","1,525,000,000","1,523,000,000","1,409,000,000","1,309,000,000","1,219,000,000","1,225,000,000","1,226,000,000","1,226,000,000","1,227,000,000","1,264,000,000","1,286,000,000","1,257,917,000","1,216,605,000","1,219,121,000","1,119,969,000","916,838,000","820,180,000","785,110,000","747,271,000","738,698,000","510,011,000","526,895,000","559,883,000","578,691,000","1,027,486,000","617,299,000","580,664,000","582,292,000","568,340,000","540,961,000","537,547,000","512,007,000","485,169,000","439,705,000","312,410,000","270,028,000","340,011,000","353,444,000","364,794,000","383,423,000","413,479,000","387,209,000","346,060,000","312,121,000","198,460,000","154,280,000","41,452,000","43,088,000","50,423,000","13,196,000","7,317,000","2,646,000","2,647,000","2,649,000","1,746,000","307,000","310,000","311,000","331,000","64,000","65,000","100,000","100,000",,,,,,,,,,,,
