name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalAssets,"31,713,450,000","30,833,015,000","27,904,129,000","21,659,190,000","19,504,068,000","15,758,605,000","13,365,550,000","13,129,678,000","11,757,928,000","10,026,766,000","9,700,402,000","5,583,226,000","4,916,958,000","3,203,046,000","2,852,592,000","2,448,602,000","2,115,811,000","1,570,588,000","1,426,825,000","1,396,162,000","1,363,600,000","1,401,600,000","947,300,000","929,300,000","608,800,000"
	CashCashEquivalentsAndFederalFundsSold,"894,723,000","690,453,000","625,724,000","1,362,126,000","510,267,000","582,443,000","419,494,000","1,000,031,000","573,296,000","346,816,000","436,818,000","345,865,000","123,105,000","84,905,000","126,800,000","53,252,000","69,571,000","63,775,000","57,281,000","42,538,000","54,500,000","156,100,000","50,500,000","59,200,000","55,400,000"
		CashAndCashEquivalents,"894,723,000","690,453,000","625,724,000","1,362,126,000","510,267,000","582,443,000","419,494,000","1,000,031,000","573,296,000","337,778,000","175,397,000","345,865,000","123,105,000","84,905,000","126,800,000","53,252,000","69,571,000","63,775,000","51,681,000","34,541,000","47,700,000","145,900,000","44,300,000","53,400,000","51,700,000"
			CashFinancial,"289,794,000","294,186,000","319,156,000","295,896,000","241,650,000","251,994,000","238,672,000","248,214,000",,,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,"159,716,000","93,263,000","51,078,000","66,697,000","33,927,000","48,849,000","36,555,000","35,945,000",,,,,,
			CashAndDueFromBanks,"604,929,000","396,267,000","306,568,000","1,066,230,000","268,617,000","330,449,000","180,822,000","751,817,000","573,296,000","337,778,000","175,397,000","186,149,000","29,842,000","33,827,000","60,103,000","19,325,000","20,722,000","27,220,000","15,736,000","34,541,000","47,700,000","145,900,000","44,300,000","53,400,000","51,700,000"
		MoneyMarketInvestments,,,,,,,,,,"9,038,000","261,421,000",,,,,,,,"5,600,000","7,997,000","6,800,000","10,200,000","6,200,000","5,800,000","3,700,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"0",,,,,,,,,"9,038,000","261,421,000",,,,,,,,"5,600,000","7,997,000","6,800,000","10,200,000","6,200,000","5,800,000","3,700,000"
				FederalFundsSold,,,,,,,,,"0","9,038,000","261,421,000",,,,,,,,,,,,,,
				SecurityAgreeToBeResell,"0",,,,,,,,,,,,,,,,,,,,,,,,
	FederalHomeLoanBankStock,"179,082,000","192,436,000",,,,"38,476,000","24,369,000","16,860,000",,,,,,,,,,,,,,,,,
	OtherRealEstateOwned,"27,985,000","30,394,000",,,,,,,,,,,,,,,,,,,,,,,
	BankOwnedLifeInsurance,"232,898,000","226,219,000",,,,,,,,,,,,,,,,,,,,,,,
	SecuritiesAndInvestments,"4,116,321,000","4,991,025,000","4,817,380,000","3,535,313,000","2,899,214,000","2,277,119,000","2,092,212,000","1,950,368,000","1,997,969,000","2,019,814,000","1,580,837,000","889,476,000","804,877,000","581,352,000","572,582,000","566,955,000","479,622,000","368,122,000","321,907,000","344,545,000","384,900,000","377,600,000","192,400,000","254,400,000","138,900,000"
		TradingSecurities,,,,,,,,,,,,,,,,,,,,,,,,"400,000","400,000"
		AvailableForSaleSecurities,,,,,,"1,306,000","1,306,000","302,000","1,805,205,000","1,729,794,000","1,320,476,000","889,476,000","804,877,000","581,352,000","572,582,000","566,955,000","479,622,000","368,122,000","321,907,000","344,545,000","384,900,000","377,600,000","192,400,000","254,000,000","138,500,000"
