name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
TotalRevenue,"2,133,576,000","538,408,000","545,072,000","533,422,000","516,671,000","505,661,000","497,792,000","494,373,000","476,867,000","468,296,000","450,769,000","434,531,000","419,783,000","410,882,000","399,027,000","388,583,000","383,849,000","367,116,000","358,220,000","359,596,000","353,574,000","345,139,000","345,385,000","339,187,000","331,130,000","324,328,000","327,240,000","319,457,000","312,307,000","308,445,000","304,501,000","299,088,000","300,525,000","286,601,000","275,855,000","275,791,000","275,095,000","276,352,000","279,387,000","241,236,000","234,299,000","606,942,000","578,602,000","551,376,000","547,587,000","542,836,000","470,881,000","535,574,000"
	OperatingRevenue,"2,133,576,000","538,408,000","545,072,000","533,422,000","516,671,000","505,661,000","497,792,000","494,373,000","476,867,000","468,296,000","450,769,000","434,531,000","419,783,000","410,882,000","399,027,000","388,583,000","383,849,000","367,116,000","358,220,000","359,596,000","353,574,000","345,139,000","345,385,000","339,187,000","331,130,000","324,328,000","327,240,000","319,457,000","312,307,000","308,445,000","304,501,000","299,088,000","300,525,000","286,601,000","275,855,000","275,791,000","275,095,000","276,352,000","279,387,000","241,236,000","234,299,000","606,942,000","578,602,000","551,376,000","547,587,000","542,836,000","470,881,000","535,574,000"
NetNonOperatingInterestIncomeExpense,"-79,946,000","-20,664,000","-20,335,000","-19,978,000","-18,970,000","-17,854,000","-17,659,000","-16,808,000","-16,281,000","-15,546,000","-14,972,000","-14,304,000","-13,230,000","-12,845,000","-12,321,000","-12,141,000","-11,783,000","-11,327,000","-11,565,000","-12,490,000","-11,349,000","-8,676,000","-8,700,000","-8,712,000","-8,552,000","-8,606,000","-8,704,000","-8,726,000","-8,793,000","-8,795,000","-8,857,000","-8,828,000","-8,506,000","-6,910,000","-6,973,000","-7,000,000","-6,998,000","-6,997,000","-6,976,000","-6,968,000","-6,928,000",,,"0","0",,,
	InterestExpenseNonOperating,"79,946,000","20,664,000","20,335,000","19,978,000","18,970,000","17,854,000","17,659,000","16,808,000","16,281,000","15,546,000","14,972,000","14,304,000","13,230,000","12,845,000","12,321,000","12,141,000","11,783,000","11,327,000","11,565,000","12,490,000","11,349,000","8,676,000","8,700,000","8,712,000","8,552,000","8,606,000","8,704,000","8,726,000","8,793,000","8,795,000","8,857,000","8,828,000","8,506,000","6,910,000","6,973,000","7,000,000","6,998,000","6,997,000","6,976,000","6,968,000","6,928,000",,,,,,,
OtherIncomeExpense,"55,967,000","13,665,000","13,779,000","14,698,000","13,825,000","13,223,000","13,940,000","14,359,000","14,790,000","13,897,000","14,710,000","14,291,000","14,150,000","12,939,000","13,223,000","13,069,000","13,007,000","11,889,000","12,132,000","11,105,000","10,651,000","9,929,000","10,916,000","10,791,000","10,385,000","10,043,000","10,773,000","10,711,000","11,197,000","10,660,000","11,642,000","11,716,000","11,580,000","11,594,000","12,526,000","12,887,000","11,816,000","11,452,000","12,362,000","12,239,000","12,466,000","11,893,000","13,949,000","12,585,000","13,542,000","12,955,000","14,240,000","15,023,000"
PretaxIncome,"469,289,000","94,546,000","122,144,000","125,139,000","127,460,000","102,368,000","107,924,000","111,435,000","113,765,000","82,963,000","108,088,000","100,200,000","96,389,000","74,842,000","87,064,000","88,437,000","91,880,000","70,212,000","72,393,000","74,953,000","76,825,000","66,809,000","69,129,000","64,020,000","75,740,000","66,832,000","56,966,000","66,554,000","67,446,000","60,232,000","60,946,000","70,556,000","71,921,000","63,465,000","62,687,000","63,851,000","68,161,000","81,145,000","80,523,000","61,879,000","36,338,000","220,402,000","198,971,000","187,875,000","198,334,000","174,775,000","-216,683,000","162,052,000"
TaxProvision,"109,594,000","22,077,000","28,587,000","28,916,000","30,014,000","23,203,000","21,380,000","26,296,000","27,065,000","17,248,000","-60,354,000","33,565,000","33,282,000","22,772,000","30,190,000","30,400,000","32,554,000","25,036,000","24,446,000","25,603,000","27,652,000","23,408,000","23,664,000","22,407,000","26,469,000","23,347,000","19,766,000","23,364,000","23,956,000","21,387,000","20,675,000","24,957,000","25,741,000","21,709,000","21,502,000","23,250,000","24,138,000","28,678,000","27,634,000","22,284,000","14,330,000","77,116,000","72,890,000","64,044,000","66,214,000","62,218,000","-9,975,000","56,718,000"
NetIncomeCommonStockholders,"359,695,000","72,469,000","94,808,000","95,808,000","97,018,000","78,764,000","86,056,000","84,654,000","86,217,000","65,290,000","167,242,000","66,170,000","62,677,000","51,649,000","56,392,000","57,543,000","58,835,000","45,176,000","46,375,000","49,350,000","49,173,000","43,401,000","41,849,000","41,595,000","49,271,000","45,080,000","36,702,000","42,633,000","42,938,000","37,828,000","35,621,000","45,599,000","46,180,000","41,756,000","41,185,000","40,601,000","44,023,000","52,467,000","52,889,000","39,595,000","22,008,000","143,286,000","126,081,000","123,831,000","132,120,000","112,557,000","-206,708,000","105,334,000"
	NetIncome,"359,695,000","72,469,000","93,557,000","96,223,000","97,446,000","79,165,000","86,544,000","85,139,000","86,700,000","65,715,000","168,442,000","66,635,000","63,107,000","52,070,000","56,874,000","58,037,000","59,326,000","45,176,000","47,947,000","49,350,000","49,173,000","43,401,000","45,465,000","41,595,000","49,271,000","45,080,000","37,200,000","43,190,000","43,490,000","38,845,000","40,271,000","45,599,000","46,180,000","41,756,000","41,185,000","40,601,000","44,023,000","52,467,000","52,889,000","39,595,000","22,008,000","143,286,000","126,081,000","123,831,000","132,120,000","112,557,000","-206,708,000","105,334,000"
		NetIncomeIncludingNoncontrollingInterests,"359,695,000","72,469,000","93,557,000","96,223,000","97,446,000","79,165,000","86,544,000","85,139,000","86,700,000","65,715,000","168,442,000","66,635,000","63,107,000","52,070,000","56,874,000","58,037,000","59,326,000","45,176,000","47,947,000","49,350,000","49,173,000","43,401,000","45,465,000","41,595,000","49,271,000","45,080,000","37,200,000","43,190,000","43,490,000","38,845,000","40,271,000","45,599,000","46,180,000","41,756,000","41,185,000","40,601,000","44,023,000","52,467,000","52,889,000","39,595,000","22,008,000","143,286,000","126,081,000","123,831,000","132,120,000","112,557,000","-206,708,000","105,334,000"
			NetIncomeContinuousOperations,"359,695,000","72,469,000","93,557,000","96,223,000","97,446,000","79,165,000","86,544,000","85,139,000","86,700,000","65,715,000","168,442,000","66,635,000","63,107,000","52,070,000","56,874,000","58,037,000","59,326,000","45,176,000","47,947,000","49,350,000","49,173,000","43,401,000","45,465,000","41,613,000","49,271,000","43,485,000","37,200,000","43,190,000","43,490,000","38,845,000","40,271,000","45,599,000","46,180,000","41,756,000","41,185,000","40,601,000","44,023,000","52,467,000","52,889,000","39,595,000","22,008,000","143,286,000","126,081,000","123,831,000","132,120,000","112,557,000","-206,708,000","105,334,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-18,000","0","1,595,000",,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,"415,000","428,000","401,000","488,000","485,000","483,000","425,000","1,200,000","465,000","430,000","421,000","482,000","494,000","491,000",,"374,000","379,000","366,000",,"491,000","447,000","542,000","577,000","498,000","557,000","552,000","1,017,000",,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"359,695,000","72,469,000","94,805,000","95,810,000","97,019,000","78,765,000","86,057,000","84,655,000","86,218,000","65,291,000","167,245,000","66,171,000","62,677,000","51,649,000","56,393,000","57,544,000","58,836,000","45,176,000","46,376,000","49,350,000","49,173,000","43,401,000","41,850,000","41,595,000","49,271,000","45,080,000","36,700,000","42,633,000","42,948,000","37,854,000","35,710,000","45,599,000","46,180,000","41,756,000","41,185,000","40,601,000","44,023,000","52,467,000","52,889,000","39,595,000","22,008,000","143,286,000","126,081,000","123,831,000","132,120,000","112,557,000","-206,708,000","105,334,000"
BasicEPS,,"1.75","2.25","2.27","2.28","1.84","1.99","1.95","1.96","1.46","3.73","1.46","1.36","1.12","1.21","1.22","1.23","0.92","0.97","0.98","0.94","0.82","0.84","0.75","0.89","0.81","0.67","0.78","0.76","0.67","0.68","0.74","0.73","0.63",,"0.54","0.58","0.69",,"0.53","0.29","1.91",,"1.651","1.762","1.501",,
DilutedEPS,,"1.75","2.24","2.27","2.28","1.83","1.99","1.94","1.95","1.46","3.72","1.46","1.36","1.11","1.21","1.22","1.23","0.92","0.97","0.98","0.94","0.82","0.84","0.75","0.89","0.81","0.67","0.78","0.74","0.65","0.67","0.72","0.72","0.61",,"0.53","0.58","0.68",,"0.52","0.29","1.91",,"1.651","1.762","1.501",,
BasicAverageShares,,"41,131,000","41,471,000","41,963,672","42,482,631","42,824,000","43,179,898","43,452,234","44,065,972","44,740,000","44,809,433","45,317,641","45,983,783","46,301,000","46,444,000","47,008,000","47,657,649","48,550,000","49,061,165","50,081,730","51,786,679","52,643,000","53,420,998","54,712,874","54,926,561","55,211,213","55,080,615","54,957,274","56,510,785","56,598,327","57,416,000","60,060,000","61,530,879","65,133,035",,"73,658,000","73,457,000","72,671,000",,"72,259,000","71,843,588","72,712,625",,"75,000,000","75,000,000","75,000,000",,
