name,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013
TotalAssets,"51,803,000,000","55,493,000,000","61,406,000,000","79,679,000,000","81,270,000,000","65,071,000,000","68,775,000,000"
	CurrentAssets,"15,143,000,000","17,272,000,000","21,444,000,000","28,917,000,000","31,173,000,000","22,031,000,000","24,379,000,000"
		CashCashEquivalentsAndShortTermInvestments,"3,753,000,000","4,880,000,000","9,579,000,000","12,987,000,000","9,842,000,000","2,319,000,000","2,182,000,000"
			CashAndCashEquivalents,"3,753,000,000","4,880,000,000","9,579,000,000","12,987,000,000","9,842,000,000","2,319,000,000","2,182,000,000"
		Receivables,"7,911,000,000","8,611,000,000","8,455,000,000","11,949,000,000","14,986,000,000","13,339,000,000","14,571,000,000"
			AccountsReceivable,"6,323,000,000","6,513,000,000","6,270,000,000","8,830,000,000","11,456,000,000","11,397,000,000","12,628,000,000"
				GrossAccountsReceivable,"6,354,000,000",,,,"11,565,000,000","11,523,000,000","12,778,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-31,000,000",,,,"-109,000,000","-126,000,000","-150,000,000"
			TaxesReceivable,"850,000,000","811,000,000","819,000,000","1,060,000,000","1,538,000,000","1,165,000,000","1,213,000,000"
			OtherReceivables,"738,000,000","1,326,000,000","1,408,000,000","2,143,000,000","1,992,000,000","777,000,000","730,000,000"
			ReceivablesAdjustmentsAllowances,,"-39,000,000","-42,000,000","-84,000,000",,,
		Inventory,"2,387,000,000","2,447,000,000","2,315,000,000","1,774,000,000","2,198,000,000","1,884,000,000","2,078,000,000"
			RawMaterials,"1,189,000,000","1,173,000,000","1,079,000,000","572,000,000","680,000,000","597,000,000","557,000,000"
			FinishedGoods,"1,198,000,000","1,274,000,000","1,236,000,000","1,202,000,000","1,518,000,000","1,287,000,000","1,521,000,000"
		PrepaidAssets,"723,000,000","1,328,000,000","1,081,000,000","2,207,000,000","2,937,000,000","2,967,000,000","3,330,000,000"
		RestrictedCash,"323,000,000",,,,,,
		CurrentDeferredAssets,,,,,"1,210,000,000","1,522,000,000","2,218,000,000"
			CurrentDeferredTaxesAssets,,,,,"1,210,000,000","1,522,000,000","2,218,000,000"
		AssetsHeldForSaleCurrent,"46,000,000","6,000,000","14,000,000",,,,
		OtherCurrentAssets,"2,428,000,000","3,280,000,000","3,085,000,000","4,324,000,000",,,
	TotalNonCurrentAssets,"36,660,000,000","38,221,000,000","39,962,000,000","50,762,000,000","50,097,000,000","43,040,000,000","44,396,000,000"
		NetPPE,"6,054,000,000","6,138,000,000","6,269,000,000","9,636,000,000","9,886,000,000","8,520,000,000","8,510,000,000"
			GrossPPE,"11,901,000,000","11,816,000,000","11,877,000,000","21,745,000,000","21,424,000,000","16,960,000,000","17,062,000,000"
				Properties,"0","0","0","0","0","0","0"
				LandAndImprovements,"241,000,000","294,000,000","312,000,000","497,000,000","514,000,000","448,000,000","495,000,000"
				BuildingsAndImprovements,"2,196,000,000","2,103,000,000","2,371,000,000","6,948,000,000","6,924,000,000","4,322,000,000","4,268,000,000"
				MachineryFurnitureEquipment,"9,464,000,000","9,419,000,000","9,194,000,000","14,300,000,000","13,986,000,000","12,190,000,000","12,299,000,000"
			AccumulatedDepreciation,"-5,847,000,000","-5,678,000,000","-5,608,000,000","-12,109,000,000","-11,538,000,000","-8,440,000,000","-8,552,000,000"
		GoodwillAndOtherIntangibleAssets,"19,434,000,000","18,326,000,000","18,558,000,000","25,262,000,000","29,191,000,000","28,017,000,000","28,882,000,000"
			Goodwill,"18,306,000,000","17,537,000,000","17,516,000,000","24,178,000,000","27,261,000,000","25,960,000,000","25,945,000,000"
			OtherIntangibleAssets,"1,128,000,000","789,000,000","1,042,000,000","1,084,000,000","1,930,000,000","2,057,000,000","2,937,000,000"
		InvestmentsAndAdvances,"2,254,000,000","2,398,000,000","2,535,000,000","2,648,000,000",,,
			LongTermEquityInvestment,"2,254,000,000","2,398,000,000","2,535,000,000","2,648,000,000",,,
		NonCurrentAccountsReceivable,"5,151,000,000","4,756,000,000","4,380,000,000","3,938,000,000","3,642,000,000","3,633,000,000","3,895,000,000"
		NonCurrentDeferredAssets,"1,515,000,000","2,403,000,000","4,663,000,000","5,252,000,000","4,784,000,000","1,474,000,000","1,817,000,000"
			NonCurrentDeferredTaxesAssets,"1,515,000,000","2,403,000,000","4,663,000,000","4,430,000,000","4,069,000,000","744,000,000","841,000,000"
		NonCurrentPrepaidAssets,"228,000,000","2,340,000,000",,,,,
		DefinedPensionBenefit,"864,000,000","829,000,000","830,000,000",,,,
		OtherNonCurrentAssets,"1,160,000,000","1,031,000,000","2,727,000,000","4,026,000,000","2,594,000,000","1,396,000,000","1,292,000,000"
TotalLiabilitiesNetMinorityInterest,"34,654,000,000","34,219,000,000","37,901,000,000","48,161,000,000","47,352,000,000","27,899,000,000","30,400,000,000"
	CurrentLiabilities,"19,159,000,000","17,198,000,000","18,924,000,000","22,531,000,000","22,151,000,000","19,760,000,000","20,912,000,000"
		PayablesAndAccruedExpenses,"9,978,000,000","10,604,000,000","10,790,000,000","12,025,000,000","13,404,000,000","11,000,000,000","11,239,000,000"
			Payables,"6,587,000,000","7,480,000,000","7,430,000,000","7,660,000,000","7,826,000,000","6,939,000,000","6,671,000,000"
				AccountsPayable,"5,595,000,000","6,092,000,000","6,072,000,000","5,943,000,000","5,828,000,000","4,889,000,000","4,335,000,000"
				TotalTaxPayable,"992,000,000","1,388,000,000","1,358,000,000","1,717,000,000","1,998,000,000","2,050,000,000","2,336,000,000"
					IncomeTaxPayable,"186,000,000","378,000,000","429,000,000","420,000,000","634,000,000","706,000,000","711,000,000"
			CurrentAccruedExpenses,"3,391,000,000","3,124,000,000","3,360,000,000","4,365,000,000","5,578,000,000","4,061,000,000","4,568,000,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"1,522,000,000","1,412,000,000","1,156,000,000","2,364,000,000","2,902,000,000","2,737,000,000","3,087,000,000"
