name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalAssets,"9,642,633,000","10,270,013,000","9,577,625,000","8,713,571,000","4,658,997,000"
	CurrentAssets,"907,515,000","968,439,000","765,133,000","800,920,000","256,890,000"
		CashCashEquivalentsAndShortTermInvestments,"62,295,000","48,950,000","132,031,000","113,198,000","56,689,000"
			CashAndCashEquivalents,"62,295,000","48,950,000","132,031,000","113,198,000","56,689,000"
		Receivables,"624,039,000","742,447,000","495,767,000","537,565,000","177,626,000"
			AccountsReceivable,"624,039,000","742,447,000","495,767,000","520,395,000","177,626,000"
				GrossAccountsReceivable,"625,315,000","743,687,000","498,769,000","548,477,000","185,923,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,276,000","-1,240,000","-3,002,000","-28,082,000","-8,297,000"
			OtherReceivables,,,,"17,170,000",
		RestrictedCash,"106,677,000","110,589,000","94,140,000","50,294,000","22,575,000"
		AssetsHeldForSaleCurrent,"114,504,000","66,453,000","43,195,000","99,863,000","0"
	TotalNonCurrentAssets,"8,735,118,000","9,301,574,000","8,812,492,000","7,912,651,000","4,402,107,000"
		NetPPE,"8,392,547,000","8,923,451,000","8,364,484,000","7,370,519,000","4,362,043,000"
			GrossPPE,"11,326,433,000","11,456,897,000","10,583,381,000","9,158,024,000","5,929,006,000"
				MachineryFurnitureEquipment,"11,326,433,000","11,456,897,000","10,583,381,000","9,158,024,000","5,929,006,000"
			AccumulatedDepreciation,"-2,933,886,000","-2,533,446,000","-2,218,897,000","-1,787,505,000","-1,566,963,000"
		GoodwillAndOtherIntangibleAssets,"292,821,000","329,590,000","391,041,000","483,263,000","0"
			Goodwill,"236,665,000","236,665,000","236,665,000","236,665,000","0"
			OtherIntangibleAssets,"56,156,000","92,925,000","154,376,000","246,598,000",
		FinancialAssets,"10,848,000","13,923,000","7,376,000","5,743,000","2,153,000"
		OtherNonCurrentAssets,"38,902,000","34,610,000","49,591,000","53,126,000","37,911,000"
TotalLiabilitiesNetMinorityInterest,"7,110,396,000","7,944,804,000","7,367,799,000","6,906,834,000","3,281,164,000"
	CurrentLiabilities,"141,467,000","122,277,000","238,132,000","226,665,000","93,434,000"
		PayablesAndAccruedExpenses,"141,467,000","122,277,000","238,132,000","226,665,000","93,434,000"
			Payables,"141,467,000","122,277,000","238,132,000","226,665,000","93,434,000"
				AccountsPayable,"116,782,000","99,885,000","109,999,000","143,098,000","81,306,000"
				OtherPayable,"24,685,000","22,392,000","128,133,000","83,567,000","12,128,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"6,968,929,000","7,822,527,000","7,129,667,000","6,680,169,000","3,187,730,000"
		LongTermDebtAndCapitalLeaseObligation,"6,631,525,000","7,529,432,000","6,911,725,000","6,353,449,000","3,166,903,000"
			LongTermDebt,"6,604,501,000","7,453,906,000","6,808,316,000","6,256,674,000","3,153,227,000"
			LongTermCapitalLeaseObligation,"27,024,000","75,526,000","103,409,000","96,775,000","13,676,000"
		NonCurrentDeferredLiabilities,"301,317,000","282,129,000","215,439,000","317,316,000","20,570,000"
			NonCurrentDeferredTaxesLiabilities,"301,317,000","282,129,000","215,439,000","317,316,000","20,570,000"
		DerivativeProductLiabilities,"36,087,000","10,966,000","2,503,000","9,404,000","257,000"
TotalEquityGrossMinorityInterest,"2,532,237,000","2,325,209,000","2,209,826,000","1,806,737,000","1,377,833,000"
	StockholdersEquity,"2,532,237,000","2,203,696,000","2,076,284,000","1,663,233,000","1,217,329,000"
		CapitalStock,"405,810,000","809,000","807,000","744,000","505,000"
			PreferredStock,"405,000,000",,,,
			CommonStock,"810,000","809,000","807,000","744,000","505,000"
		AdditionalPaidInCapital,"902,725,000","896,811,000","889,168,000","690,418,000","176,088,000"
		RetainedEarnings,"1,533,845,000","1,349,627,000","1,159,367,000","945,313,000","1,044,402,000"
		TreasuryStock,"278,510,000","58,114,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-31,633,000","14,563,000","26,942,000","26,758,000","-3,666,000"
	MinorityInterest,"0","121,513,000","133,542,000","143,504,000","160,504,000"
TotalCapitalization,"9,136,738,000","9,657,602,000","8,884,600,000","7,919,907,000","4,370,556,000"
PreferredStockEquity,"405,000,000",,,,
CommonStockEquity,"2,127,237,000","2,203,696,000","2,076,284,000","1,663,233,000","1,217,329,000"
CapitalLeaseObligations,"27,024,000","75,526,000","103,409,000","96,775,000","13,676,000"
NetTangibleAssets,"2,239,416,000","1,874,106,000","1,685,243,000","1,179,970,000","1,217,329,000"
WorkingCapital,"766,048,000","846,162,000","527,001,000","574,255,000","163,456,000"
InvestedCapital,"8,731,738,000","9,657,602,000","8,884,600,000","7,919,907,000","4,370,556,000"
TangibleBookValue,"1,834,416,000","1,874,106,000","1,685,243,000","1,179,970,000","1,217,329,000"
TotalDebt,"6,631,525,000","7,529,432,000","6,911,725,000","6,353,449,000","3,166,903,000"
NetDebt,"6,542,206,000","7,404,956,000","6,676,285,000","6,143,476,000","3,096,538,000"
ShareIssued,"80,979,833","80,843,472","80,687,757","74,376,025","73,912,686"
OrdinarySharesNumber,"72,208,488","78,990,324","80,687,757","74,376,025","73,912,686"
TreasurySharesNumber,"8,771,345","1,853,148",,,
