name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
PreferredStockEquity,,"228,485,000","228,485,000","228,485,000","132,097,000","132,097,000","132,097,000","132,097,000","132,097,000","132,097,000","132,097,000","132,097,000","132,097,000","132,097,000","132,097,000","132,098,000","76,812,000","76,812,000","8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"87,779,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockEquity,"4,347,107,000","4,108,249,000","4,054,815,000","4,009,515,000","4,009,734,000","3,924,180,000","3,810,264,000","3,781,312,000","3,768,810,000","3,564,694,000","3,594,677,000","3,371,145,000","3,325,878,000","2,807,597,000","2,535,013,000","2,505,499,000","2,471,097,000","2,422,023,000","2,483,193,000","2,365,284,000","2,167,330,000","1,852,849,000","1,817,548,000","1,799,306,000","1,563,189,000","1,530,979,000","1,525,268,000","1,504,761,000","1,524,070,000","1,529,868,000","1,515,154,000","1,495,040,000","1,495,630,000","1,482,661,000","1,472,241,000","1,506,988,000","1,313,724,000","1,303,457,000","1,299,748,000","1,297,829,000","1,291,913,000","954,215,000","850,581,000","660,574,000","655,586,000","646,429,000","518,530,000","509,534,000","511,658,000","498,059,000","481,985,000","472,121,000","472,272,000","319,551,000","280,259,000","266,382,000","268,496,000","263,569,000","258,132,000","263,808,000","265,547,000","220,162,000","213,552,000","204,309,000","217,180,000","195,169,000","188,764,000","186,948,000","182,318,000","139,598,000","143,031,000","143,547,000","137,930,000","134,417,000","135,394,000","135,270,000","132,679,000","127,042,000","124,224,000","119,069,000","117,258,000","117,200,000","120,100,000","118,200,000","123,800,000","124,000,000","120,700,000","119,200,000","117,400,000","115,600,000","115,300,000","114,000,000","114,400,000","114,000,000","112,300,000","117,500,000","120,800,000","119,700,000","117,700,000","116,100,000","47,100,000"
NetTangibleAssets,"3,039,434,000","3,024,033,000","2,968,586,000","2,920,812,000","2,821,803,000","2,731,972,000","2,628,847,000","2,592,708,000","2,562,296,000","2,419,375,000","2,445,343,000","2,746,264,000","2,731,119,000","2,174,319,000","1,940,254,000","1,910,741,000","1,818,321,000","1,727,028,000","1,763,738,000","1,648,860,000","1,545,607,000","1,304,764,000","1,267,704,000","1,250,029,000","1,129,108,000","1,105,538,000","1,100,157,000","1,078,471,000","1,096,599,000","1,100,284,000","1,120,018,000","1,128,956,000","1,129,546,000","1,112,850,000","1,122,094,000","1,157,875,000","1,079,496,000","1,069,229,000","1,065,520,000","1,070,749,000","1,064,833,000","727,135,000","613,820,000","423,813,000","418,825,000","497,447,000","281,769,000","272,773,000","274,897,000","266,882,000","250,569,000","240,739,000","244,647,000","226,772,000","187,092,000","173,215,000","175,329,000","170,402,000","164,892,000","170,387,000","171,676,000","155,430,000","148,821,000","139,654,000","152,580,000","135,646,000","124,601,000","122,672,000","118,901,000","104,197,000","107,630,000","108,146,000","102,368,000","98,773,000","98,972,000","98,064,000","94,682,000","88,246,000","84,622,000","78,654,000","76,023,000","75,100,000","77,200,000","74,600,000","79,300,000","78,600,000","74,800,000","103,600,000","101,400,000","99,200,000","98,700,000","97,000,000","97,000,000","96,200,000","112,300,000","117,500,000","120,800,000","119,700,000","117,700,000","116,100,000","47,100,000"
InvestedCapital,"1,386,062,000","5,451,936,000","5,947,066,000","6,381,781,000","6,591,320,000","6,257,331,000","6,519,793,000","6,274,139,000","6,118,608,000","5,535,529,000","6,245,965,000","4,622,323,000","4,402,659,000","3,611,550,000","3,920,723,000","3,958,572,000","3,568,259,000","2,872,470,000","3,047,626,000","2,975,900,000","3,233,121,000","2,859,103,000","2,985,900,000","3,199,794,000","2,526,139,000","2,186,678,000","2,065,219,000","2,077,623,000","2,141,272,000","1,953,245,000","2,475,959,000","2,553,706,000","2,191,960,000","2,330,937,000","2,149,047,000","2,185,782,000","1,930,767,000","1,956,036,000","2,029,911,000","2,083,928,000","2,233,968,000","1,963,430,000","1,584,921,000","1,455,699,000","1,341,873,000","1,214,908,000","1,328,365,000","1,200,725,000","1,259,812,000","1,391,829,000","1,331,813,000","1,271,023,000","1,057,786,000","759,153,000","683,851,000","592,293,000","581,477,000","582,630,000","659,916,000","668,810,000","674,808,000","662,704,000","634,203,000","546,937,000","494,090,000","514,050,000","473,653,000","462,582,000","465,824,000","311,859,000","228,246,000","231,604,000","197,384,000","178,193,000","182,078,000","182,196,000","181,844,000","241,885,000","257,015,000","271,415,000","223,208,000","252,300,000","245,200,000","203,800,000","170,200,000","169,600,000","166,600,000","165,400,000","163,900,000","162,300,000","162,300,000","161,200,000","161,900,000","161,800,000","160,300,000","165,700,000","169,300,000","160,200,000","148,200,000","125,200,000",
TangibleBookValue,"3,039,434,000","2,795,548,000","2,740,101,000","2,692,327,000","2,689,706,000","2,599,875,000","2,496,750,000","2,460,611,000","2,430,199,000","2,287,278,000","2,313,246,000","2,614,167,000","2,599,022,000","2,042,222,000","1,808,157,000","1,778,643,000","1,741,509,000","1,650,216,000","1,763,730,000","1,648,860,000","1,545,607,000","1,304,764,000","1,267,704,000","1,250,029,000","1,129,108,000","1,105,538,000","1,100,157,000","1,078,471,000","1,096,599,000","1,100,284,000","1,120,018,000","1,128,956,000","1,129,546,000","1,112,850,000","1,122,094,000","1,157,875,000","1,079,496,000","1,069,229,000","1,065,520,000","1,070,749,000","1,064,833,000","727,135,000","613,820,000","423,813,000","418,825,000","409,668,000","281,769,000","272,773,000","274,897,000","266,882,000","250,569,000","240,739,000","244,647,000","226,772,000","187,092,000","173,215,000","175,329,000","170,402,000","164,892,000","170,387,000","171,676,000","155,430,000","148,821,000","139,654,000","152,580,000","135,646,000","124,601,000","122,672,000","118,901,000","104,197,000","107,630,000","108,146,000","102,368,000","98,773,000","98,972,000","98,064,000","94,682,000","88,246,000","84,622,000","78,654,000","76,023,000","75,100,000","77,200,000","74,600,000","79,300,000","78,600,000","74,800,000","103,600,000","101,400,000","99,200,000","98,700,000","97,000,000","97,000,000","96,200,000","112,300,000","117,500,000","120,800,000","119,700,000","117,700,000","116,100,000","47,100,000"
TotalDebt,"1,386,062,000","1,343,687,000","1,892,251,000","2,372,266,000","2,581,586,000","2,333,151,000","2,709,529,000","2,492,827,000","2,349,798,000","1,970,835,000","2,651,288,000","1,251,178,000","1,076,781,000","803,953,000","1,385,710,000","1,453,073,000","1,097,162,000","450,447,000","564,433,000","610,616,000","1,065,791,000","1,006,254,000","1,168,352,000","1,400,488,000","962,950,000","655,699,000","539,951,000","572,862,000","617,202,000","423,377,000","960,805,000","1,058,666,000","696,330,000","848,276,000","676,806,000","678,794,000","617,043,000","652,579,000","730,163,000","786,099,000","942,055,000","1,009,215,000","734,340,000","795,125,000","686,287,000","568,479,000","809,835,000","691,191,000","748,154,000","893,770,000","849,828,000","798,902,000","585,514,000","439,602,000","403,592,000","325,911,000","312,981,000","319,061,000","401,784,000","405,002,000","409,261,000","442,542,000","420,651,000","342,628,000","276,910,000","318,881,000","284,889,000","275,634,000","283,506,000","172,261,000","85,215,000","88,057,000","59,454,000","43,776,000","46,684,000","46,926,000","49,165,000","114,843,000","132,791,000","152,346,000","105,950,000","135,100,000","125,100,000","85,600,000","46,400,000","45,600,000","45,900,000","46,200,000","46,500,000","46,700,000","47,000,000","47,200,000","47,500,000","47,800,000","48,000,000","48,200,000","48,500,000","40,500,000","30,500,000","9,100,000",
NetDebt,"441,000,000","448,964,000","961,318,000","1,582,951,000","1,909,689,000","1,642,698,000","2,233,594,000","1,765,439,000","1,785,706,000","1,345,111,000","1,770,072,000","733,234,000",,,"284,457,000","747,775,000","100,507,000",,,,"98,501,000","423,811,000","500,345,000","731,918,000","532,642,000","236,205,000",,"225,297,000",,,"337,739,000","458,620,000","103,549,000","274,980,000","206,418,000","416,990,000","326,525,000","314,801,000",,,,"833,818,000","393,779,000","603,780,000","522,926,000","222,614,000","562,322,000","451,345,000","484,954,000","770,665,000","757,825,000","655,451,000","437,511,000","354,697,000","332,526,000","247,066,000","242,988,000","192,261,000","285,553,000","342,873,000","345,182,000","389,290,000","367,548,000","281,198,000","193,756,000","249,310,000","217,196,000","219,744,000","189,185,000","108,486,000","39,056,000","35,358,000",,,,,,"80,302,000","99,754,000","116,332,000","63,862,000","87,400,000","89,400,000","38,900,000",,,,"6,300,000",,"2,400,000","5,300,000","9,700,000",,,,,,,,,
ShareIssued,"52,618,585","52,420,000","52,265,887","52,805,461","54,551,264","54,796,231","56,006,818","56,390,387","56,778,841","53,872,272","53,864,250","51,014,880","50,969,908","44,795,386","41,081,701","41,038,833","41,231,860","41,139,537","41,128,766","41,117,243","38,178,420","35,262,901","35,262,901","35,262,901","31,917,385","31,917,385","31,917,385","31,917,385","31,917,385","31,917,385","31,917,385","31,163,051","31,163,070","31,163,070","31,163,070","31,163,070","28,079,841","28,079,841","28,079,841","28,079,841","28,079,841","22,106,659","22,104,159","17,674,759","17,792,649","17,912,647","14,799,759","14,799,759","12,870,064","12,774,168","12,745,428","12,855,187","12,893,833","10,286,431","9,697,731","9,664,358","9,692,824","9,548,812","9,469,544","9,422,453","9,607,397","8,605,571","8,597,075","8,627,228","8,806,251","8,398,072","8,405,386","8,389,592","8,369,406","7,141,036","7,376,105","7,518,437","7,494,993","7,485,056","7,650,772","7,833,105","7,826,296","7,823,421","8,120,296","8,120,296","8,170,921","8,198,750","8,182,500","8,517,500","8,537,332","8,602,500","8,602,500","8,633,750","8,632,500","8,627,500","8,626,250","8,626,250","8,751,250","8,815,000","9,226,250","9,226,250","9,226,250","9,226,250","9,226,250","9,226,250","9,226,250"
OrdinarySharesNumber,"52,618,585","52,420,000","52,265,887","52,805,461","54,551,264","54,796,231","56,006,818","56,390,387","56,778,841","53,872,272","53,864,250","51,014,880","50,969,908","44,795,386","41,081,701","41,038,833","41,231,860","41,139,537","41,128,766","41,117,243","38,178,420","33,453,404","33,440,859","33,410,082","30,040,025","29,786,544","29,734,459","29,710,058","29,691,781","29,489,745","29,456,748","29,497,008","29,515,866","29,373,905","29,332,856","30,214,550","26,985,467","26,874,613","26,872,832","26,865,543","26,753,464","20,747,248","20,623,541","16,138,708","16,138,708","16,138,708","12,977,196","12,903,682","12,870,064","12,774,168","12,745,428","12,855,187","12,893,833","10,286,431","9,697,731","9,664,358","9,692,824","9,548,812","9,469,544","9,422,453","9,607,397","8,605,571","8,597,075","8,627,228","8,806,251","8,398,072","8,405,386","8,389,592","8,369,406","7,141,036","7,376,105","7,518,437","7,494,993","7,485,056","7,650,772","7,833,105","7,826,296","7,823,421","8,120,296","8,120,296","8,170,921","8,198,750","8,182,500","8,517,500","8,537,332","8,602,500","8,602,500","8,633,750","8,632,500","8,627,500","8,626,250","8,626,250","8,751,250","8,815,000","9,226,250","9,226,250","9,226,250","9,226,250","9,226,250","9,226,250","9,226,250"
PreferredSharesNumber,,,,,,,,,,,,,,,,"13,750",,,"8,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000","90,000,000",,,,,,,,,,,,"90,000,000",,,,"90,000,000","90,000,000","90,000,000","90,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreasurySharesNumber,,,,,,,,,,,,,,,,,,"0",,,,"1,809,497","1,822,042","1,852,819","1,877,360","2,130,841","2,182,926","2,207,327","2,225,604","2,427,640","2,460,637","1,666,043","1,647,204","1,789,165","1,830,214","948,520","1,094,374","1,205,228","1,207,009","1,214,298","1,326,377","1,359,411","1,480,618","1,536,051","1,653,941","1,773,939","1,822,563","1,896,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
