name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"2,805,904,150","3,031,647,268","1,887,796,616","1,284,680,414","1,468,766,468"
EnterpriseValue,"2,723,300,150","2,998,379,268","1,979,241,616","1,445,133,414","1,608,744,468"
PeRatio,"27.164","33.759","32.079","54.119","159.254"
ForwardPeRatio,"33.557","25.907","18.762",,"21.978"
PsRatio,"3.361","3.824","3.135","3.44","3.587"
PbRatio,"3.909","4.381","3.363","2.337","2.402"
EnterprisesValueRevenueRatio,"3.056","3.483","2.809","3.313","3.816"
EnterprisesValueEBITDARatio,"17.446","20.044","14.046","13.022","16.176"
