name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
			OtherPayable,"225,275,000","380,332,000","208,749,000","305,714,000","391,378,000","203,021,000","193,221,000","278,787,000","303,264,000","195,383,000","59,236,000","378,111,000",,,,,,,,,,,,
	LongTermDebtAndCapitalLeaseObligation,"1,384,105,000","991,127,000","989,623,000","948,663,000","966,079,000","249,522,000","249,430,000","351,775,000","353,620,000","549,155,000","300,000,000","450,000,000","451,951,000","553,093,000","603,093,000","453,093,000","453,093,000","275,000,000","183,500,000","50,000,000","250,000,000","100,000,000","50,000,000","150,000,000"
		LongTermDebt,"1,384,105,000","991,127,000","989,623,000","948,663,000","966,079,000","249,522,000","249,430,000","351,775,000","353,620,000","549,155,000","300,000,000","450,000,000","451,951,000","553,093,000","603,093,000","453,093,000","453,093,000","275,000,000","183,500,000","50,000,000","250,000,000","100,000,000","50,000,000","150,000,000"
	PreferredSecuritiesOutsideStockEquity,"3,071,308,000","2,051,700,000","1,296,506,000","1,175,594,000","1,045,964,000","1,131,708,000","1,099,860,000","968,259,000",,,,,,,,,,,,,,,,
	OtherLiabilities,"932,024,000","513,609,000","792,771,000","301,684,000","245,145,000","374,108,000","397,596,000","253,438,000","224,876,000","834,821,000","1,070,816,000","368,418,000","251,214,000","213,490,000","142,815,000","68,092,000","-378,375,000","97,013,000","58,650,000","63,610,000","50,140,000","28,979,000","9,541,000","4,215,000"
TotalEquityGrossMinorityInterest,"5,971,367,000","5,045,080,000","4,391,375,000","4,866,577,000","4,732,184,000","3,865,715,000","3,904,384,000","3,507,056,000","4,266,260,000","4,696,869,000","3,840,786,000","3,801,274,000","4,292,954,000","3,930,781,000","2,716,751,000","2,991,836,000","2,765,141,000","2,090,211,000","1,587,605,000","788,448,000","689,959,000","712,232,000","712,385,000","561,439,000"
	StockholdersEquity,"5,971,367,000","5,045,080,000","4,391,375,000","4,866,577,000","4,732,184,000","3,865,715,000","3,904,384,000","3,503,065,000","3,605,193,000","3,936,325,000","3,840,786,000","3,032,743,000","3,477,503,000","3,280,497,000","2,253,840,000","2,644,042,000","2,334,643,000","1,642,035,000","1,225,024,000","700,818,000","600,329,000","612,232,000","598,703,000","546,203,000"
		CapitalStock,"694,148,000","692,207,000","440,024,000","441,187,000","443,701,000","438,442,000","443,646,000","445,542,000","601,543,000","604,110,000","711,745,000","711,503,000","718,920,000","872,140,000","851,285,000","828,896,000","564,414,000","470,936,000","414,623,000","22,999,000","19,686,000","21,646,000","22,441,000","23,531,000"
			PreferredStock,"650,000,000","650,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","550,000,000","550,000,000","650,000,000","650,000,000","650,000,000","800,000,000","500,000,000","500,000,000","250,000,000","150,000,000","150,000,000",,,,,
			CommonStock,"44,148,000","42,207,000","40,024,000","41,187,000","43,701,000","38,442,000","43,646,000","45,542,000","51,543,000","54,110,000","61,745,000","61,503,000","68,920,000","72,140,000","351,285,000","328,896,000","314,414,000","320,936,000","264,623,000","22,999,000","19,686,000","21,646,000","22,441,000","23,531,000"
