name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"3,885,500,000","3,078,000,000","2,257,916,000","2,139,941,000","1,790,510,000","1,424,774,000","1,168,464,000","975,497,000","734,747,000","545,422,000","387,213,000","199,105,000","145,192,000"
	CurrentAssets,"2,769,000,000","2,220,900,000","1,716,820,000","1,538,716,000","1,270,543,000","1,046,865,000","735,546,000","569,274,000","523,570,000","420,158,000","342,217,000","184,991,000","134,596,000"
		CashCashEquivalentsAndShortTermInvestments,"2,065,600,000","1,649,600,000","1,251,277,000","1,085,525,000","891,351,000","720,020,000","491,370,000","413,694,000","390,273,000","313,510,000","260,314,000","124,190,000","90,161,000"
			CashAndCashEquivalents,"1,222,500,000","1,112,400,000","811,004,000","709,003,000","543,277,000","283,254,000","115,873,000","122,975,000","71,990,000","66,859,000","212,458,000","56,571,000","71,411,000"
			OtherShortTermInvestments,"843,100,000","537,200,000","440,273,000","376,522,000","348,074,000","436,766,000","375,497,000","290,719,000","318,283,000","246,651,000","47,856,000","67,619,000","18,750,000"
		Receivables,"544,300,000","444,500,000","348,185,000","312,998,000","259,563,000","184,741,000","130,471,000","107,642,000","95,522,000","72,336,000","54,551,000","46,043,000","27,478,000"
			AccountsReceivable,"544,300,000","444,500,000","348,185,000","312,998,000","259,563,000","184,741,000","130,471,000","107,642,000","95,522,000","72,336,000","54,551,000","46,043,000","27,478,000"
				GrossAccountsReceivable,"545,500,000","445,400,000","362,688,000","324,233,000","265,791,000","190,945,000","135,076,000","107,757,000","95,858,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,200,000","-900,000","-14,503,000","-11,235,000","-6,228,000","-6,204,000","-4,605,000","-115,000","-336,000",,,,
		Inventory,"117,900,000","90,000,000","77,291,000","106,887,000","83,868,000","69,477,000","48,672,000","21,060,000","16,249,000","13,517,000","10,649,000","11,419,000","14,020,000"
			RawMaterials,"9,700,000","13,300,000","13,042,000","18,924,000","15,425,000","10,617,000","4,319,000","4,958,000","3,447,000","2,593,000","1,904,000","1,135,000","5,017,000"
			FinishedGoods,"108,200,000","76,700,000","64,249,000","87,963,000","68,443,000","58,860,000","40,093,000","16,102,000","12,802,000","10,924,000","8,745,000","10,284,000","9,003,000"
