name,ttm,12/31/2019,12/31/2018,12/31/2017,06/30/2016,06/30/2015
MarketCap,"5,442,971,873","4,649,716,715","1,616,453,350","1,615,132,404","801,442,471","1,428,465,542"
EnterpriseValue,"5,061,055,873","4,371,671,715","1,267,546,350","1,384,196,404","673,313,471","1,293,261,542"
PeRatio,"32.643","44.228","12.447","21.335","12.25",
ForwardPeRatio,"26.178","21.787","10.707","17.762","10.537","32.787"
PegRatio,"0.308","0.991","0.487","1.48","0.305","0.391"
PsRatio,"3.434","3.693","1.944","3.302","1.877","5.244"
PbRatio,"6.282","6.352","2.999","4.453","3.392","9.49"
EnterprisesValueRevenueRatio,"3.193","3.066","1.352","2.28","1.375","3.978"
EnterprisesValueEBITDARatio,"20.122","20.787","8.324","12.888","8.85","49.316"
