name,ttm,03/31/2019,03/31/2018,10/31/2016,03/31/2016,10/31/2015,03/31/2015,03/31/2014
TotalRevenue,"4,499,000,000","4,030,000,000","2,819,000,000","2,732,000,000","2,732,000,000","2,585,000,000","2,585,000,000","2,955,000,000"
	OperatingRevenue,"4,499,000,000","4,030,000,000","2,819,000,000","2,732,000,000","2,732,000,000","2,585,000,000","2,585,000,000","2,955,000,000"
CostOfRevenue,"3,424,000,000","3,043,000,000","2,155,000,000","2,086,000,000","2,086,000,000","2,101,000,000","2,101,000,000","2,144,000,000"
GrossProfit,"1,075,000,000","987,000,000","664,000,000","646,000,000","646,000,000","484,000,000","484,000,000","811,000,000"
OperatingExpense,"703,000,000","630,000,000","349,000,000","432,000,000","432,000,000","456,000,000","456,000,000","545,000,000"
	SellingGeneralAndAdministration,"304,000,000","300,000,000","182,000,000","207,000,000","207,000,000","242,000,000","242,000,000","318,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"399,000,000","330,000,000","167,000,000","225,000,000","225,000,000","214,000,000","214,000,000","227,000,000"
		DepreciationAndAmortizationInIncomeStatement,"399,000,000","330,000,000","167,000,000","225,000,000","225,000,000","214,000,000","214,000,000","227,000,000"
OperatingIncome,"372,000,000","357,000,000","315,000,000","214,000,000","214,000,000","28,000,000","28,000,000","266,000,000"
NetNonOperatingInterestIncomeExpense,"-142,000,000","-121,000,000","-12,000,000","-31,000,000","-31,000,000","-29,000,000","-29,000,000","-33,000,000"
	TotalOtherFinanceCost,"142,000,000","121,000,000","12,000,000","31,000,000","31,000,000","29,000,000","29,000,000","33,000,000"
OtherIncomeExpense,"-89,000,000","-124,000,000","-104,000,000","-54,000,000","-54,000,000","-50,000,000","-50,000,000","-12,000,000"
	SpecialIncomeCharges,"-92,000,000","-116,000,000","-104,000,000","-54,000,000","-54,000,000","-50,000,000","-50,000,000","-12,000,000"
		RestructuringAndMergernAcquisition,"92,000,000","116,000,000","104,000,000","54,000,000","54,000,000","50,000,000","50,000,000","12,000,000"
	OtherNonOperatingIncomeExpenses,"3,000,000","-8,000,000",,,,,,
PretaxIncome,"141,000,000","112,000,000","199,000,000","129,000,000","129,000,000","-51,000,000","-51,000,000","221,000,000"
TaxProvision,"47,000,000","40,000,000","-9,000,000","49,000,000","49,000,000","-22,000,000","-22,000,000","83,000,000"
NetIncomeCommonStockholders,"94,000,000","72,000,000","208,000,000","80,000,000","80,000,000","-29,000,000","-29,000,000","138,000,000"
	NetIncome,"94,000,000","72,000,000","208,000,000","80,000,000","80,000,000","-29,000,000","-29,000,000","138,000,000"
		NetIncomeIncludingNoncontrollingInterests,"94,000,000","72,000,000","208,000,000","80,000,000","80,000,000","-29,000,000","-29,000,000","138,000,000"
			NetIncomeContinuousOperations,"94,000,000","72,000,000","208,000,000","80,000,000","80,000,000","-29,000,000","-29,000,000","138,000,000"
DilutedNIAvailtoComStockholders,"94,000,000","72,000,000","208,000,000","80,000,000","80,000,000","-29,000,000","-29,000,000","138,000,000"
BasicEPS,,"0.44","1.46","0.561","0.561","-0.204","-0.204","0.968"
DilutedEPS,,"0.44","1.46","0.561","0.561","-0.204","-0.204","0.968"
BasicAverageShares,,"163,636,364","142,500,000","142,500,000","142,500,000","142,500,000","142,500,000","142,500,000"
DilutedAverageShares,,"163,636,364","142,500,000","142,500,000","142,500,000","142,500,000","142,500,000","142,500,000"
TotalExpenses,"4,127,000,000","3,673,000,000","2,504,000,000","2,518,000,000","2,518,000,000","2,557,000,000","2,557,000,000","2,689,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"94,000,000","72,000,000","208,000,000","80,000,000","80,000,000","-29,000,000","-29,000,000","138,000,000"
NormalizedIncome,"155,333,333.333","146,240,000","283,920,000","113,480,000","113,480,000","1,000,000","1,000,000","145,440,000"
NetInterestIncome,"-142,000,000","-121,000,000","-12,000,000","-31,000,000","-31,000,000","-29,000,000","-29,000,000","-33,000,000"
EBIT,"372,000,000","357,000,000","315,000,000","214,000,000","214,000,000","28,000,000","28,000,000","266,000,000"
EBITDA,"771,000,000"
ReconciledCostOfRevenue,"3,424,000,000","3,043,000,000","2,155,000,000","2,086,000,000","2,086,000,000","2,101,000,000","2,101,000,000","2,144,000,000"
ReconciledDepreciation,"399,000,000","330,000,000","167,000,000","225,000,000","225,000,000","214,000,000","214,000,000","227,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"94,000,000","72,000,000","208,000,000","80,000,000","80,000,000","-29,000,000","-29,000,000","138,000,000"
TotalUnusualItemsExcludingGoodwill,"-92,000,000","-116,000,000","-104,000,000","-54,000,000","-54,000,000","-50,000,000","-50,000,000","-12,000,000"
TotalUnusualItems,"-92,000,000","-116,000,000","-104,000,000","-54,000,000","-54,000,000","-50,000,000","-50,000,000","-12,000,000"
NormalizedEBITDA,"863,000,000","803,000,000","586,000,000","493,000,000","493,000,000","292,000,000","292,000,000","505,000,000"
TaxRateForCalcs,"0.333","0.36","0.27","0.38","0.38","0.4","0.4","0.38"
TaxEffectOfUnusualItems,"-30,666,666.667","-41,760,000","-28,080,000","-20,520,000","-20,520,000","-20,000,000","-20,000,000","-4,560,000"
