name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalRevenue,"935,797,000","894,798,000","897,977,000","201,436,000","18,785,000","18,077,000","18,908,000"
	OperatingRevenue,"935,104,000","894,798,000","816,737,000","181,878,000","18,785,000","18,077,000","18,908,000"
CostOfRevenue,"19,882,000","18,901,000","99,181,000","33,768,000","13,739,000","13,417,000","14,067,000"
GrossProfit,"915,915,000","875,897,000","798,796,000","167,668,000","5,046,000","4,660,000","4,841,000"
OperatingExpense,"178,635,000","28,400,000","28,115,000","14,433,000","5,039,000","4,642,000","4,802,000"
	SellingGeneralAndAdministration,"25,359,000","24,569,000","24,429,000","11,280,000","2,009,000","1,760,000","1,898,000"
		GeneralAndAdministrativeExpense,"25,359,000","24,569,000","24,429,000","11,280,000","2,009,000","1,760,000","1,898,000"
			OtherGandA,"25,359,000","24,569,000","24,429,000","11,280,000","2,009,000","1,760,000","1,898,000"
	DepreciationAmortizationDepletionIncomeStatement,"3,768,000","3,831,000","3,686,000","3,153,000","3,030,000","2,882,000","2,904,000"
		DepreciationAndAmortizationInIncomeStatement,"3,768,000","3,831,000","3,686,000","3,153,000","3,030,000","2,882,000","2,904,000"
			DepreciationIncomeStatement,"3,768,000","3,831,000","3,686,000","3,153,000","3,030,000","2,882,000","2,904,000"
OperatingIncome,"737,280,000","847,497,000","770,681,000","153,235,000","7,000","18,000","39,000"
NetNonOperatingInterestIncomeExpense,"-250,524,000","-228,370,000","-201,356,000","-63,072,000","-7,000","-18,000","-39,000"
	InterestIncomeNonOperating,"20,367,000","20,014,000","11,307,000",,,,
	InterestExpenseNonOperating,"270,891,000","248,384,000","212,663,000","63,354,000","7,000","18,000","39,000"
OtherIncomeExpense,"-105,828,000","-63,141,000","-35,767,000",,,,
	SpecialIncomeCharges,"-105,828,000","-63,141,000","-35,767,000",,,,
		RestructuringAndMergernAcquisition,"8,626,000","4,998,000","393,000",,,,
		ImpairmentOfCapitalAssets,,"0","12,334,000",,,,
		OtherSpecialCharges,,"58,143,000","23,040,000",,,,
PretaxIncome,"380,928,000","555,986,000","533,558,000","42,636,000","0","0","0"
TaxProvision,"1,638,000","1,705,000","1,441,000","-1,901,000","0","-3,000","-4,000"
NetIncomeCommonStockholders,"371,103,000","545,964,000","523,619,000","42,662,000","0","3,000","4,000"
	NetIncome,"371,103,000","545,964,000","523,619,000","42,662,000","0","3,000","4,000"
		NetIncomeIncludingNoncontrollingInterests,"379,290,000","554,281,000","532,117,000","44,537,000","0","3,000","4,000"
			NetIncomeContinuousOperations,"379,290,000","554,281,000","532,117,000","44,537,000","0","3,000","4,000"
		MinorityInterests,"-8,187,000","-8,317,000","-8,498,000",,,,
DilutedNIAvailtoComStockholders,"371,103,000","545,964,000","523,619,000","42,662,000","0","3,000","4,000"
BasicEPS,,,"1.43","0.13","0","0","0"
DilutedEPS,,,"1.43","0.13","0","0","0"
BasicAverageShares,,,"367,226,395","327,541,414","360,778,938","360,778,938","360,778,938"
DilutedAverageShares,,,"367,316,901","327,580,567","360,778,938","360,778,938","360,778,938"
TotalOperatingIncomeAsReported,"728,654,000","842,499,000","757,954,000","144,196,000","7,000","18,000","39,000"
TotalExpenses,"198,517,000","47,301,000","127,296,000","48,201,000","18,778,000","18,059,000","18,869,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"371,103,000","545,964,000","523,619,000","42,662,000","0","3,000","4,000"
NormalizedIncome,"476,475,936.933","608,915,577","559,314,466","42,662,000","0","3,000","4,000"
InterestIncome,"20,367,000","20,014,000","11,307,000",,,,
InterestExpense,"270,891,000","248,384,000","212,663,000","63,354,000","7,000","18,000","39,000"
NetInterestIncome,"-250,524,000","-228,370,000","-201,356,000","-63,072,000","-7,000","-18,000","-39,000"
EBIT,"651,819,000","804,370,000","746,221,000","105,990,000","7,000","18,000","39,000"
EBITDA,"655,587,000"
ReconciledCostOfRevenue,"19,882,000","18,901,000","99,181,000","33,768,000","13,739,000","13,417,000","14,067,000"
ReconciledDepreciation,"3,768,000","3,831,000","3,686,000","3,153,000","3,030,000","2,882,000","2,904,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"371,103,000","545,964,000","523,619,000","42,662,000","0","3,000","4,000"
TotalUnusualItemsExcludingGoodwill,"-105,828,000","-63,141,000","-35,767,000",,,,
TotalUnusualItems,"-105,828,000","-63,141,000","-35,767,000",,,,
NormalizedEBITDA,"761,415,000","871,342,000","785,674,000","109,143,000","3,037,000","2,900,000","2,943,000"
TaxRateForCalcs,"0.004","0.003","0.002","0.4","0","0","0"
TaxEffectOfUnusualItems,"-455,063.067","-189,423","-71,534","0","0","0","0"
