name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,09/30/2008,03/31/2008,09/30/2007,03/31/2007,09/30/2006,03/31/2006,09/30/2005,03/31/2005,09/30/2004,03/31/2004,09/30/2003,03/31/2003,09/30/2002,03/31/2002
TotalAssets,"15,305,112,700,000","13,953,356,200,000","13,962,925,700,000","12,652,528,500,000","13,280,073,600,000","12,357,250,600,000","10,804,090,900,000","11,367,308,800,000","9,490,794,000,000","9,972,895,700,000","8,956,530,600,000","9,066,980,500,000","8,280,196,900,000","8,246,333,000,000","7,551,000,800,000","7,736,723,300,000","6,878,918,900,000","6,892,975,900,000","6,293,222,600,000","6,259,015,800,000","5,348,551,900,000","5,320,162,000,000","4,913,597,000,000","5,125,407,300,000","4,681,321,700,000","4,652,041,600,000","4,163,323,200,000","4,370,906,100,000","3,837,288,800,000","3,994,435,700,000","3,600,008,400,000","3,571,155,700,000","3,354,867,400,000","3,376,951,100,000","2,859,415,500,000","2,920,236,300,000","2,498,200,200,000","2,665,256,600,000","2,332,532,600,000","2,416,520,400,000","2,045,528,900,000","2,071,717,500,000","1,861,150,500,000","2,020,744,800,000","2,033,009,500,000","1,507,240,000,000","1,274,334,530,532","1,015,582,946,478","883,084,059,452","792,380,386,006","624,992,280,912","530,039,273,748","438,706,425,528","426,676,809,855","348,288,326,559","310,943,161,233","253,164,257,790","242,519,201,471"
TotalLiabilitiesNetMinorityInterest,"13,595,252,500,000","12,317,448,600,000","12,228,882,200,000","11,096,147,600,000","11,644,449,000,000","10,895,310,600,000","9,727,390,200,000","10,190,815,500,000","8,480,168,100,000","8,873,709,300,000","8,013,953,300,000","8,039,079,400,000","7,429,950,000,000","7,297,842,100,000","6,787,345,100,000","6,865,928,100,000","6,158,853,300,000","6,096,257,900,000","5,643,554,900,000","5,507,448,200,000","4,831,824,200,000","4,745,624,900,000","4,453,118,700,000","4,592,406,600,000","4,252,408,300,000","4,174,337,800,000","3,779,223,700,000","3,900,528,200,000","3,482,927,700,000","3,571,087,300,000","3,283,968,600,000","3,174,563,000,000","3,059,989,300,000","3,017,050,600,000","2,592,888,200,000","2,572,406,500,000","2,247,674,900,000","2,344,157,500,000","2,107,257,200,000","2,110,066,200,000","1,834,699,200,000","1,819,402,200,000","1,703,938,100,000","1,770,691,700,000","1,809,729,600,000","1,387,588,000,000","1,165,467,236,052","949,595,997,842","824,692,404,909","736,788,190,850","573,192,362,277","480,646,263,216","406,279,819,764","395,470,734,620","320,183,063,640","284,909,983,092","229,995,175,062","220,504,338,353"
TotalEquityGrossMinorityInterest,"1,709,860,200,000","1,635,907,600,000","1,734,043,500,000","1,556,380,900,000","1,635,624,600,000","1,461,940,000,000","1,076,700,700,000","1,176,493,300,000","1,010,625,900,000","1,099,186,400,000","942,577,300,000","1,027,901,100,000","850,246,900,000","948,490,900,000","763,655,700,000","870,795,200,000","720,065,600,000","796,718,000,000","649,667,700,000","751,567,600,000","516,727,700,000","574,537,100,000","460,478,300,000","533,000,700,000","428,913,400,000","477,703,800,000","384,099,500,000","470,377,900,000","354,361,100,000","423,348,400,000","316,039,800,000","396,592,700,000","294,878,100,000","359,900,500,000","266,527,300,000","347,829,800,000","250,525,300,000","321,099,100,000","225,275,400,000","306,454,200,000","210,829,700,000","252,315,300,000","157,212,400,000","250,053,100,000","223,279,900,000","119,652,000,000","108,867,294,480","65,986,948,636","58,391,654,543","55,592,195,156","51,799,918,635","49,393,010,532","32,426,605,764","31,206,075,235","28,105,262,919","26,033,178,141","23,169,082,728","22,014,863,118"
	StockholdersEquity,"1,709,860,200,000","1,635,907,600,000","1,730,839,000,000","1,556,380,900,000","1,632,575,300,000","1,459,456,400,000","1,076,700,700,000","1,174,163,600,000","1,010,625,900,000","1,097,137,700,000","942,577,300,000","1,026,053,600,000","850,246,900,000","946,878,200,000","763,655,700,000","869,310,200,000","720,065,600,000","795,335,200,000","649,667,700,000","750,252,100,000","516,727,700,000","573,795,000,000","460,478,300,000","531,906,700,000","428,913,400,000","476,770,300,000","384,099,500,000","468,474,300,000","354,361,100,000","421,680,100,000","316,039,800,000","395,055,200,000","294,878,100,000","358,526,100,000","266,527,300,000","346,491,700,000","250,525,300,000","320,057,400,000","225,275,400,000","305,581,700,000","210,829,700,000","251,600,800,000","157,212,400,000","249,497,000,000","222,777,500,000","119,192,000,000","108,514,189,917","65,662,932,586","58,103,650,610","55,369,398,606","51,799,918,635","49,393,010,532","32,426,605,764","31,206,075,235","28,105,262,919","26,033,178,141","23,169,082,728","22,014,863,118"
		CapitalStock,"5,483,300,000","5,477,000,000","5,470,800,000","5,465,600,000","5,446,600,000","5,434,400,000","5,208,300,000","5,190,200,000","5,180,200,000","5,168,000,000","5,147,800,000","5,125,100,000","5,110,700,000","5,091,300,000","5,070,100,000","5,056,400,000","5,050,200,000","5,036,400,000","5,022,900,000","5,013,000,000","4,834,800,000","4,828,600,000","4,815,400,000","4,798,100,000","4,789,200,000","4,782,500,000","4,777,500,000","4,758,800,000","4,736,100,000","4,723,400,000","4,711,800,000","4,693,400,000","4,682,600,000","4,676,600,000","4,667,700,000","4,652,200,000","4,643,300,000","4,626,000,000","4,596,900,000","4,577,400,000","4,552,400,000","4,273,600,000","4,261,800,000","4,253,800,000","4,250,300,000","3,544,000,000","3,527,078,163","3,201,278,574","3,126,899,844","3,136,975,424","3,120,741,810","3,100,436,520","2,857,798,188","2,828,633,540","2,814,645,285","2,786,730,156","2,792,270,604","2,782,312,271"
			CommonStock,"5,483,300,000","5,477,000,000","5,470,800,000","5,465,600,000","5,446,600,000","5,434,400,000","5,208,300,000","5,190,200,000","5,180,200,000","5,168,000,000","5,147,800,000","5,125,100,000","5,110,700,000","5,091,300,000","5,070,100,000","5,056,400,000","5,050,200,000","5,036,400,000","5,022,900,000","5,013,000,000","4,834,800,000","4,828,600,000","4,815,400,000","4,798,100,000","4,789,200,000","4,782,500,000","4,777,500,000","4,758,800,000","4,736,100,000","4,723,400,000","4,711,800,000","4,693,400,000","4,682,600,000","4,676,600,000","4,667,700,000","4,652,200,000","4,643,300,000","4,626,000,000","4,596,900,000","4,577,400,000","4,552,400,000","4,273,600,000","4,261,800,000","4,253,800,000","4,250,300,000","3,544,000,000","3,527,078,163","3,201,278,574","3,126,899,844","3,136,975,424","3,120,741,810","3,100,436,520","2,857,798,188","2,828,633,540","2,814,645,285","2,786,730,156","2,792,270,604","2,782,312,271"
		AdditionalPaidInCapital,,,"753,976,600,000",,"739,763,600,000","730,277,000,000",,"476,570,400,000",,"464,696,600,000",,"442,721,800,000",,"429,730,900,000",,"412,264,500,000",,"399,625,600,000",,"387,486,100,000",,"282,484,900,000",,"271,709,600,000",,"267,050,600,000",,"259,966,300,000",,"251,704,300,000",,"244,564,700,000","290,192,500,000","240,271,500,000","261,830,500,000","235,377,900,000","245,852,900,000","230,784,500,000","220,649,400,000","223,784,900,000","206,248,200,000","182,164,100,000","148,887,900,000","178,887,700,000","177,562,900,000","70,640,000,000","68,791,910,313","30,297,660,782","27,602,662,658","26,851,440,206","26,420,815,521","25,816,592,544","13,100,917,536","12,520,607,970","11,954,233,308","11,725,119,738","11,719,807,068","11,655,500,792"
		RetainedEarnings,,,"607,519,300,000",,"587,235,200,000","521,939,200,000",,"462,876,200,000",,"409,066,300,000",,"364,471,900,000",,"322,792,300,000",,"290,542,400,000",,"256,528,000,000",,"228,804,400,000",,"198,781,700,000",,"175,105,900,000",,"151,902,600,000",,"132,773,300,000",,"114,200,300,000",,"99,761,600,000",,"123,229,600,000",,"112,174,100,000",,"58,901,200,000",,"47,059,100,000",,"39,325,600,000",,"34,845,900,000","31,844,000,000","31,052,000,000","25,193,415,450","24,560,416,590","19,159,118,781","18,318,332,341","14,504,856,300","12,886,462,212","10,366,972,560","9,054,230,365","7,940,503,365","6,511,849,038","5,159,420,424","4,677,792,960"
		GainsLossesNotAffectingRetainedEarnings,"1,704,376,900,000","1,630,430,600,000","363,872,300,000","1,550,915,300,000","300,129,900,000","201,805,800,000","1,071,492,400,000","229,526,800,000","1,005,445,700,000","218,206,800,000","937,429,500,000","213,734,800,000","845,136,200,000","189,263,700,000","758,585,600,000","161,446,900,000","715,015,400,000","134,145,200,000","644,644,800,000","128,948,600,000","511,892,900,000","87,699,800,000","455,662,900,000","80,293,100,000","424,124,200,000","53,034,600,000","379,322,000,000","70,754,400,000","349,625,000,000","51,052,100,000","311,325,000,000","46,035,500,000",,"-9,651,600,000",,"-5,712,500,000",,"-4,633,300,000",,"-198,700,000",,"2,850,200,000",,"8,522,300,000","-8,254,800,000","13,956,000,000","11,001,785,991","7,603,576,640","8,214,969,327","7,062,650,635","7,753,505,004","7,589,519,256","6,100,917,480","6,802,603,360","5,395,880,961","5,009,479,209","3,497,584,632","2,899,257,095"
			OtherEquityAdjustments,,,"363,872,300,000",,"300,129,900,000","201,805,800,000",,"229,526,800,000",,"218,206,800,000",,"213,734,800,000",,"189,263,700,000",,"161,446,900,000",,"134,145,200,000",,"128,948,600,000",,"87,699,800,000",,"80,293,100,000",,"53,034,600,000",,"70,754,400,000",,"51,052,100,000",,"46,035,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221,500,000",,,"3,000,000",,"3,000,000",,"29,100,000",,"29,100,000","30,379,000,000","29,100,000","30,359,000,000","29,100,000","22,987,300,000","4,062,700,000","22,987,300,000","17,375,100,000",,,,,,,,,,,,,
