name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
MarketCap,"40,680,193,865","67,693,328,432","67,615,348,427","63,564,594,497","39,268,716,844","16,954,603,506","42,154,615,074","78,588,967,621","108,014,738,448","115,085,772,945","185,478,562,737","151,325,386,341","63,135,629,072","160,713,992,169","71,857,595,344","47,373,540,904","33,405,586,613","22,454,622,567","11,085,665,855"
EnterpriseValue,"49,030,193,865","74,825,328,432","79,781,348,427","86,121,594,497","65,928,716,844","64,473,603,506","86,439,615,074","123,988,967,621","155,392,738,448","149,576,875,318","211,033,562,737","164,126,262,241","78,468,629,072","183,650,992,169","74,836,595,344","52,230,540,904","36,481,586,613","26,952,622,567","14,229,665,855"
PeRatio,"198.25","18.592","17.355","9.336",,,,"17.704","21.172","5.325","10.703","25.707","4.694","13.556","11.64","10.853","13.009","14.516","16.317"
ForwardPeRatio,"5.008","7.628",,"10.593","10.204","11.312","7.955","8","7.386","5.2","8.726",,,,,,,,
PegRatio,,,,,"1.739","0.149","0.044","800.105",,,"3.879",,,,,,,,
PsRatio,"1.116","1.825","1.906","1.85","1.536","0.589","1.014","1.644","2.244","2.114","4.095","5.443","1.638","4.897","4.028","4.128","4.192","4.201","2.696"
PbRatio,"1.182","1.611","1.658","1.412","0.989","0.884","1.081","1.532","2.091","1.886","3.169","2.757","1.923","5.674","3.806","4.711","4.882","5.864","4.652"
EnterprisesValueRevenueRatio,"1.349","1.992","2.181","2.535","2.398","2.518","2.303","2.651","3.187","2.536","4.659","7.041","2.097","5.696","3.808","3.59","4.523","5.038","3.451"
EnterprisesValueEBITDARatio,"9.889","21.348","6.699","6.385","5.07","-4.735","11.835","9.46","12.704","4.48","8.049","14.393","4.411","9.66","7.363","7.374","9.608","14.321","8.661"
