name,ttm,03/31/2020,12/31/2019,09/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
		ImpairmentOfCapitalAssets,"55,447,802.203",,"56,000,000",,,"47,447,802.203",,,,"117,994,476.694",,,,,,,"12,454,447.136",,,,,,,,,,,"49,608,843.226","3,813,913.481",,,,,,,,"12,194,096.375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,"56,000,000",,,,,,,"117,994,476.694",,,,,,,"12,454,447.136",,,,,,,,,,,"49,608,843.226","3,813,913.481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"13,890,782.83",,"0",,,"8,890,782.83",,,,"950,395.403",,,,,,,"231,710.644",,,,,,,,,,,"446,302.769","324,588.381",,,,"17,503,418.636",,"82,072,668.347",,"100,412,076.36",,"122,226,615.849","87,501,798.186",,,,,"33,598,652.095",,"-85,929,371.941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"-2,379,925.631",,"0",,,"-2,379,925.631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"-191,340,673.23",,"-145,000,000",,,"-106,340,673.23",,,,"-132,935,631.514",,,,,,,"11,643,459.88",,,,,,,,,,,"-32,665,419.799","-9,656,504.345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"-14,535,000",,,"-14,836,000",,"-64,571,281.237","-34,934,359.548","1,798,593.66",,"-81,908,679.315","-9,757,666.229","149,003,482.315",,"-24,989,506.39","-39,761,064.676",,,"-86,714,568.833","-2,654,698.279","1,303,017.397",,"-84,726,894.575","62,249,967.618","-38,364,893.15",,"-106,928,703.044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"268,340,000","67,070,000","-161,000,000",,"51,730,000","-25,135,478.932","265,867,502.7","429,250,973.241","94,954,316.008","-49,301,848.904","288,508,186.847","186,003,921.859","264,542,556.305","184,518,633.889","340,800,911.563","238,387,650.46","93,321,462.025","45,091,503.803","-4,583,637.821","208,786,873.727","-30,473,937.686","-242,010,513.464","81,539,125.097","220,788,076.162","-170,097,511.364","-157,723,026.771","11,399,277.619","38,472,777.485","-154,260,628.241","-219,978,668.437","-97,127,084.71","-130,837,874.123","63,918,734.128","131,605,991.149","-641,680,158.444","-287,960,072.409","-192,582,625.515","-364,611,594.487","-87,399,396.538","-235,347,997.247","-239,138,669.235","-432,376,975.031","86,898,502.225","191,821,078.989","-187,397,794.466","-1,705,533,527.829","940,936,096.244","514,221,000","562,473,000","709,409,000","930,837,000","741,514,000","490,130,000","554,631,000","983,895,000","685,314,000","608,160,000","282,273,000","783,727,000","838,880,000","507,314,000","428,541,000","405,597,000","404,597,000","354,408,000","115,636,000","163,364,000","351,617,000","90,981,000","168,959,000","20,237,000","85,230,000","315,565,000","297,198,000","140,246,000","529,425,000","374,028,000","259,125,000","312,720,000","283,958,000","303,529,000","177,542,000","273,200,000","273,800,000","318,700,000"
TaxProvision,"150,095,000","50,027,000","11,000,000",,"61,932,000","38,166,048.757","85,392,338.937","48,249,069.412","54,183,584.623","98,791,334.593","-27,589,541.223","-94,447,787.495","48,159,359.37","31,418,022.294","42,463,987.427","38,519,943.568","43,909,167.11","-66,326,079.589","32,119,106.236","80,641,432.744","101,023,162.861","-96,637,052.637","144,225,245.305","122,828,966.44","109,892,463.888","79,676,977.27","137,406,531.989","144,772,407.157","117,176,405.671","201,873,315.509","125,615,208.179","52,449,579.603","89,314,319.203","709,957,331.985","100,931,796.903","-12,667,702.712","89,395,341.014","234,948,825.302","8,218,516.754","34,367,154.69","88,886,388.837","-581,634,292.273","-25,285,895.148","4,477,122.695","-195,606,380.649","-1,727,786,748.437","159,888,477.197","84,214,000","91,626,000","67,827,000","157,218,000","125,242,000","82,783,000","114,471,000","157,440,000","106,909,000","94,872,000","58,891,000","101,682,000","105,699,000","66,633,000","57,517,000","48,040,000","50,867,000","43,129,000","14,665,000","23,133,000","42,661,000","9,562,000","4,883,000","3,718,000","12,082,000","35,889,000","22,064,000","28,138,000","67,279,000","48,831,000","5,216,000","50,717,000","56,760,000","45,425,000","4,044,000","21,800,000","23,600,000","19,200,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,070,637.173",,"-1,172,103.927",,"-6,808,498.38","-14,673,816.518",,,"7,751,071.939","-26,479,964.732","-24,176,911.933",,"20,149,703.48","7,447,530.162","-2,254,349.961",,"49,515,392.708",,"4,075,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"146,333,000","42,168,000","-238,000,000",,"38,835,000","-62,681,044.158","175,141,662.454","373,634,928.488","26,580,533.88","-170,718,188.599","287,005,352.726","295,283,280.317","357,440,699.266","179,758,364.533","279,851,184.345","201,669,381.841","36,668,209.473","149,653,163.557","-43,271,525.231","111,984,426.585","-146,863,807.62","-130,079,125.383","-104,218,451.563","75,995,426.481","-296,738,431.495","-244,933,022.284","-155,343,299.18","-134,116,501.141","-287,098,423.312","-479,160,888.143","-207,106,480.582","-189,079,069.579","-26,333,268.216","-546,587,620.112","-748,617,068.779","-291,397,294.897","-279,539,147.254","-592,618,584.311","-90,868,667.62","-301,489,052.337","-352,926,679.239","-199,637,805.875","119,636,846.898","189,263,145.914","2,880,122.64","-25,168,666.993","793,373,038.745","444,133,000","470,119,000","570,542,000","780,124,000","611,488,000","400,080,000","428,338,000","836,399,000","578,837,000","505,157,000","258,514,000","674,698,000","732,661,000","443,930,000","375,621,000","361,207,000","361,207,000","311,279,000","100,971,000","140,231,000","308,956,000","81,419,000","164,076,000","16,519,000","73,148,000","279,676,000","384,297,000","106,844,000","407,686,000","276,515,000","253,909,000","262,003,000","227,198,000","258,104,000","173,498,000","251,400,000","250,200,000","299,500,000"
