name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010
TotalRevenue,"5,703,000,000","5,238,000,000","4,718,600,000","4,493,700,000","4,712,100,000","4,371,469,000","3,310,843,000","2,181,732,000","1,302,254,000","803,339,000","508,099,000"
	OperatingRevenue,"5,703,000,000","5,238,000,000","4,718,600,000","4,493,700,000","4,712,100,000","4,371,469,000","3,310,843,000","2,181,732,000","1,302,254,000","803,339,000","508,099,000"
CostOfRevenue,"2,270,000,000","2,058,000,000","1,859,300,000","1,832,300,000","1,914,900,000","1,723,818,000","1,294,773,000","875,166,000","549,158,000","357,274,000","241,365,000"
GrossProfit,"3,433,000,000","3,180,000,000","2,859,300,000","2,661,400,000","2,797,200,000","2,647,651,000","2,016,070,000","1,306,566,000","753,096,000","446,065,000","266,734,000"
OperatingExpense,"2,713,000,000","2,300,000,000","1,975,400,000","1,772,300,000","1,611,200,000","1,389,856,000","1,006,567,000","675,827,000","502,122,000","305,365,000","210,560,000"
	SellingGeneralAndAdministration,"2,460,000,000","2,075,000,000","1,766,800,000","1,552,500,000","1,428,000,000","1,251,431,000","926,913,000","621,536,000","464,568,000","279,822,000","191,717,000"
	DepreciationAmortizationDepletionIncomeStatement,"253,000,000","225,000,000","208,600,000","219,800,000","183,200,000","138,425,000","79,654,000","54,291,000","37,554,000","25,543,000","18,843,000"
		DepreciationAndAmortizationInIncomeStatement,"253,000,000","225,000,000","208,600,000","219,800,000","183,200,000","138,425,000","79,654,000","54,291,000","37,554,000","25,543,000","18,843,000"
OperatingIncome,"720,000,000","880,000,000","883,900,000","889,100,000","1,186,000,000","1,257,795,000","1,009,503,000","630,739,000","250,974,000","140,700,000","56,174,000"
NetNonOperatingInterestIncomeExpense,"-36,000,000","-38,000,000","-22,300,000","-4,100,000","-1,700,000","-215,000","-393,000","-1,524,000","-1,495,000","-1,861,000","-2,057,000"
	TotalOtherFinanceCost,"36,000,000","38,000,000","22,300,000","4,100,000","1,700,000","215,000","393,000","1,524,000","1,495,000","1,861,000","2,057,000"
OtherIncomeExpense,"-337,000,000","-221,000,000","-119,800,000","-196,400,000","-12,000,000","-1,757,000","-1,463,000","-2,088,000","-663,000","-5,620,000","830,000"
	GainOnSaleOfSecurity,"-5,000,000","-80,000,000","13,300,000","-2,600,000","-4,800,000","-2,570,000","-131,000","-1,363,000","2,629,000",,"830,000"
	EarningsFromEquityInterest,,,,,,"130,000",,,,,
	SpecialIncomeCharges,"-336,000,000","-145,000,000","-134,800,000","-199,200,000","-10,900,000","-822,000","-1,332,000","-725,000","-3,292,000","-5,620,000","0"
		RestructuringAndMergernAcquisition,"112,000,000","124,000,000","102,100,000",,,,,,,,
		ImpairmentOfCapitalAssets,"224,000,000","21,000,000","32,700,000","199,200,000","10,900,000","822,000","1,332,000","725,000","3,292,000","3,834,000","0"
		OtherSpecialCharges,,,,,,,,,,"1,786,000",
	OtherNonOperatingIncomeExpenses,"4,000,000","4,000,000","1,700,000","5,400,000","3,700,000","1,505,000",,,,,
PretaxIncome,"347,000,000","621,000,000","741,800,000","688,600,000","1,172,300,000","1,255,823,000","1,007,647,000","627,127,000","248,816,000","133,219,000","54,947,000"
TaxProvision,"1,000,000","79,000,000","149,700,000","137,100,000","334,600,000","374,800,000","346,162,000","229,525,000","101,452,000","60,713,000","15,699,000"
