name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,09/30/2007
			FinishedGoods,,"29,239,000","38,151,000","38,561,000","29,540,000","30,220,000","38,698,000","38,206,000","37,684,000","34,308,000","44,141,000","47,023,000","47,675,000","38,784,000","35,498,000","30,974,000","22,306,000","23,218,000","20,821,000","18,331,000","20,893,000","22,855,000","31,860,000","29,869,000","19,187,000","17,064,000","16,935,000","12,701,000","14,380,000","15,472,000","20,991,000","16,736,000","14,857,000","4,802,000","8,752,000","15,307,000","10,611,000","9,584,000","7,201,000","6,637,000","4,943,000","4,914,000","4,074,000","5,290,000","3,884,000"
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,237,000",,"6,288,000","8,669,000","11,055,000","11,163,000","8,327,000","9,473,000","5,709,000","2,968,000","2,604,000"
			InventoriesAdjustmentsAllowances,,,"-1,732,000","-1,996,000","-2,838,000","-2,587,000","-2,079,000","-2,557,000","-2,439,000","-3,384,000","-2,444,000","-2,730,000","-2,607,000","-2,862,000","-3,475,000","-2,436,000","-2,613,000","-2,479,000","-3,107,000","-2,957,000","-2,892,000","-2,877,000","-3,075,000","-2,560,000","-2,790,000","-2,221,000","-2,117,000","-2,117,000","-2,112,000","-2,325,000","-2,535,000","-2,701,000","-2,730,000","-2,677,000","-2,211,000","-2,202,000","-2,485,000","-2,160,000","-2,340,000","-2,187,000","-2,069,000","-1,989,000","-2,296,000","-3,300,000","-3,505,000"
		PrepaidAssets,"4,524,000","4,919,000","6,313,000","8,827,000","12,299,000","9,809,000","10,978,000","8,061,000","9,466,000","9,098,000","7,894,000","6,306,000","3,804,000","2,407,000","3,511,000","3,114,000","2,381,000","1,003,000","2,404,000","2,135,000","2,272,000","1,366,000","1,638,000","1,691,000","2,097,000","902,000","1,398,000","1,931,000","2,605,000","1,334,000","2,388,000","3,571,000","7,046,000","4,716,000","2,983,000","4,466,000","2,775,000","2,052,000","4,660,000","2,547,000","3,437,000","2,661,000","1,482,000","1,218,000","5,199,000"
		RestrictedCash,"7,402,000","272,000","22,180,000","0","0","0","0","3,331,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"478,000","1,408,000",,,
		CurrentDeferredAssets,,,,,,,,,,,,"0","0","0","0","1,358,000","1,361,000","1,555,000","1,619,000","1,662,000","1,486,000","1,557,000","1,642,000","1,561,000","1,779,000","2,014,000","1,618,000","1,937,000","2,158,000","1,744,000","2,479,000","4,088,000","3,948,000","3,705,000","1,471,000","1,308,000","758,000","795,000","774,000","696,000","664,000","671,000","699,000","431,000","448,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,"0","0","0","0","1,358,000","1,361,000","1,555,000","1,619,000","1,662,000","1,486,000","1,557,000","1,642,000","1,561,000","1,779,000","2,014,000","1,618,000","1,937,000","2,158,000","1,744,000","2,479,000","4,088,000","3,948,000","3,705,000","1,471,000","1,308,000","758,000","795,000","774,000","696,000","664,000","671,000","699,000","431,000","448,000"
		OtherCurrentAssets,"8,774,000","7,416,000","9,122,000","11,015,000","5,236,000","5,044,000","6,512,000","5,948,000","11,049,000","7,974,000","7,667,000","4,159,000","2,983,000","4,604,000","5,210,000","6,662,000","5,136,000","1,612,000","1,739,000","1,833,000","1,822,000","2,356,000","2,467,000","2,010,000","2,357,000","2,494,000","2,105,000","3,505,000","7,593,000","6,934,000","5,918,000","6,029,000",,,,,,,,"2,162,000",,,,,
	TotalNonCurrentAssets,"237,403,000","244,202,000","238,547,000","231,483,000","223,107,000","225,821,000","230,696,000","233,708,000","238,825,000","238,606,000","235,206,000","234,321,000","233,107,000","227,519,000","220,852,000","183,159,000","164,776,000","164,566,000","151,757,000","145,464,000","138,306,000","110,747,000","102,443,000","100,080,000","101,871,000","100,461,000","100,283,000","100,382,000","101,459,000","102,036,000","102,312,000","100,691,000","99,390,000","91,632,000","88,090,000","80,099,000","77,399,000","74,257,000","68,230,000","61,099,000","60,687,000","57,306,000","57,385,000","59,703,000","54,616,000"
		NetPPE,"225,218,000","224,596,000","218,455,000","210,686,000","209,084,000","212,314,000","216,849,000","219,640,000","222,047,000","222,539,000","217,985,000","216,881,000","216,378,000","213,987,000","205,845,000","178,410,000","160,441,000","159,415,000","144,148,000","140,654,000","133,998,000","106,498,000","98,058,000","97,244,000","98,782,000","97,316,000","97,133,000","97,206,000","98,173,000","98,248,000","98,127,000","97,923,000","96,391,000","88,436,000","82,786,000","75,410,000","72,402,000","68,943,000","64,324,000","57,651,000","57,509,000","54,454,000","54,427,000","56,034,000","52,427,000"
