name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,09/30/2007
				LineOfCredit,,,,,,,,"0","39,000,000","39,000,000","34,000,000","35,003,000","35,280,000","23,432,000","21,182,000","6,500,000","44,000,000","48,000,000","30,000,000","30,000,000","30,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"12,156,000","12,156,000","12,157,000","3,250,000","3,250,000","3,250,000","3,250,000","3,250,000","13,464,000","13,443,000","13,421,000","13,399,000","13,378,000","14,855,000","16,334,000","18,100,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","9,660,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","9,668,000","6,368,000","4,898,000","4,398,000",,,,,,,,,
			CurrentCapitalLeaseObligation,"1,893,000","2,134,000","1,941,000","398,000","417,000","409,000","434,000","451,000","491,000","477,000","343,000","344,000","341,000","362,000","122,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"1,941,000","2,360,000","2,266,000","2,239,000","0","0","0","3,331,000",,,,,,,,,,,,,,,,,"2,191,000","2,778,000","2,607,000","2,481,000","1,761,000","1,654,000","1,532,000","1,405,000","1,283,000","1,181,000","1,125,000",,,,,,,,,,"2,715,000"
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,"2,191,000","2,778,000","2,607,000","2,481,000","1,761,000","1,654,000","1,532,000","1,405,000","1,283,000","1,181,000","1,125,000",,,,,,,,,,
			CurrentDeferredRevenue,"1,941,000","2,360,000","2,266,000","2,239,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2,715,000"
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,"1,538,000","1,558,000","9,812,000","48,390,000","54,401,000",,"61,198,000",,"11,684,000",,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"69,401,000","73,321,000","75,594,000","79,171,000","76,087,000","76,843,000","75,871,000","76,962,000","32,103,000","34,331,000","37,078,000","40,229,000","42,768,000","43,197,000","47,027,000","46,013,000","8,886,000","10,209,000","11,122,000","12,511,000","13,709,000","14,584,000","16,067,000","17,092,000","17,112,000","19,498,000","21,926,000","24,161,000","28,742,000","30,676,000","33,566,000","35,395,000","38,397,000","30,323,000","21,200,000","18,439,000","17,171,000","17,867,000","20,028,000","20,359,000","20,282,000","21,411,000","23,632,000","24,568,000","15,356,000"
		LongTermDebtAndCapitalLeaseObligation,"47,577,000","51,320,000","53,266,000","57,790,000","58,709,000","60,427,000","60,539,000","61,454,000","13,266,000","16,725,000","20,305,000","23,725,000","27,121,000","30,520,000","34,315,000","36,400,000",,"1,500,000","3,000,000","4,500,000","6,000,000","7,500,000","9,000,000","10,500,000","12,000,000","14,409,000","16,826,000","19,243,000","21,660,000","24,077,000","26,494,000","28,911,000","31,328,000","23,545,000","14,562,000","11,979,000","10,996,000","11,913,000","13,460,000","14,377,000","14,964,000","16,381,000","17,968,000","19,385,000","9,075,000"
			LongTermDebt,"42,553,000","45,592,000","48,631,000","57,688,000","58,500,000","60,125,000","60,125,000","60,938,000","12,595,000","15,969,000","19,338,000","22,701,000","26,059,000","29,412,000","32,759,000","36,400,000",,"1,500,000","3,000,000","4,500,000","6,000,000","7,500,000","9,000,000","10,500,000","12,000,000","14,409,000","16,826,000","19,243,000","21,660,000","24,077,000","26,494,000","28,911,000","31,328,000","23,545,000","14,562,000","11,979,000","10,996,000","11,913,000","13,460,000","14,377,000","14,964,000","16,381,000","17,968,000","19,385,000","9,075,000"
			LongTermCapitalLeaseObligation,"5,024,000","5,728,000","4,635,000","102,000","209,000","302,000","414,000","516,000","671,000","756,000","967,000","1,024,000","1,062,000","1,108,000","1,556,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"3,684,000","3,543,000","3,791,000","3,561,000","3,177,000","2,939,000","2,387,000","2,284,000","5,741,000","5,412,000","4,924,000","5,293,000","4,929,000","3,126,000","3,379,000","854,000","696,000","1,043,000","851,000","737,000","1,017,000","867,000","1,128,000","1,040,000",,,,,,,,,,,,,,,,,,,,,"679,000"
			NonCurrentDeferredTaxesLiabilities,"3,684,000","3,543,000","3,791,000","3,561,000","3,177,000","2,939,000","2,387,000","2,284,000","2,172,000","1,989,000","1,510,000","1,981,000","1,754,000","0","0","854,000","696,000","1,043,000","851,000","737,000","1,017,000","867,000","1,128,000","1,040,000",,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"679,000"
		EmployeeBenefits,"16,143,000","16,735,000","15,872,000","15,209,000","11,837,000","11,173,000","10,835,000","10,162,000","10,103,000","9,264,000","9,058,000","8,488,000","7,896,000","7,277,000","7,154,000","6,684,000","6,200,000","5,767,000","5,424,000","5,477,000","5,001,000","4,771,000","4,671,000","4,453,000","4,539,000","4,532,000","4,564,000","4,382,000","5,464,000","5,017,000",,"4,420,000",,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"1,997,000","1,723,000","2,665,000","2,611,000","2,364,000","2,304,000","2,110,000","3,062,000","2,993,000","2,930,000","2,791,000","2,723,000","2,822,000","2,274,000","2,179,000","2,075,000","1,990,000","1,899,000","1,847,000","1,797,000","1,691,000","1,446,000","1,268,000","1,099,000","573,000","557,000","536,000","536,000","1,618,000","1,582,000","7,072,000","2,064,000","7,069,000","6,778,000","6,638,000","6,460,000","6,175,000","5,954,000","6,568,000","5,982,000","5,318,000","5,030,000","5,664,000","5,183,000","5,602,000"
TotalEquityGrossMinorityInterest,"933,409,000","928,327,000","890,695,000","863,099,000","828,888,000","801,533,000","766,157,000","740,939,000","735,543,000","721,770,000","707,463,000","681,574,000","649,103,000","619,665,000","585,033,000","554,419,000","530,700,000","506,224,000","483,976,000","478,944,000","463,678,000","450,031,000","439,552,000","426,836,000","415,013,000","365,483,000","346,031,000","325,318,000","309,013,000","286,199,000","268,106,000","250,709,000","242,517,000","287,158,000","318,230,000","301,527,000","283,860,000","264,653,000","247,624,000","232,163,000","194,360,000","180,581,000","169,334,000","193,505,000","137,140,000"
	StockholdersEquity,"933,409,000","928,327,000","890,695,000","863,099,000","828,888,000","801,533,000","766,157,000","740,939,000","735,543,000","721,770,000","707,463,000","681,574,000","649,103,000","619,665,000","585,033,000","554,419,000","530,700,000","506,224,000","483,976,000","478,944,000","463,678,000","450,031,000","439,552,000","426,836,000","415,013,000","365,483,000","346,031,000","325,318,000","309,013,000","286,199,000","268,106,000","250,709,000","242,517,000","287,158,000","318,230,000","301,527,000","283,860,000","264,653,000","247,624,000","232,163,000","194,360,000","180,581,000","169,334,000","193,505,000","137,140,000"
		CapitalStock,"385,000","384,000","384,000","382,000","382,000","381,000","381,000","377,000","376,000","376,000","376,000","373,000","373,000","369,000","367,000","362,000","360,000","359,000","358,000","354,000","354,000","354,000","353,000","352,000","351,000","350,000","347,000","346,000","346,000","345,000","345,000","345,000","345,000","344,000","342,000","342,000","342,000","338,000","338,000","337,000","309,000","309,000","308,000","306,000","298,000"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
			CommonStock,"385,000","384,000","384,000","382,000","382,000","381,000","381,000","377,000","376,000","376,000","376,000","373,000","373,000","369,000","367,000","362,000","360,000","359,000","358,000","354,000","354,000","354,000","353,000","352,000","351,000","350,000","347,000","346,000","346,000","345,000","345,000","345,000","345,000","344,000","342,000","342,000","342,000","338,000","338,000","337,000","309,000","309,000","308,000","306,000","298,000"
		AdditionalPaidInCapital,"171,870,000","166,103,000","160,148,000","158,299,000","154,738,000","151,639,000","147,869,000","151,797,000","147,958,000","142,914,000","137,593,000","133,293,000","128,868,000","121,366,000","109,772,000","102,325,000","98,120,000","95,482,000","92,728,000","89,390,000","87,088,000","84,799,000","82,561,000","80,882,000","79,393,000","77,526,000","72,616,000","71,101,000","69,938,000","68,251,000","66,840,000","65,462,000","64,727,000","63,044,000","60,864,000","59,816,000","58,804,000","56,264,000","55,041,000","54,786,000","30,585,000","30,317,000","30,123,000","29,633,000","26,779,000"
		RetainedEarnings,"840,038,000","811,771,000","780,540,000","754,583,000","721,626,000","692,991,000","661,478,000","632,423,000","609,655,000","588,602,000","569,288,000","548,256,000","520,855,000","499,199,000","473,907,000","451,141,000","431,473,000","410,650,000","390,847,000","389,244,000","376,210,000","365,364,000","356,638,000","345,602,000","335,269,000","287,607,000","273,068,000","253,871,000","238,729,000","217,603,000","200,921,000","184,902,000","177,445,000","223,770,000","257,024,000","241,369,000","224,714,000","208,051,000","192,245,000","177,040,000","163,466,000","149,955,000","138,903,000","163,566,000","109,966,000"
		TreasuryStock,"68,501,000","47,779,000","47,779,000","47,779,000","47,779,000","42,401,000","42,401,000","42,401,000","22,407,000","9,910,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-10,383,000","-2,152,000","-2,598,000","-2,386,000","-79,000","-1,077,000","-1,170,000","-1,257,000","-39,000","-212,000","206,000","-348,000","-993,000","-1,269,000","987,000","591,000","747,000","-267,000","43,000","-44,000","26,000","-486,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,000"
TotalCapitalization,"975,962,000","973,919,000","939,326,000","920,787,000","887,388,000","861,658,000","826,282,000","801,877,000","748,138,000","737,739,000","726,801,000","704,275,000","675,162,000","649,077,000","617,792,000","590,819,000","530,700,000","507,724,000","486,976,000","483,444,000","469,678,000","457,531,000","448,552,000","437,336,000","427,013,000","379,892,000","362,857,000","344,561,000","330,673,000","310,276,000","294,600,000","279,620,000","273,845,000","310,703,000","332,792,000","313,506,000","294,856,000","276,566,000","261,084,000","246,540,000","209,324,000","196,962,000","187,302,000","212,890,000","146,215,000"
CommonStockEquity,"933,409,000","928,327,000","890,695,000","863,099,000","828,888,000","801,533,000","766,157,000","740,939,000","735,543,000","721,770,000","707,463,000","681,574,000","649,103,000","619,665,000","585,033,000","554,419,000","530,700,000","506,224,000","483,976,000","478,944,000","463,678,000","450,031,000","439,552,000","426,836,000","415,013,000","365,483,000","346,031,000","325,318,000","309,013,000","286,199,000","268,106,000","250,709,000","242,517,000","287,158,000","318,230,000","301,527,000","283,860,000","264,653,000","247,624,000","232,163,000","194,360,000","180,581,000","169,334,000","193,505,000","137,140,000"
CapitalLeaseObligations,"6,917,000","7,862,000","6,576,000","500,000","626,000","711,000","848,000","967,000","1,162,000","1,233,000","1,310,000","1,368,000","1,403,000","1,470,000","1,678,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"925,839,000","920,491,000","883,431,000","855,507,000","820,953,000","793,552,000","757,745,000","732,231,000","725,515,000","712,405,000","697,883,000","671,928,000","639,597,000","612,088,000","576,948,000","553,920,000","530,331,000","505,903,000","483,781,000","478,807,000","463,633,000","449,979,000","439,501,000","426,764,000","414,920,000","365,370,000","345,895,000","325,154,000","308,817,000","285,960,000","267,801,000","250,329,000","242,051,000","286,603,000","317,581,000","300,635,000","282,851,000","263,677,000","246,527,000","230,943,000","193,334,000","179,459,000","168,103,000","192,161,000","137,140,000"
WorkingCapital,"765,407,000","757,446,000","727,742,000","710,787,000","681,868,000","652,555,000","611,332,000","584,193,000","528,821,000","517,495,000","509,335,000","487,482,000","458,764,000","435,343,000","411,208,000","417,273,000","374,810,000","351,867,000","343,341,000","345,991,000","339,081,000","353,868,000","353,176,000","343,848,000","330,254,000","284,520,000","267,674,000","249,097,000","236,296,000","214,839,000","199,360,000","185,413,000","181,524,000","225,849,000","251,340,000","239,867,000","223,632,000","208,263,000","199,422,000","191,423,000","153,955,000","144,686,000","135,581,000","158,370,000","97,880,000"
InvestedCapital,"988,118,000","986,075,000","951,483,000","924,037,000","890,638,000","864,908,000","829,532,000","805,127,000","800,602,000","790,182,000","774,222,000","752,677,000","723,820,000","687,364,000","655,308,000","615,419,000","580,700,000","561,724,000","522,976,000","519,444,000","505,678,000","463,531,000","454,552,000","443,336,000","436,673,000","389,560,000","372,525,000","354,229,000","340,341,000","319,944,000","304,268,000","289,288,000","283,513,000","317,071,000","337,690,000","317,904,000","299,824,000","282,034,000","266,592,000","252,548,000","215,363,000","203,608,000","194,554,000","220,823,000","152,808,000"
TangibleBookValue,"925,839,000","920,491,000","883,431,000","855,507,000","820,953,000","793,552,000","757,745,000","732,231,000","725,515,000","712,405,000","697,883,000","671,928,000","639,597,000","612,088,000","576,948,000","553,920,000","530,331,000","505,903,000","483,781,000","478,807,000","463,633,000","449,979,000","439,501,000","426,764,000","414,920,000","365,370,000","345,895,000","325,154,000","308,817,000","285,960,000","267,801,000","250,329,000","242,051,000","286,603,000","317,581,000","300,635,000","282,851,000","263,677,000","246,527,000","230,943,000","193,334,000","179,459,000","168,103,000","192,161,000","137,140,000"
TotalDebt,"61,626,000","65,610,000","67,364,000","61,438,000","62,376,000","64,086,000","64,223,000","65,155,000","66,221,000","69,645,000","68,069,000","72,471,000","76,120,000","69,169,000","71,953,000","61,000,000","50,000,000","55,500,000","39,000,000","40,500,000","42,000,000","13,500,000","15,000,000","16,500,000","21,660,000","24,077,000","26,494,000","28,911,000","31,328,000","33,745,000","36,162,000","38,579,000","40,996,000","29,913,000","19,460,000","16,377,000","15,964,000","17,381,000","18,968,000","20,385,000","21,003,000","23,027,000","25,220,000","27,318,000","15,668,000"
ShareIssued,"38,460,931","38,408,890","38,389,128","38,230,753","38,216,231","38,138,159","38,118,609","37,723,733","37,723,733","37,597,301","37,572,302","37,340,496","37,326,596","36,918,462","36,700,468","36,156,446","36,016,245","35,871,740","35,776,771","35,437,654","35,426,140","35,371,886","35,319,755","35,152,772","35,104,766","35,034,181","34,733,691","34,634,967","34,626,335","34,535,980","34,496,237","34,470,829","34,466,754","34,422,252","34,238,964","34,207,579","34,179,327","33,790,325","33,764,630","33,751,730","33,751,730","33,751,730","33,751,730","33,751,730","33,751,730"
OrdinarySharesNumber,"36,716,828","37,019,787","37,000,025","36,841,650","36,827,128","36,849,056","36,829,506","36,434,630","36,434,630","37,281,328","37,572,302","37,340,496","37,326,596","36,918,462","36,700,468","36,156,446","36,016,245","35,871,740","35,776,771","35,437,654","35,426,140","35,371,886","35,319,755","35,152,772","35,104,766","35,034,181","34,733,691","34,634,967","34,626,335","34,535,980","34,496,237","34,470,829","34,466,754","34,422,252","34,238,964","34,207,579","34,179,327","33,790,325","33,764,630","33,751,730","33,751,730","33,751,730","33,751,730","33,751,730","33,751,730"
TreasurySharesNumber,"1,744,103","1,389,103","1,389,103","1,389,103","1,389,103","1,289,103","1,289,103","1,289,103","1,289,103","315,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
