name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
		SellingAndMarketingExpense,"210,623,000","157,643,000","1,691,000","51,289,000","53,133,000","51,787,000","51,832,000","52,760,000","53,779,000","51,473,000","50,157,000","48,942,000","49,841,000","26,030,000","23,970,000","23,881,000","26,037,000","24,882,000","19,636,000","22,033,000","21,500,000","23,809,000","22,122,000","23,978,000","23,853,000","26,013,000","27,588,000","24,763,000","21,449,000","17,996,000","23,501,000","21,272,000","22,223,000","20,851,000","19,293,000","15,830,000","16,973,000","4,419,000","14,975,000","12,160,000","13,777,000","15,753,000","15,889,000","12,700,000","13,223,000","14,798,000","17,600,000","17,818,000","16,961,000","18,488,000","15,820,000","16,809,000","14,813,000","15,620,000","15,529,000","13,558,000","13,101,000","13,631,000","15,832,000",,
	DepreciationAmortizationDepletionIncomeStatement,"282,081,000","70,469,000","2,327,000","70,549,000","68,187,000","66,478,000","44,435,000","43,261,000","41,909,000","42,094,000","41,847,000","40,572,000","39,832,000","54,550,000","35,525,000","34,815,000","34,388,000","34,083,000","35,485,000","33,855,000","31,464,000","31,512,000","28,070,000","27,744,000","27,821,000","27,082,000","26,576,000","26,866,000","24,806,000","24,446,000","23,031,000","21,214,000","20,526,000","19,727,000","19,350,000","18,564,000","17,817,000","23,579,000","13,553,000","13,203,000","12,627,000","11,259,000","11,926,000","11,966,000","11,928,000","11,326,000","11,132,000","10,433,000","10,000,000","9,822,000","9,056,000","8,455,000","7,995,000","3,879,000","6,497,000","5,502,000","5,417,000","5,013,000","4,948,000",,
		DepreciationAndAmortizationInIncomeStatement,"282,081,000","70,469,000","2,327,000","70,549,000","68,187,000","66,478,000","44,435,000","43,261,000","41,909,000","42,094,000","41,847,000","40,572,000","39,832,000","54,550,000","35,525,000","34,815,000","34,388,000","34,083,000","35,485,000","33,855,000","31,464,000","31,512,000","28,070,000","27,744,000","27,821,000","27,082,000","26,576,000","26,866,000","24,806,000","24,446,000","23,031,000","21,214,000","20,526,000","19,727,000","19,350,000","18,564,000","17,817,000","23,579,000","13,553,000","13,203,000","12,627,000","11,259,000","11,926,000","11,966,000","11,928,000","11,326,000","11,132,000","10,433,000","10,000,000","9,822,000","9,056,000","8,455,000","7,995,000","3,879,000","6,497,000","5,502,000","5,417,000","5,013,000","4,948,000",,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,031,000","21,214,000","20,526,000",,"19,350,000","18,564,000","17,817,000",,"13,553,000","13,203,000","12,627,000","11,259,000","11,926,000","11,966,000","11,928,000","11,326,000","11,132,000","10,433,000","10,000,000","9,822,000","9,056,000","8,455,000","7,995,000","3,879,000","6,497,000","5,502,000","5,417,000","5,013,000","4,948,000",,
	OtherOperatingExpenses,"402,855,000","301,214,000","3,253,000","98,388,000","100,534,000","111,155,000","102,554,000","91,149,000","98,790,000","97,110,000","94,326,000","89,340,000","87,998,000","108,806,000","100,618,000","96,497,000","100,339,000","111,924,000","103,992,000","93,994,000","98,435,000","107,428,000","103,397,000","102,482,000","99,365,000","110,799,000","109,012,000","98,463,000","91,600,000","94,751,000",,,"17,300,000",,,,"15,807,000",,"20,991,000",,"16,157,000","16,188,000","18,195,000","14,917,000","12,886,000","-22,318,000","15,199,000","16,180,000","49,460,000","691,873,000","22,944,000","12,483,000","11,590,000","543,659,000","29,105,000","10,392,000","9,574,000","370,912,000","42,321,000",,
OperatingIncome,"435,497,000","302,621,000","50,276,000","82,600,000","112,872,000","62,249,000","74,291,000","57,076,000","143,396,000","120,446,000","119,128,000","82,960,000","117,527,000","71,149,000","77,190,000","34,183,000","94,091,000","39,078,000","50,556,000","49,156,000","127,277,000","118,836,000","111,062,000","131,191,000","176,998,000","161,838,000","147,492,000","97,688,000","142,627,000","66,977,000","133,651,000","90,349,000","111,558,000","135,651,000","115,818,000","90,756,000","100,997,000","129,605,000","87,305,000","49,305,000","94,964,000","105,400,000","77,044,000","59,725,000","93,650,000","177,231,000","71,534,000","45,242,000","16,000,000","-639,353,000","47,762,000","40,881,000","59,933,000","-489,273,000","21,191,000","23,716,000","35,593,000","-336,688,000","-1,301,000","137,374,000","113,608,000"
NetNonOperatingInterestIncomeExpense,"-33,027,000","-26,452,000","957,000","-7,532,000","-8,056,000","-6,676,000","-2,726,000","-3,143,000","-3,316,000","-3,282,000","-3,838,000","-4,689,000","-5,475,000","-5,414,000","-6,177,000","-5,909,000","-6,524,000","-767,000","-2,543,000","-2,583,000","-1,315,000","-1,561,000","-3,255,000","-3,290,000","-3,358,000","-3,484,000","-4,386,000","-4,719,000","-4,954,000","-4,702,000","-4,889,000","-5,842,000","-5,673,000","-6,659,000","-6,349,000","-6,226,000","-6,672,000","-6,526,000","-6,587,000","-6,333,000","-5,776,000","-5,197,000","-5,732,000","-6,076,000","-6,055,000",,"-7,091,000","-6,735,000","-7,691,000",,,,,,,,,,,,
	InterestIncomeNonOperating,"24,405,000","18,284,000","80,000","6,041,000","5,954,000","6,115,000","6,228,000","6,038,000","5,248,000","5,443,000","4,801,000","4,249,000","3,446,000","3,479,000","3,506,000","3,238,000","2,777,000","8,155,000","5,728,000","5,789,000","6,275,000","6,379,000","4,348,000","3,586,000","3,736,000","3,963,000","3,127,000","2,841,000","2,706,000","3,427,000","3,235,000","2,741,000","2,286,000","2,152,000","1,795,000","1,575,000","1,252,000","1,129,000","1,185,000","1,149,000","1,296,000","1,643,000","2,217,000","2,444,000","2,881,000",,"2,903,000","2,596,000","3,289,000",,,,,,,,,,,,
	InterestExpenseNonOperating,"51,286,000","38,590,000","-877,000","13,573,000","14,010,000","12,791,000","8,954,000","9,181,000","8,564,000","8,725,000","8,639,000","8,938,000","8,921,000","8,893,000","9,683,000","9,147,000","9,301,000","8,922,000","8,271,000","8,372,000","7,590,000","7,940,000","7,603,000","6,876,000","7,094,000","7,447,000","7,513,000","7,560,000","7,660,000","8,129,000","8,124,000","8,583,000","7,959,000","8,811,000","8,144,000","7,801,000","7,924,000","7,655,000","7,772,000","7,482,000","7,072,000","6,840,000","7,949,000","8,520,000","8,936,000",,"9,994,000","9,331,000","10,980,000",,,,,,,,,,,,
	TotalOtherFinanceCost,"6,146,000"
OtherIncomeExpense,"-109,031,000","-99,040,000","-5,663,000","-4,328,000","-6,785,000","-207,330,000","-2,531,000","3,304,000","8,219,000","-6,039,000","2,923,000","-2,872,000","1,234,000","33,181,000","15,658,000","32,025,000","39,362,000","-440,284,000","-37,600,000","24,657,000","2,083,000","-81,867,000","-36,157,000","4,107,000","67,000","-35,243,000","10,700,000","-10,616,000","-9,195,000","34,570,000","-5,811,000","-48,711,000","4,866,000","-12,538,000","-34,764,000","-33,467,000","9,464,000","-25,982,000","-7,626,000","-20,933,000","-21,393,000","23,295,000","-25,005,000","27,602,000","14,394,000","-21,500,000","-32,355,000","-4,568,000","-420,000","-37,817,000","-2,261,000","2,373,000","-1,097,000","1,355,000","719,000","732,000","-909,000","-2,577,000",,,
	GainOnSaleOfSecurity,"-15,408,000","-5,767,000","-7,428,000","-2,213,000","-5,960,000","-18,210,000","-2,571,000","3,583,000","7,723,000","-5,066,000","3,539,000","-2,682,000","1,792,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-89,344,000","-89,344,000",,,"0","-188,624,000",,,,,,,,,,,,,,,,,,,"0","-31,162,000",,,,,"-5,811,000","-48,711,000","4,866,000","-12,538,000","-34,764,000","-33,467,000","9,464,000","-37,703,000","-7,626,000","-20,933,000","-21,393,000","23,295,000","-25,005,000","27,602,000","14,394,000","-21,500,000","-32,355,000","-4,568,000","-420,000","-37,817,000","-2,261,000","2,373,000","-1,097,000","1,355,000","719,000","732,000","-909,000","-2,577,000",,,
		ImpairmentOfCapitalAssets,"89,344,000","89,344,000",,,"0","188,624,000",,,,,,,,,,,,,,,,,,,"0","31,162,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-4,279,000","-3,929,000","1,765,000","-2,115,000","-825,000","-496,000","40,000","-279,000","496,000","-973,000","-616,000","-190,000","-558,000","-91,504,000","15,658,000","32,025,000","39,362,000","-440,284,000","-37,600,000","24,657,000","2,083,000","-81,867,000","-36,157,000","4,107,000","67,000","-4,081,000","10,700,000","-10,616,000","-9,195,000","-2,721,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"293,439,000","177,130,000","45,567,000","70,742,000","98,032,000","-151,759,000","69,035,000","57,237,000","148,298,000","111,128,000","118,212,000","75,399,000","113,284,000","98,915,000","86,672,000","60,299,000","126,929,000","-401,973,000","10,413,000","71,231,000","128,047,000","35,409,000","71,648,000","132,008,000","173,707,000","123,110,000","153,807,000","82,354,000","128,476,000","96,845,000","122,951,000","35,796,000","110,751,000","116,454,000","74,705,000","51,063,000","103,789,000","121,235,000","73,092,000","22,039,000","43,657,000","78,129,000","46,307,000","58,277,000","77,256,000","26,499,000","32,088,000","33,938,000","43,603,000","40,583,000","50,670,000","34,746,000","52,927,000","44,987,000","40,212,000","24,621,000","36,305,000","18,987,000","31,172,000",,
TaxProvision,"46,437,000","34,105,000","-7,544,000","19,876,000","8,600,000","4,087,000","11,298,000","7,343,000","11,825,000","10,212,000","14,416,000","12,401,000","10,971,000","8,371,000","12,654,000","5,772,000","11,474,000","6,499,000","4,200,000","7,134,000","14,926,000","-516,000","5,667,000","13,836,000","22,350,000","9,189,000","27,798,000","7,912,000","14,646,000","10,222,000","11,033,000","3,790,000","14,822,000","12,071,000","4,374,000","9,800,000","9,341,000","-560,000","9,170,000","3,425,000","6,931,000","7,686,000","3,168,000","3,115,000","5,641,000","8,113,000","1,745,000","3,507,000","4,104,000","5,058,000","3,848,000","3,839,000","4,361,000","3,491,000","2,972,000","1,757,000","4,066,000","1,334,000","3,497,000",,
NetIncomeCommonStockholders,"247,002,000","143,024,000","53,112,000","50,866,000","89,431,000","-155,846,000","57,737,000","49,894,000","136,473,000","100,916,000","103,796,000","62,997,000","102,314,000","90,544,000","74,018,000","54,527,000","115,455,000","-408,472,000","6,213,000","64,097,000","113,121,000","35,925,000","65,980,000","118,172,000","151,357,000","113,921,000","126,009,000","74,442,000","113,830,000","86,623,000","111,918,000","32,006,000","95,929,000","104,383,000","70,331,000","41,263,000","94,448,000","121,795,000","63,922,000","18,614,000","36,726,000","70,443,000","43,139,000","55,162,000","71,615,000","18,386,000","30,343,000","30,431,000","39,499,000","35,525,000","46,822,000","30,907,000","48,566,000","41,496,000","37,240,000","22,864,000","32,239,000","17,653,000","27,675,000","15,111,000","22,560,000"
