name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016
TotalAssets,"14,582,248,000","12,984,886,000","12,690,423,000","11,893,833,000","11,417,278,000","10,362,360,000","9,417,172,000","7,795,292,000","4,235,757,000","3,264,133,000","2,370,403,000"
	CurrentAssets,"13,548,396,000","12,186,371,000","12,096,075,000","11,386,136,000","11,042,081,000","10,090,532,000","9,175,335,000","7,528,063,000","4,027,953,000","3,108,841,000","2,270,752,000"
		CashCashEquivalentsAndShortTermInvestments,"2,753,621,000","2,093,648,000","2,016,512,000","2,422,463,000","2,763,050,000","2,470,059,000","2,913,482,000","2,545,389,000","276,870,000","41,811,000","211,208,000"
			CashAndCashEquivalents,"1,403,955,000","314,082,000","254,767,000","832,897,000","2,763,050,000","2,470,059,000","2,913,482,000","2,545,389,000","66,767,000","41,811,000","79,969,000"
				CashEquivalents,"1,403,955,000","314,082,000","254,767,000",,"2,763,050,000","2,470,059,000","2,913,482,000","2,545,389,000","66,767,000","41,811,000","79,969,000"
			OtherShortTermInvestments,"1,349,666,000","1,779,566,000","1,761,745,000","1,589,566,000","0","0","0",,"210,103,000","0","131,239,000"
		Receivables,"10,732,839,000","10,033,638,000","10,001,069,000","8,913,230,000","8,190,480,000","7,547,887,000","6,207,498,000","4,921,072,000","3,689,474,000","3,000,724,000","2,038,521,000"
			AccountsReceivable,"10,477,179,000","9,873,987,000","9,859,199,000",,,,,,,,
			NotesReceivable,,,,"8,817,920,000","8,104,679,000","7,489,826,000","6,172,106,000","4,883,321,000","3,522,349,000","2,980,780,000","1,715,514,000"
			TaxesReceivable,"171,561,000","120,677,000","100,161,000","65,079,000","65,653,000","42,082,000","17,884,000","18,008,000","14,446,000","11,853,000","17,703,000"
			DuefromRelatedPartiesCurrent,,,,,"0","0","0","909,000","124,723,000","279,000","300,809,000"
			OtherReceivables,"84,099,000","38,974,000","41,709,000","30,231,000","20,148,000","15,979,000","17,508,000","18,834,000","27,956,000","7,812,000","4,495,000"
		Inventory,"61,936,000","59,085,000","78,494,000","50,443,000","88,551,000","72,586,000","54,355,000","61,602,000","61,609,000","66,306,000","21,023,000"
	TotalNonCurrentAssets,"1,033,852,000","798,515,000","594,348,000","507,697,000","375,197,000","271,828,000","241,837,000","267,229,000","207,804,000","155,292,000","99,651,000"
		NetPPE,"399,990,000","253,171,000","146,739,000","93,408,000","67,104,000","36,684,000","20,884,000","11,065,000","10,889,000","5,268,000","4,558,000"
			GrossPPE,"449,363,000","285,568,000","168,955,000",,"78,607,000","45,660,000","28,356,000","17,584,000","16,607,000","10,346,000","8,464,000"
				Properties,"0","0","0",,"0","0","0","0","0","0","0"
				BuildingsAndImprovements,,,,,"6,954,000",,,,,,
				MachineryFurnitureEquipment,"439,517,000","276,739,000","160,275,000",,"71,653,000","42,888,000","27,549,000","17,321,000","16,344,000","10,129,000","8,364,000"
				OtherProperties,"1,366,000",,,,,,,,,"38,000",
				Leases,"8,480,000","8,829,000","8,680,000",,,"2,772,000","807,000","263,000","263,000","179,000","100,000"
			AccumulatedDepreciation,"-49,373,000","-32,397,000","-22,216,000",,"-11,503,000","-8,976,000","-7,472,000","-6,519,000","-5,718,000","-5,078,000","-3,906,000"
		GoodwillAndOtherIntangibleAssets,"589,553,000","512,575,000","425,941,000","375,182,000","305,614,000","232,396,000","204,443,000","190,638,000","158,868,000","125,928,000","86,108,000"
			Goodwill,"54,858,000","59,100,000","54,845,000",,"40,574,000","21,399,000","21,399,000","21,399,000","23,686,000","9,067,000",
			OtherIntangibleAssets,"534,695,000","453,475,000","371,096,000",,"265,040,000","210,997,000","183,044,000","169,239,000","135,182,000","116,861,000","86,108,000"
		InvestmentsAndAdvances,"1,500,000","1,500,000","1,500,000","1,500,000",,,,,,,
		NonCurrentAccountsReceivable,"29,943,000","21,941,000","12,260,000",,,,,,,,
		NonCurrentNoteReceivables,,,,"33,892,000",,,,,,,
		NonCurrentDeferredAssets,,,,,"0","0","14,714,000","63,822,000","37,015,000","23,232,000","8,305,000"
			NonCurrentDeferredTaxesAssets,,,,,"0","0","14,714,000","63,822,000","37,015,000","23,232,000","8,305,000"
		NonCurrentPrepaidAssets,"7,215,000","4,948,000","5,001,000","1,257,000","968,000","1,305,000","451,000","506,000","160,000","69,000","146,000"
		OtherNonCurrentAssets,"5,651,000","4,380,000","2,907,000","2,458,000","1,511,000","1,443,000","1,345,000","1,198,000","872,000","795,000","534,000"
TotalLiabilitiesNetMinorityInterest,"6,567,300,000","5,379,972,000","5,472,911,000","5,008,210,000","4,842,902,000","4,080,830,000","3,448,103,000","3,318,570,000","3,365,366,000","2,585,702,000","1,743,541,000"
	CurrentLiabilities,"5,893,063,000","4,888,228,000","5,098,486,000","4,770,832,000","4,710,775,000","4,046,635,000","3,448,103,000","3,251,720,000","3,318,967,000","2,543,944,000","1,719,163,000"
		PayablesAndAccruedExpenses,"5,881,214,000","4,879,901,000","5,090,222,000","4,763,135,000","4,703,771,000","4,040,290,000","3,442,784,000","3,246,507,000","3,314,319,000","2,541,145,000","1,505,877,000"
			Payables,"5,840,243,000","4,831,245,000","5,049,198,000","4,692,539,000","4,678,682,000","3,966,793,000","3,420,172,000","3,228,220,000","3,280,050,000","2,524,151,000","1,496,775,000"
				AccountsPayable,"256,281,000","185,667,000","239,508,000","162,729,000","165,246,000","151,621,000","156,811,000","119,155,000","92,444,000","112,597,000","61,719,000"
				TotalTaxPayable,"131,327,000","158,870,000","147,434,000","104,114,000","103,909,000","59,720,000","109,849,000","57,862,000","52,064,000","40,081,000","6,911,000"
				DividendsPayable,"50,473,000","31,275,000","23,928,000",,"20,653,000",,"9,799,000","4,943,000","0","11,676,000","30,939,000"
				DuetoRelatedPartiesCurrent,"22,187,000","34,875,000","34,858,000","30,539,000","30,797,000","32,263,000","33,615,000","44,973,000","39,101,000","72,616,000","76,249,000"
				OtherPayable,"5,379,975,000","4,420,558,000","4,603,470,000","4,395,157,000","4,358,077,000","3,723,189,000","3,110,098,000","3,001,287,000","3,096,441,000","2,287,181,000","1,320,957,000"
			CurrentAccruedExpenses,"40,971,000","48,656,000","41,024,000","70,596,000","25,089,000","73,497,000","22,612,000","18,287,000","34,269,000","16,994,000","9,102,000"
		CurrentProvisions,"11,849,000","8,327,000","8,264,000","7,697,000","7,004,000","6,345,000","5,319,000","5,213,000","4,648,000","1,587,000","680,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,"1,212,000","789,000"
		CurrentDebtAndCapitalLeaseObligation,,,,,,,,,,,"205,204,000"
			CurrentDebt,,,,,,,,,,,"205,204,000"
				LineOfCredit,,,,,,,,,"0","0","205,204,000"
		OtherCurrentLiabilities,,,,,,,,,,,"6,613,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"674,237,000","491,744,000","374,425,000","237,378,000","132,127,000","34,195,000","0","66,850,000","46,399,000","41,758,000","24,378,000"
		NonCurrentDeferredLiabilities,"630,950,000","474,481,000","358,625,000","221,578,000","132,125,000","34,195,000","0","63,226,000","42,809,000","38,201,000","24,378,000"
			NonCurrentDeferredTaxesLiabilities,"630,950,000","474,481,000","358,625,000","221,578,000","132,125,000","34,195,000","0","63,226,000","42,809,000","38,201,000","24,378,000"
