name,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012
TotalRevenue,"28,531,000,000","29,135,000,000","30,852,000,000","28,871,000,000","50,123,000,000","52,107,000,000","55,123,000,000","57,371,000,000","61,042,000,000"
	OperatingRevenue,"28,531,000,000","29,135,000,000","30,852,000,000","28,871,000,000","50,123,000,000","52,107,000,000","55,123,000,000","57,371,000,000","61,042,000,000"
CostOfRevenue,"19,102,000,000","19,642,000,000","21,560,000,000","20,177,000,000","35,507,000,000","37,168,000,000","39,486,000,000","41,630,000,000","44,143,000,000"
GrossProfit,"9,429,000,000","9,493,000,000","9,292,000,000","8,694,000,000","14,616,000,000","14,939,000,000","15,637,000,000","15,741,000,000","16,899,000,000"
OperatingExpense,"6,993,000,000","6,668,000,000","8,257,000,000","6,873,000,000","10,557,000,000","11,215,000,000","11,820,000,000","11,785,000,000","12,439,000,000"
	SellingGeneralAndAdministration,"4,954,000,000","4,936,000,000","4,946,000,000","5,063,000,000","7,821,000,000","8,025,000,000","8,717,000,000","8,601,000,000","8,678,000,000"
		GeneralAndAdministrativeExpense,,"4,936,000,000","4,946,000,000","5,063,000,000",,,,,
			OtherGandA,,"4,936,000,000","4,946,000,000","5,063,000,000",,,,,
	ResearchAndDevelopment,"1,861,000,000","1,842,000,000","1,663,000,000","1,486,000,000","2,298,000,000","2,338,000,000","2,197,000,000","1,956,000,000","2,120,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"315,000,000","267,000,000","294,000,000","321,000,000","755,000,000","852,000,000","906,000,000","1,228,000,000","1,641,000,000"
		DepreciationAndAmortizationInIncomeStatement,"315,000,000","267,000,000","294,000,000","321,000,000","755,000,000","852,000,000","906,000,000","1,228,000,000","1,641,000,000"
			Amortization,"315,000,000","267,000,000","294,000,000","321,000,000","755,000,000","852,000,000","906,000,000","1,228,000,000","1,641,000,000"
				AmortizationOfIntangiblesIncomeStatement,"315,000,000","267,000,000","294,000,000","321,000,000","755,000,000","852,000,000","906,000,000","1,228,000,000","1,641,000,000"
	OtherTaxes,"-137,000,000","-377,000,000","1,354,000,000","3,000,000","-317,000,000",,,,
OperatingIncome,"2,436,000,000","2,825,000,000","1,035,000,000","1,821,000,000","4,059,000,000","3,724,000,000","3,817,000,000","3,956,000,000","4,460,000,000"
NetNonOperatingInterestIncomeExpense,"-145,000,000","-177,000,000","-274,000,000","-327,000,000","-312,000,000","-53,000,000","-91,000,000","-81,000,000","-175,000,000"
	TotalOtherFinanceCost,"145,000,000","177,000,000","274,000,000","327,000,000","312,000,000","53,000,000","91,000,000","81,000,000","175,000,000"
OtherIncomeExpense,"-1,015,000,000","-1,095,000,000","-493,000,000","-1,222,000,000","332,000,000","-2,201,000,000","-1,482,000,000","-1,004,000,000","-18,599,000,000"
	GainOnSaleOfSecurity,,"7,000,000","405,000,000","28,000,000",,,,,
	EarningsFromEquityInterest,"38,000,000","20,000,000","38,000,000","-23,000,000","-76,000,000",,,,
	SpecialIncomeCharges,"-1,174,000,000","-1,181,000,000","-936,000,000","-1,227,000,000","408,000,000","-2,201,000,000","-1,482,000,000","-1,004,000,000","-18,599,000,000"
		RestructuringAndMergernAcquisition,"1,134,000,000","1,141,000,000","848,000,000","1,198,000,000","2,012,000,000","1,840,000,000","1,482,000,000","1,004,000,000","1,791,000,000"
		ImpairmentOfCapitalAssets,,"47,000,000","88,000,000",,,,"0",,"16,808,000,000"
		WriteOff,,,,,"0","136,000,000",,"0",
		OtherSpecialCharges,,"-7,000,000",,"29,000,000",,"225,000,000",,,
		GainOnSaleOfBusiness,,,"0","0","2,420,000,000",,,,
	OtherNonOperatingIncomeExpenses,"80,000,000","59,000,000",,,,,,,
PretaxIncome,"1,276,000,000","1,553,000,000","268,000,000","272,000,000","4,079,000,000","1,470,000,000","2,244,000,000","2,871,000,000","-14,314,000,000"
TaxProvision,"71,000,000","504,000,000","-1,744,000,000","-164,000,000","918,000,000","-991,000,000","596,000,000","820,000,000","447,000,000"
NetIncomeCommonStockholders,"1,205,000,000","1,049,000,000","1,908,000,000","344,000,000","3,161,000,000","2,461,000,000","1,648,000,000","2,051,000,000","-14,761,000,000"
