name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"111,741,000","40,165,000","29,586,000","22,310,000","19,680,000","21,820,000","14,813,000","11,644,000","11,574,000","11,693,000","6,750,000","6,256,000","4,204,000","6,024,000","7,706,000","4,772,000","4,672,000","4,593,000"
	OperatingRevenue,"108,845,000","39,681,000","28,924,000","21,164,000","19,076,000","21,438,000","14,692,000","11,567,000","9,861,000","11,280,000","6,578,000","6,172,000","4,201,000","5,916,000","7,659,000","4,749,000","4,663,000","4,593,000"
CostOfRevenue,"43,154,000","15,946,000","12,244,000","8,333,000","6,631,000","5,333,000","5,403,000","4,203,000","3,774,000","3,609,000","3,536,000","2,917,000","2,293,000","2,642,000","2,427,000","2,331,000","2,188,000","2,157,000"
GrossProfit,"68,587,000","24,219,000","17,342,000","13,977,000","13,049,000","16,487,000","9,410,000","7,441,000","7,800,000","8,084,000","3,214,000","3,339,000","1,911,000","3,382,000","5,279,000","2,441,000","2,484,000","2,436,000"
OperatingExpense,"26,090,000","7,601,000","6,231,000","5,441,000","6,817,000","5,325,000","4,865,000","5,069,000","5,567,000","4,302,000","4,540,000","3,938,000","3,022,000","2,044,000","1,580,000","1,492,000","1,431,000","1,522,000"
	SellingGeneralAndAdministration,"13,854,000","4,003,000","3,326,000","2,581,000","3,945,000","2,440,000","2,223,000","2,423,000","3,292,000","2,032,000","2,273,000","1,672,000","1,149,000","336,000",,"0","651,000","732,000"
		GeneralAndAdministrativeExpense,"13,854,000","4,003,000","3,326,000","2,581,000","3,945,000","2,440,000","2,223,000","2,423,000","3,292,000","2,032,000","2,273,000","1,672,000","1,149,000","336,000",,,"651,000","732,000"
			SalariesAndWages,"1,630,000","146,000","133,000","133,000","1,219,000","99,000","95,000","13,000","765,000","0",,,,"246,000",,,,
			OtherGandA,"12,224,000","3,857,000","3,193,000","2,448,000","2,726,000","2,341,000","2,128,000","2,410,000","2,527,000","2,032,000","1,507,000","1,672,000","1,149,000","90,000",,,"651,000","732,000"
	DepreciationAmortizationDepletionIncomeStatement,"9,384,000","2,348,000","2,348,000","2,345,000","2,343,000","2,343,000","2,306,000","2,290,000","2,275,000","2,270,000","2,267,000","2,266,000","1,873,000","901,000","786,000","786,000","780,000","790,000"
		DepreciationAndAmortizationInIncomeStatement,"9,384,000","2,348,000","2,348,000","2,345,000","2,343,000","2,343,000","2,306,000","2,290,000","2,275,000","2,270,000","2,267,000","2,266,000","1,873,000","901,000","786,000","786,000","780,000","790,000"
	OtherOperatingExpenses,"2,852,000","1,250,000","557,000","515,000","529,000","542,000","336,000","356,000","366,000","411,000",,"304,000",,"807,000",,"706,000",,
OperatingIncome,"42,497,000","16,618,000","11,111,000","8,536,000","6,232,000","11,162,000","4,545,000","2,372,000","2,233,000","3,782,000","-1,326,000","-599,000","-1,111,000","1,338,000","3,699,000","949,000","1,053,000","914,000"
OtherIncomeExpense,"-2,510,000","778,000","57,000","-3,055,000","-290,000","-25,000","-183,000","-303,000","-471,000","-39,000","-18,000","-122,000","-493,000","508,000",,,,
	EarningsFromEquityInterest,"415,000","818,000","356,000","-759,000",,,,,,,,,,,,,,
	SpecialIncomeCharges,,,"0","-2,011,000",,,"0","0",,,,"0","0","508,000",,"0","0","0"
		OtherSpecialCharges,,,"0","2,011,000",,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,"0","0",,,,"0","0","508,000",,"0","0","0"
	OtherNonOperatingIncomeExpenses,"-914,000","-40,000","-299,000","-285,000","-290,000","-25,000","-183,000","-303,000","-471,000","-39,000","-18,000","-122,000","-493,000",,,,,
PretaxIncome,"39,987,000","17,396,000","11,168,000","5,481,000","5,942,000","11,137,000","4,362,000","2,069,000","1,762,000","3,743,000","-1,344,000","-721,000","-1,604,000","1,846,000","3,699,000","949,000","1,053,000","914,000"
NetIncomeCommonStockholders,"38,421,000","17,347,000","11,119,000","5,432,000","4,523,000","6,619,000","4,308,000","2,009,000","1,703,000","3,720,000","-1,344,000","-721,000","-1,604,000","1,846,000","-435,000","949,000","1,053,000","914,000"
	NetIncome,"38,421,000","17,347,000","11,119,000","5,432,000","4,523,000","6,619,000","4,308,000","2,009,000","1,703,000","3,720,000","-1,344,000","-721,000","-1,604,000","1,846,000","3,699,000","949,000","1,053,000","914,000"
		NetIncomeIncludingNoncontrollingInterests,"39,987,000","17,396,000","11,168,000","5,481,000","5,942,000","11,137,000","4,362,000","2,069,000","1,762,000","3,743,000","-1,344,000","-721,000","-1,604,000","1,846,000","3,699,000","949,000","1,053,000","914,000"
			NetIncomeContinuousOperations,"39,987,000","17,396,000","11,168,000","5,481,000","5,942,000","11,137,000","4,362,000","2,069,000","1,762,000","3,743,000","-1,344,000","-721,000","-1,604,000","1,846,000","3,699,000","949,000","1,053,000","914,000"
		MinorityInterests,"-1,566,000","-49,000","-49,000","-49,000","-1,419,000","-4,518,000","-54,000","-60,000","-59,000","-23,000",,,,,,,,
AverageDilutionEarnings,,,,,,"4,471,000",,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"33,950,000","17,347,000","11,119,000","5,432,000","4,523,000","11,090,000","4,308,000","2,009,000","1,703,000","3,720,000","-1,344,000","-721,000","-1,604,000","1,846,000","-435,000","949,000","1,053,000","914,000"
BasicEPS,,"0.36",,"0.15","0.18","0.36",,"0.11","0.09","0.2",,"-0.04","-0.25","0.101",,"0.052","0.058","0.05"
DilutedEPS,,"0.36",,"0.15","0.18","0.36",,"0.11","0.09","0.2",,"-0.04","-0.25","0.101",,"0.052","0.058","0.05"
BasicAverageShares,,"48,228,000",,"36,111,000","25,640,000","18,296,000",,"18,230,000","18,191,000","18,190,000",,"18,190,000","6,293,000","18,190,000",,"18,190,000","18,190,000","18,190,000"
DilutedAverageShares,,"48,228,000",,"36,111,000","25,640,000","30,657,000",,"18,230,000","18,191,000","18,190,000",,"18,190,000","6,293,000","18,190,000",,"18,190,000","18,190,000","18,190,000"
TotalOperatingIncomeAsReported,"41,583,000","16,578,000","10,812,000","8,251,000","5,942,000","11,137,000","4,362,000","2,069,000","1,762,000","3,743,000","-1,344,000","-721,000","-1,604,000","1,338,000",,"949,000","1,053,000","914,000"
