name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
BasicEPS,,"2.91","2.41","1.95","1.657","1.33","0.957","0.72","0.403","0.077","0.303","0.42","0.077","0.367","1.243","1.223","0.9","0.753","0.68","0.56","0.507","0.507","0.443","0.323","0.333","0.267","0.213","0.233"
DilutedEPS,,"2.91","2.4","1.94","1.653","1.33","0.953","0.717","0.403","0.077","0.297","0.417","0.077","0.363","1.207","1.177","0.863","0.727","0.657","0.543","0.497","0.493","0.427","0.31","0.333","0.267","0.213","0.233"
BasicAverageShares,,"61,735,395","61,658,921","61,288,205","61,073,843","60,597,744","60,157,840","59,836,111","59,340,496","58,227,000","57,696,000","57,768,000","57,222,000","57,168,000","56,460,000","55,122,000","54,096,000","53,283,000","53,766,000","59,322,000","60,258,000","61,911,000","59,751,000","52,584,000","53,169,000","52,875,000","50,156,250","44,571,429"
DilutedAverageShares,,"61,735,395","61,915,833","61,604,124","61,196,976","60,597,744","60,368,182","60,114,419","59,340,496","58,605,000","58,428,000","58,404,000","57,675,000","58,086,000","58,110,000","57,318,000","56,313,000","55,137,000","55,857,000","61,131,000","61,431,000","63,558,000","61,839,000","54,702,000","53,793,103","52,875,000","50,156,250","44,571,429"
TotalOperatingIncomeAsReported,"255,092,000","244,906,000","207,263,000","181,469,000","164,438,000","135,467,000","97,367,000","74,268,000","44,528,000","12,011,000","30,289,000","42,817,000","18,405,000","53,492,000","123,091,000","123,605,000","96,309,000","80,016,000","72,111,000","65,757,000","62,622,000","62,800,000","52,200,000","32,000,000","32,500,000","26,300,000","22,600,000","20,200,000"
TotalExpenses,"4,177,528,000","4,169,538,000","4,288,521,000","3,760,576,000","3,076,055,000","2,751,432,000","2,566,362,000","2,395,812,000","2,017,071,000","1,803,972,000","1,858,513,000","1,630,183,000","2,213,989,000","2,459,686,000","2,541,481,000","2,567,917,000","2,356,972,000","1,818,814,000","1,567,788,000","1,464,596,000","1,326,821,000","1,372,300,000","1,186,700,000","1,034,300,000","835,200,000","713,000,000","843,400,000","624,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"184,269,000","179,650,000","148,598,000","119,512,000","101,179,000","80,595,000","57,551,000","43,082,000","23,934,000","4,549,000","17,411,000","24,272,000","4,343,000","21,045,000","70,125,000","67,373,000","48,603,000","40,119,000","36,637,000","33,142,000","30,438,000","31,400,000","26,400,000","17,000,000","17,800,000","14,100,000","10,700,000","10,400,000"
NormalizedIncome,"185,781,508.982","178,923,836","144,966,680","118,903,805.326","101,179,000","80,706,800","55,364,800","43,321,936","19,707,756","8,837,723.912","18,914,428.46","24,272,000","4,343,000","21,045,000","69,697,058.233","66,592,520.456","46,926,950.753","40,119,000","35,972,101.744","32,987,453.767","30,418,997.704","31,033,463.035","26,154,418.605","18,111,538.462","17,620,000","13,500,000","9,740,000","9,580,000"
InterestIncome,"2,041,000","1,945,000","1,371,000","731,000","541,000","294,000","2,235,000","640,000","510,000","566,000","301,000","391,000","829,000",,,,,,,,,,,,,,,
InterestExpense,"8,148,000","8,700,000","8,893,000","6,218,000","4,575,000","5,133,000","4,267,000","4,851,000","4,053,000","3,732,000","3,549,000","4,611,000","12,088,000",,,,,,,,,,,,,,,
NetInterestIncome,"-6,107,000","-6,755,000","-7,522,000","-5,487,000","-4,034,000","-4,839,000","-2,032,000","-4,211,000","-3,543,000","-3,166,000","-3,248,000","-4,220,000","-11,259,000",,,,,,,,,,,,,,,
EBIT,"255,135,000","249,374,000","206,746,000","182,225,000","165,246,000","136,135,000","99,980,000","75,109,000","45,117,000","12,577,000","30,590,000","43,208,000","19,234,000","53,492,000","123,091,000","123,605,000","96,309,000","80,016,000","72,111,000","65,757,000","62,622,000","62,800,000","52,200,000","32,000,000","32,500,000","26,300,000","22,600,000","20,200,000"
EBITDA,"322,915,000"
ReconciledCostOfRevenue,"3,734,459,000","3,730,491,000","3,896,286,000","3,398,356,000","2,765,903,000","2,487,167,000","2,334,987,000","2,189,896,000","1,829,824,000","1,622,609,000","1,660,896,000","1,430,249,000","1,978,193,000","2,204,149,000","2,282,890,000","2,332,266,000","2,157,028,000","1,640,844,000","1,409,489,000","1,318,874,000","1,180,968,000","1,234,400,000","1,074,600,000","960,800,000","771,700,000","657,900,000","770,900,000","565,200,000"
ReconciledDepreciation,"67,780,000","66,819,000","61,342,000","53,396,000","43,618,000","41,241,000","36,323,000","33,564,000","33,379,000","35,987,000","37,348,000","41,225,000","47,367,000","47,581,000","39,522,000","34,796,000","30,836,000","27,547,000","24,639,000","24,476,000","21,462,000","18,200,000","15,000,000","10,000,000","8,300,000","7,600,000","5,700,000","4,700,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"184,269,000","179,650,000","148,598,000","119,512,000","101,179,000","80,595,000","57,551,000","43,082,000","23,934,000","4,549,000","17,411,000","24,272,000","4,343,000","21,045,000","70,125,000","67,373,000","48,603,000","40,119,000","36,637,000","33,142,000","30,438,000","31,400,000","26,400,000","17,000,000","17,800,000","14,100,000","10,700,000","10,000,000"
TotalUnusualItemsExcludingGoodwill,"-1,998,000","958,000","4,716,000","863,000","0","-172,000","3,400,000","-368,000","6,666,000","-6,353,000","-2,049,000",,,,"654,000","1,240,000","2,761,000",,"1,082,000","246,000","31,000","600,000","400,000","-1,700,000","300,000","1,000,000","1,600,000","700,000"
TotalUnusualItems,"-1,998,000","958,000","4,716,000","863,000","0","-172,000","3,400,000","-368,000","6,666,000","-6,353,000","-2,049,000",,,,"654,000","1,240,000","2,761,000",,"1,082,000","246,000","31,000","600,000","400,000","-1,700,000","300,000","1,000,000","1,600,000","700,000"
NormalizedEBITDA,"324,913,000","315,235,000","263,372,000","234,758,000","208,864,000","177,548,000","132,903,000","109,041,000","71,830,000","54,917,000","69,987,000","84,433,000","66,601,000","101,073,000","161,959,000","157,161,000","124,384,000","107,563,000","95,668,000","89,987,000","84,053,000","80,400,000","66,800,000","43,700,000","40,500,000","32,900,000","26,700,000","24,200,000"
TaxRateForCalcs,"0.243","0.242","0.23","0.295","0.343","0.35","0.357","0.348","0.366","0.325","0.266","0.359","0.236","0.399","0.346","0.371","0.393","0.377","0.385","0.372","0.387","0.389","0.386","0.346","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-485,491.018","231,836","1,084,680","254,805.326","0","-60,200","1,213,800","-128,064","2,439,756","-2,064,276.088","-545,571.54","0","0","0","226,058.233","459,520.456","1,084,950.753","0","417,101.744","91,453.767","11,997.704","233,463.035","154,418.605","-588,461.538","120,000","400,000","640,000","280,000"
