name,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014
TotalAssets,"2,564,981,000","510,016,000","369,159,000","279,136,000","219,795,000","158,769,000","55,090,000"
	CurrentAssets,"297,300,000","394,677,000","265,396,000","200,819,000","143,048,000","124,719,000","23,756,000"
		CashCashEquivalentsAndShortTermInvestments,"191,726,000","361,475,000","240,269,000","180,359,000","123,775,000","111,005,000","13,917,000"
			CashAndCashEquivalents,"191,726,000","361,475,000","199,472,000","139,954,000","83,641,000","111,005,000","13,917,000"
			OtherShortTermInvestments,,"0","40,797,000","40,405,000","40,134,000",,
		Receivables,"70,863,000","25,668,000","21,602,000","17,001,000","14,308,000","9,054,000","5,705,000"
			AccountsReceivable,"70,863,000","25,668,000","21,602,000","17,001,000","14,308,000","9,054,000","5,705,000"
				GrossAccountsReceivable,"72,079,000","25,793,000","21,810,000","17,076,000","14,348,000","9,094,000","5,745,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,216,000","-125,000","-208,000","-75,000","-40,000","-40,000","-40,000"
		Inventory,,"0","215,000","592,000","620,000","625,000","391,000"
		PrepaidAssets,,,,,,"2,271,000","663,000"
		CurrentDeferredAssets,,,,"0","2,642,000","1,764,000","3,080,000"
			CurrentDeferredTaxesAssets,,,,"0","2,642,000","1,764,000","3,080,000"
		OtherCurrentAssets,"34,711,000","7,534,000","3,310,000","2,867,000","1,703,000",,
	TotalNonCurrentAssets,"2,267,681,000","115,339,000","103,763,000","78,317,000","76,747,000","34,050,000","31,334,000"
		NetPPE,"116,664,000","8,223,000","7,836,000","5,170,000","3,506,000","2,577,000","1,992,000"
			GrossPPE,"132,421,000","17,301,000","15,251,000","11,183,000","8,117,000","5,836,000","4,498,000"
				Properties,"0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"30,003,000","13,718,000","12,959,000","10,323,000","7,417,000","5,330,000","4,169,000"
				OtherProperties,"83,178,000",,,,,,
				Leases,"19,240,000","3,583,000","2,292,000","860,000","700,000","506,000","329,000"
			AccumulatedDepreciation,"-15,757,000","-9,078,000","-7,415,000","-6,013,000","-4,611,000","-3,259,000","-2,506,000"
		GoodwillAndOtherIntangibleAssets,"2,115,910,000","84,317,000","88,286,000","69,671,000","71,491,000","31,192,000","29,342,000"
			Goodwill,"1,332,631,000","4,651,000","4,651,000","4,651,000","4,651,000","4,651,000","4,651,000"
			OtherIntangibleAssets,"783,279,000","79,666,000","83,635,000","65,020,000","66,840,000","26,541,000","24,691,000"
		InvestmentsAndAdvances,,,,,,"281,000","0"
			LongTermEquityInvestment,,,,,,"281,000","0"
		NonCurrentDeferredAssets,"18,000","1,677,000","5,461,000","1,615,000",,,
			NonCurrentDeferredTaxesAssets,"18,000","1,677,000","5,461,000","1,615,000",,,
		OtherNonCurrentAssets,"35,089,000","21,122,000","2,180,000","1,861,000","1,750,000",,
TotalLiabilitiesNetMinorityInterest,"1,534,686,000","32,937,000","22,885,000","17,196,000","16,338,000","14,674,000","21,082,000"
	CurrentLiabilities,"151,937,000","29,053,000","20,490,000","15,703,000","12,106,000","8,831,000","9,429,000"
		PayablesAndAccruedExpenses,"50,352,000","12,072,000","7,941,000","6,981,000","4,330,000","3,530,000","5,295,000"
			Payables,"3,980,000","3,520,000","2,420,000","3,221,000","2,431,000","1,303,000","2,368,000"
				AccountsPayable,"3,980,000","3,520,000","2,420,000","3,221,000","2,431,000","1,303,000","2,368,000"
			CurrentAccruedExpenses,"46,372,000","8,552,000","5,521,000","3,760,000","1,899,000","2,227,000","2,927,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"50,121,000","16,981,000","12,549,000","8,722,000","7,776,000","5,301,000","4,134,000"
		CurrentDebtAndCapitalLeaseObligation,"51,464,000",,,,,,
			CurrentDebt,"39,063,000",,,,,,
				OtherCurrentBorrowings,"39,063,000",,,,,,
			CurrentCapitalLeaseObligation,"12,401,000",,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,382,749,000","3,884,000","2,395,000","1,493,000","4,232,000","5,843,000","11,653,000"
		LongTermDebtAndCapitalLeaseObligation,"1,249,632,000",,,,,,
			LongTermDebt,"1,181,615,000",,,,,,
			LongTermCapitalLeaseObligation,"68,017,000",,,,,,
		NonCurrentDeferredLiabilities,"130,492,000","916,000","2,395,000","37,000","4,232,000","5,843,000","5,471,000"
			NonCurrentDeferredTaxesLiabilities,"130,492,000","916,000",,"37,000","3,996,000","5,355,000","5,078,000"
		DerivativeProductLiabilities,,,,,,"0","6,182,000"
		PreferredSecuritiesOutsideStockEquity,,,,,,"0","46,714,000"
		OtherNonCurrentLiabilities,"2,625,000","2,968,000","2,395,000","1,456,000",,,
TotalEquityGrossMinorityInterest,"1,030,295,000","477,079,000","346,274,000","261,940,000","203,457,000","144,095,000","34,008,000"
	StockholdersEquity,"1,030,295,000","477,079,000","346,274,000","261,940,000","203,457,000","144,095,000","34,008,000"
		CapitalStock,"7,000","6,000","6,000","6,000","6,000","5,000","54,844,000"
			PreferredStock,"0","0","0","0",,"0","54,843,000"
			CommonStock,"7,000","6,000","6,000","6,000","6,000","5,000","1,000"
		AdditionalPaidInCapital,"818,774,000","305,223,000","261,237,000","232,114,000","199,940,000","157,094,000","0"
		RetainedEarnings,"211,514,000","171,850,000","85,300,000","29,985,000","3,609,000","-13,004,000","-23,170,000"
