name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012
TotalRevenue,"863,532,000,000","211,260,000,000","217,389,000,000","211,670,000,000","223,212,000,000","236,690,000,000","224,320,000,000","222,060,000,000","260,790,000,000","243,610,000,000","215,900,000,000","193,420,000,000","196,049,200,000","202,959,800,000","167,790,000,000","143,640,100,000","158,472,400,000","148,009,700,000","173,173,100,000","169,518,800,000","177,260,500,000","191,282,100,000","194,481,400,000","170,555,000,000","212,037,500,000","194,143,400,000","251,661,600,000","3,606,600,000","3,134,500,000","2,275,400,000","2,884,900,000","17,249,400,000"
	OperatingRevenue,"863,532,000,000","211,260,000,000","217,389,000,000","211,670,000,000","223,212,000,000","236,690,000,000","224,320,000,000","222,060,000,000","271,360,000,000","243,610,000,000","215,900,000,000","193,420,000,000","232,948,200,000","202,959,800,000","158,610,000,000","143,640,100,000","195,780,400,000","148,009,700,000","173,173,100,000","169,518,800,000","213,164,500,000","191,282,100,000","194,481,400,000","170,555,000,000","244,709,300,000","194,143,400,000","251,661,600,000","3,860,900,000","3,434,100,000","2,518,100,000","3,213,100,000","19,330,800,000"
	ExciseTaxes,,,,,"0","0",,"0","0","0","0",,,,"9,180,000,000",,,,,,,,,,,,,"249,700,000","-1,645,600,000","242,700,000","328,200,000","2,081,400,000"
CostOfRevenue,"695,332,000,000","86,700,000,000","266,441,000,000","99,180,000,000","395,892,000,000","118,350,000,000","114,310,000,000","99,280,000,000","324,188,000,000","123,200,000,000","111,590,000,000","96,920,000,000","282,906,700,000","91,536,900,000","79,640,000,000","71,801,800,000","636,103,200,000","73,739,400,000","90,877,600,000","83,985,400,000","750,957,600,000","84,674,500,000","87,568,100,000","73,264,700,000","106,600,400,000","86,988,400,000","119,583,800,000","2,843,300,000","-5,959,400,000","1,920,500,000","1,586,200,000","9,001,300,000"
GrossProfit,"168,200,000,000","124,560,000,000","-49,052,000,000","112,490,000,000","-172,680,000,000","118,340,000,000","110,010,000,000","122,780,000,000","-63,398,000,000","120,410,000,000","104,310,000,000","96,500,000,000","-86,857,500,000","111,422,900,000","88,150,000,000","71,838,300,000","-477,630,800,000","74,270,300,000","82,295,500,000","85,533,400,000","-573,697,100,000","106,607,600,000","106,913,300,000","97,290,300,000","105,437,100,000","107,155,000,000","132,077,800,000","763,300,000","9,093,900,000","354,900,000","1,298,700,000","8,248,100,000"
OperatingExpense,"42,804,000,000","21,380,000,000","-1,276,000,000","23,120,000,000","-22,026,000,000","15,530,000,000","18,700,000,000","21,030,000,000","-1,869,000,000","15,770,000,000","12,410,000,000","9,120,000,000","-28,995,800,000","20,420,300,000","7,320,000,000","19,974,500,000","-36,169,700,000","23,437,300,000","19,331,400,000","23,613,300,000","-45,430,200,000","29,149,600,000","26,756,000,000","25,851,700,000","145,622,700,000","26,924,100,000","38,627,900,000","1,341,700,000","11,093,200,000","1,607,900,000","1,432,500,000","1,711,200,000"
	SellingGeneralAndAdministration,"50,732,000,000","7,280,000,000","18,685,000,000","7,440,000,000","28,882,000,000","7,440,000,000","7,860,000,000","7,250,000,000","21,304,000,000","6,010,000,000","6,530,000,000","5,810,000,000","18,179,400,000","6,188,300,000","5,500,000,000","5,784,800,000","16,573,900,000","6,489,500,000","6,176,300,000","7,088,300,000","20,597,300,000","6,777,100,000","7,735,600,000","6,518,000,000","42,294,000,000","7,969,300,000","12,028,700,000","905,200,000","1,528,300,000","1,498,000,000","1,298,600,000","692,900,000"
		GeneralAndAdministrativeExpense,"33,663,000,000","7,280,000,000","9,536,000,000","7,440,000,000","11,813,000,000","7,440,000,000","7,860,000,000","7,250,000,000","5,751,000,000","6,010,000,000","6,530,000,000","5,810,000,000","1,818,400,000","6,188,300,000","5,500,000,000","5,784,800,000","4,503,900,000","6,489,500,000","6,176,300,000","7,088,300,000","10,519,300,000","6,777,100,000","7,735,600,000","6,518,000,000","34,280,900,000","7,969,300,000","12,028,700,000","809,400,000","-1,143,200,000","1,498,000,000","1,298,600,000","692,900,000"
			SalariesAndWages,,"7,280,000,000",,"7,440,000,000","7,680,000,000","7,440,000,000","7,860,000,000","7,250,000,000","6,610,000,000","6,010,000,000","6,530,000,000","5,810,000,000","5,912,800,000","6,188,300,000","5,500,000,000","5,784,800,000","5,314,000,000","6,489,500,000","6,176,300,000","7,088,300,000","8,120,500,000","6,777,100,000","7,735,600,000","6,518,000,000","6,522,100,000","7,969,300,000","12,028,700,000","525,800,000","602,400,000","560,400,000","643,000,000","692,900,000"
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,"283,600,000","-1,984,400,000","937,600,000","655,600,000",
