name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
		RetainedEarnings,"22,064,000,000","20,489,000,000","16,306,000,000","12,608,000,000","12,348,000,000","9,309,000,000","5,622,000,000","2,713,000,000",,,
		AdditionalPaidInCapital,"20,301,000,000","19,873,000,000","19,768,000,000","19,559,000,000","19,145,000,000","19,040,000,000","18,887,000,000","18,726,000,000",,,
		TreasuryStock,"16,673,000,000","15,023,000,000","10,378,000,000","8,788,000,000","7,746,000,000","6,234,000,000","2,602,000,000","356,000,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-788,000,000","-692,000,000","-617,000,000","-995,000,000","-653,000,000","-531,000,000","37,000,000","-314,000,000","122,000,000","214,000,000","329,000,000"
		OtherEquityInterest,,,,,,,,,"23,142,000,000","25,787,000,000","26,588,000,000"
	MinorityInterest,"2,259,000,000","2,500,000,000","2,343,000,000","1,335,000,000","838,000,000","447,000,000","442,000,000","31,000,000","29,000,000","25,000,000","23,000,000"
TotalCapitalization,"36,126,000,000","35,746,000,000","35,154,000,000","31,978,000,000","31,943,000,000","29,432,000,000","28,081,000,000","27,736,000,000","23,625,000,000","26,389,000,000","27,320,000,000"
CommonStockEquity,"24,910,000,000","24,653,000,000","25,085,000,000","22,390,000,000","23,100,000,000","21,590,000,000","21,950,000,000","20,775,000,000","23,264,000,000","26,001,000,000","26,917,000,000"
NetTangibleAssets,"20,771,000,000","20,514,000,000","20,939,000,000","18,232,000,000","18,919,000,000","17,416,000,000","18,156,000,000","16,707,000,000","19,200,000,000","21,591,000,000","22,491,000,000"
WorkingCapital,"2,749,000,000","4,274,000,000","4,283,000,000","3,217,000,000","4,725,000,000","5,602,000,000","6,306,000,000","5,480,000,000","1,564,000,000","2,201,000,000","2,033,000,000"
InvestedCapital,"36,673,000,000","35,813,000,000","35,195,000,000","32,528,000,000","31,987,000,000","30,274,000,000","28,105,000,000","27,749,000,000","23,655,000,000","26,418,000,000","27,345,000,000"
TangibleBookValue,"20,771,000,000","20,514,000,000","20,939,000,000","18,232,000,000","18,919,000,000","17,416,000,000","18,156,000,000","16,707,000,000","19,200,000,000","21,591,000,000","22,491,000,000"
TotalDebt,"11,763,000,000","11,160,000,000","10,110,000,000","10,138,000,000","8,887,000,000","8,684,000,000","6,155,000,000","6,974,000,000","391,000,000","417,000,000","428,000,000"
NetDebt,"10,149,000,000","8,141,000,000","6,991,000,000","7,427,000,000","5,813,000,000","3,477,000,000","755,000,000","3,500,000,000","391,000,000","417,000,000","428,000,000"
ShareIssued,"647,416,633","645,691,761","643,835,464","641,593,854","639,336,287","637,031,760","634,285,955","631,149,613","640,000,000","640,000,000","640,000,000"
OrdinarySharesNumber,"441,025,827","456,165,430","502,270,319","518,766,590","529,410,380","546,381,776","590,179,575","623,545,717","640,000,000","640,000,000","640,000,000"
TreasurySharesNumber,"206,390,806","189,526,331","141,565,145","122,827,264","109,925,907","90,649,984","44,106,380","7,603,896",,,
