name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
		GainOnSaleOfPPE,,,,,,,,,,"-400,000","0",,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-78,000,000","-84,000,000","27,200,000","1,300,000","-3,100,000","-60,300,000","4,000,000","9,200,000","-15,200,000",,,,,,,,,,,,,,,
PretaxIncome,"205,800,000","183,500,000","244,900,000","210,900,000","166,000,000","309,600,000","334,300,000","360,600,000","57,800,000","383,500,000","239,900,000","92,700,000","141,200,000","92,600,000","60,800,000","140,600,000","-395,100,000","-67,500,000","92,100,000","142,300,000","-19,700,000","203,400,000","-214,700,000","143,400,000"
TaxProvision,"61,600,000","56,800,000","78,100,000","200,500,000","59,000,000","164,700,000","57,000,000","102,900,000","-37,300,000","114,700,000","32,500,000","11,500,000","4,300,000","-5,800,000","8,100,000","21,300,000","-1,500,000","-12,300,000","38,000,000","63,700,000","70,000,000","73,200,000","-69,000,000","55,200,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,"1,700,000","-15,400,000",,,,,,,,,,,
NetIncomeCommonStockholders,"143,600,000","126,300,000","167,600,000","11,200,000","94,100,000","144,200,000","276,300,000","256,100,000","94,100,000","269,400,000","207,100,000","71,200,000","121,500,000","80,300,000","18,300,000","67,300,000","-402,300,000","-55,200,000","22,100,000","78,600,000","-89,700,000","135,900,000","-183,600,000","261,000,000"
	NetIncome,"143,600,000","126,300,000","167,600,000","11,200,000","94,100,000","144,200,000","276,300,000","256,100,000","94,100,000","269,400,000","207,100,000","71,200,000","121,500,000","80,300,000","18,300,000","67,300,000","-402,300,000","-55,200,000","22,100,000","78,600,000","-89,700,000","135,900,000","-183,600,000","261,000,000"
		NetIncomeIncludingNoncontrollingInterests,"144,200,000","126,700,000","166,800,000","10,400,000","94,100,000","144,900,000","277,300,000","257,700,000","95,100,000","268,800,000","207,400,000","81,200,000","121,500,000","98,400,000","52,700,000","88,400,000","-393,600,000","-56,400,000","24,000,000","78,600,000","-89,700,000","135,900,000","-183,600,000","261,000,000"
			NetIncomeContinuousOperations,"144,200,000","126,700,000","166,800,000","10,400,000","107,000,000","144,900,000","277,300,000","257,700,000","95,100,000","268,800,000","207,400,000","81,200,000","121,500,000","80,300,000","18,300,000","67,300,000","-402,300,000","-55,200,000","22,100,000","78,600,000","-89,700,000","130,200,000","-145,700,000","88,200,000"
			NetIncomeDiscontinuousOperations,,,"0","0","-12,900,000",,,,,,,,,,,,,,,,,"5,700,000","-2,600,000","172,800,000"
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,"-35,300,000",
		MinorityInterests,"-200,000","-400,000","800,000","800,000","0","-700,000","-1,000,000","-1,600,000","-1,000,000","600,000","-300,000","-10,000,000",,"-18,100,000","-34,400,000","-21,100,000","-8,700,000","1,200,000","-1,900,000",,,,,
DilutedNIAvailtoComStockholders,"143,600,000","126,300,000","167,600,000","11,200,000","94,100,000","144,200,000","276,300,000","256,100,000","94,100,000","269,400,000","207,100,000","71,200,000","121,500,000","80,300,000","18,300,000","67,300,000","-402,300,000","-55,200,000","22,100,000","78,600,000","-89,700,000","135,900,000","-183,600,000","261,000,000"
BasicEPS,,"1.89","2.49","0.16","1.28","2","3.67","3.35","1.26","3.66","2.85","0.99","1.69","1.15","0.27","1.01","-6.11","-0.84","0.34","1.2","-1.34","1.92","-2.46","3.53"
DilutedEPS,,"1.89","2.49","0.16","1.27","1.99","3.63","3.3","1.23","3.57","2.78","0.98","1.68","1.12","0.27","1","-6.11","-0.84","0.34","1.2","-1.34","1.84","-2.46","3.45"
BasicAverageShares,,"66,800,000","67,200,000","68,100,000","70,100,000","72,000,000","75,300,000","76,400,000","74,900,000","73,600,000","72,700,000","72,200,000","72,000,000","70,100,000","67,900,000","66,800,000","65,800,000","65,500,000","65,400,000","65,300,000","66,800,000","70,700,000","74,634,146","73,937,677"
