name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
NormalizedIncome,"45,800,000","-49,664,670.659","221,110,294.118","-93,880,000","980,000","5,970,000","-55,690,000","82,788,732.394","6,840,000","49,000,000","23,600,000","8,800,000","-27,000,000","11,200,000","-119,400,000","17,000,000","21,800,000","18,800,000","-180,980,000","39,580,000","-43,200,000","-8,800,000","48,000,000","165,000,000","61,364,516.129","146,069,098.712","86,850,000","37,130,000","79,908,000","114,130,000","80,500,000","113,340,782.123","212,212,000","94,606,000","231,283,000","287,923,000","175,172,000","190,672,000","154,219,000","1,202,718,000","131,005,000","154,224,934.164","144,595,000","146,240,000","121,742,559.355","144,870,219.964","-137,575,000","161,295,000","131,938,000","158,105,000","112,746,000","137,864,000","89,030,000","89,001,000","124,372,000","58,060,226.889","33,854,000","33,388,000","15,221,000","4,107,800","4,672,000","-11,263,000","25,923,000","12,802,000","21,235,000","14,730,000","-10,233,000","-13,205,000","176,035,000","26,226,000","-165,463,000","-72,358,000","-14,038,000","-26,340,000","212,988,000","-145,821,000","-6,938,000","-198,282,000","-38,662,000","463,247,000","-68,750,000","-447,000","101,011,000","-47,000,000","-44,800,000","-33,900,000","125,200,000","-27,100,000","-16,300,000","-27,700,000","-35,900,000","-29,900,000","-24,100,000","-21,100,000","-26,200,000","27,900,000","-12,000,000","-7,800,000","-11,900,000","-7,900,000","-4,200,000","-5,900,000","8,000,000","8,100,000","-3,300,000","23,600,000","8,200,000","8,200,000","8,200,000","8,200,000"
InterestIncome,"22,000,000","6,000,000","5,000,000","7,000,000","4,000,000","4,000,000","8,000,000","5,000,000","5,000,000","3,000,000","5,000,000","2,000,000","4,000,000","5,000,000","7,000,000","8,000,000","3,000,000","4,000,000","5,500,000","4,300,000","8,000,000","4,000,000",,,"7,000,000","1,000,000","6,000,000","4,000,000","10,000,000","3,000,000","6,000,000","2,000,000","2,547,000","3,621,000",,"4,764,000","2,800,000","4,422,000","6,220,000","3,404,000","2,816,000","2,308,000","3,531,000","1,684,000","3,400,000","3,221,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"518,000,000","136,000,000","139,000,000","124,000,000","120,000,000","114,000,000","91,000,000","82,000,000","77,000,000","85,000,000","75,000,000","114,000,000","108,000,000","99,000,000","114,000,000","98,000,000","98,000,000","85,000,000","108,400,000","111,500,000","97,000,000","125,000,000","133,000,000","101,000,000","96,000,000","104,000,000","73,000,000","71,000,000","66,000,000","66,000,000","63,000,000","56,000,000","54,979,000","46,536,000",,"47,784,000","41,980,000","49,059,000","63,029,000","61,802,000","46,825,000","43,154,000","45,753,000","42,929,000","44,732,000","43,247,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-548,000,000","-141,000,000","-151,000,000","-129,000,000","-128,000,000","-136,000,000","-92,000,000","-93,000,000","-83,000,000","-82,000,000","-82,000,000","-112,000,000","-104,000,000","-94,000,000","-107,000,000","-90,000,000","-95,000,000","-81,000,000","-102,900,000","-107,200,000","-89,000,000","-121,000,000","-111,000,000","-101,000,000","-89,000,000","-103,000,000","-67,000,000","-67,000,000","-56,000,000","-63,000,000","-57,000,000","-54,000,000","-52,432,000","-42,915,000","-45,110,000","-43,020,000","-39,180,000","-44,637,000","-56,809,000","-58,398,000","-44,009,000","-40,846,000","-42,222,000","-41,245,000","-41,332,000","-40,026,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"528,000,000","-31,000,000","411,000,000","30,000,000","117,000,000","158,000,000","29,000,000","153,000,000","109,000,000","172,000,000","143,000,000","158,000,000","89,000,000","160,000,000","-16,000,000","150,000,000","180,000,000","152,000,000","-156,300,000","174,200,000","125,000,000","146,000,000","284,000,000","347,000,000","406,000,000","2,434,000,000","114,000,000","90,000,000","182,000,000","277,000,000","287,000,000","235,000,000","349,180,000","246,697,000","340,406,000","294,695,000","291,447,000","330,473,000","288,711,000","1,326,944,000","224,026,000","245,292,000","226,652,000","227,466,000","205,106,000","216,034,000","246,545,000","207,775,000","203,506,000","207,278,000","153,907,000","194,088,000","159,997,000","154,934,000","121,201,000","112,556,000","99,437,000","87,168,000","168,071,000","58,201,000","58,562,000","38,904,000","58,891,000","68,857,000","85,535,000","62,067,000","40,531,000","44,767,000","40,320,000","34,684,000","-58,182,000","22,309,000","22,142,000","22,459,000","-30,798,000","28,610,000","25,057,000","29,186,000","46,947,000","-94,147,000","10,238,000","126,499,000","-395,729,000","149,000,000","131,400,000","118,900,000","-270,000,000","108,600,000","108,300,000","100,800,000","-203,800,000","95,400,000","84,800,000","70,200,000","-113,600,000","55,400,000","48,100,000","43,500,000","-91,000,000","34,000,000","29,100,000","26,400,000","-58,500,000","23,500,000","18,400,000","16,000,000","-36,700,000","15,300,000","15,300,000","15,300,000"
EBITDA,"1,670,000,000"
ReconciledCostOfRevenue,"1,210,000,000","305,000,000","310,000,000","302,000,000","293,000,000","301,000,000","281,000,000","288,000,000","328,000,000","307,000,000","325,000,000","298,000,000","311,000,000","298,000,000","330,000,000","320,000,000","320,000,000","306,000,000","490,400,000","435,000,000","717,000,000","710,000,000","1,367,000,000","449,000,000","537,000,000","518,000,000","578,000,000","509,000,000","486,000,000","468,000,000","909,000,000","281,000,000","433,325,000","421,271,000","405,557,000","398,973,000","391,578,000","364,769,000","355,649,000","339,906,000","318,144,000","188,867,000","336,933,000","304,923,000","169,600,000","193,341,000","328,181,000","329,130,000","310,031,000","202,571,000","491,597,000","173,440,000","235,838,000","150,678,000","311,998,000","109,773,000","136,845,000","125,554,000","135,975,000","76,982,000","116,098,000","73,359,000","209,629,000","65,216,000","155,594,000","56,074,000","150,431,000","36,900,000","34,125,000","36,546,000","40,809,000","40,410,000","43,280,000","40,208,000","34,695,000","50,704,000","51,182,000","48,672,000","43,369,000","40,885,000","39,134,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReconciledDepreciation,"1,142,000,000","296,000,000","303,000,000","270,000,000","276,000,000","262,000,000","211,000,000","203,000,000","209,000,000","207,000,000","213,000,000","222,000,000","223,000,000","221,000,000","241,000,000","235,000,000","239,000,000","217,000,000","320,800,000","323,200,000","337,000,000","340,000,000",,"309,000,000","253,000,000","250,000,000","236,000,000",,"215,000,000","209,000,000",,"206,000,000","199,275,000","196,011,000","185,102,000","186,921,000","189,226,000","177,731,000","167,213,000","183,700,000",,"166,002,000","178,220,000",,"144,256,000","146,694,000","145,712,000","135,692,000",,"110,514,000",,"86,820,000",,"78,162,000",,"63,968,000",,,"51,334,000","50,970,000",,"57,266,000",,"40,101,000",,"37,004,000",,"32,266,000","27,885,000","30,503,000","33,403,000","37,380,000","33,414,000","35,121,000","34,140,000","42,089,000","38,048,000","38,897,000","-62,821,000","142,005,000","37,108,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-43,000,000","-122,000,000","222,000,000","-126,000,000","-18,000,000","14,000,000","-90,000,000","68,000,000","1,000,000","49,000,000","23,000,000","10,000,000","-39,000,000","19,000,000","-144,000,000","20,000,000","38,000,000","35,000,000","-426,200,000","12,400,000","-99,000,000","-46,000,000","48,000,000","165,000,000","186,000,000","2,280,000,000","55,000,000","-37,000,000","66,000,000","145,000,000","87,000,000","114,000,000","212,212,000","94,606,000","231,283,000","287,923,000","175,172,000","190,672,000","154,219,000","1,202,718,000","131,005,000","152,434,000","144,595,000","146,240,000","120,807,000","144,096,000","-137,575,000","161,295,000","131,938,000","158,105,000","112,746,000","137,864,000","89,030,000","89,001,000","124,372,000","52,553,000","33,854,000","33,388,000","15,221,000","533,000","4,672,000","-11,263,000","25,923,000","12,802,000","21,235,000","14,730,000","-10,233,000","-13,205,000","176,035,000","26,226,000","-165,463,000","-72,358,000","-14,038,000","-26,340,000","212,988,000","-145,821,000","-6,938,000","-198,282,000","-38,662,000","463,247,000","-68,750,000","-447,000","101,011,000","-47,000,000","-44,800,000","-33,900,000","125,200,000","-27,100,000","-16,300,000","-27,700,000","-35,900,000","-29,900,000","-24,100,000","-21,100,000","-26,200,000","27,900,000","-12,000,000","-7,800,000","-11,900,000","-7,900,000","-4,200,000","-5,900,000","8,000,000","8,100,000","-3,300,000","23,600,000","8,200,000","8,200,000","8,200,000","8,200,000"
TotalUnusualItemsExcludingGoodwill,"-148,000,000","-80,000,000","1,000,000","-44,000,000","-26,000,000","11,000,000","-47,000,000","-15,000,000","-8,000,000",,"-1,000,000","2,000,000","-20,000,000","13,000,000","-41,000,000","5,000,000","27,000,000","27,000,000","-408,700,000","-45,300,000","-93,000,000","-62,000,000",,,"159,000,000","2,201,000,000","-49,000,000","-105,000,000","-19,000,000","42,000,000","10,000,000","1,000,000",,,,,,,,,,"-2,550,000",,,"-1,378,000","-1,029,000",,,,,,,,,,"-8,297,000",,,,"-5,958,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalUnusualItems,"-148,000,000","-80,000,000","1,000,000","-44,000,000","-26,000,000","11,000,000","-47,000,000","-15,000,000","-8,000,000",,"-1,000,000","2,000,000","-20,000,000","13,000,000","-41,000,000","5,000,000","27,000,000","27,000,000","-408,700,000","-45,300,000","-93,000,000","-62,000,000",,,"159,000,000","2,201,000,000","-49,000,000","-105,000,000","-19,000,000","42,000,000","10,000,000","1,000,000",,,,,,,,,,"-2,550,000",,,"-1,378,000","-1,029,000",,,,,,,,,,"-8,297,000",,,,"-5,958,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NormalizedEBITDA,"1,818,000,000","345,000,000","713,000,000","344,000,000","419,000,000","410,000,000","287,000,000","371,000,000","327,000,000","379,000,000","357,000,000","378,000,000","333,000,000","368,000,000","266,000,000","380,000,000","392,000,000","342,000,000","573,200,000","542,700,000","555,000,000","548,000,000","284,000,000","656,000,000","500,000,000","483,000,000","399,000,000","195,000,000","416,000,000","444,000,000","277,000,000","440,000,000","548,455,000","442,708,000","525,508,000","481,616,000","480,673,000","508,204,000","455,924,000","1,510,644,000","224,026,000","413,844,000","404,872,000","227,466,000","350,740,000","363,757,000","392,257,000","343,467,000","203,506,000","317,792,000","153,907,000","280,908,000","159,997,000","233,096,000","121,201,000","184,821,000","99,437,000","87,168,000","219,405,000","115,129,000","58,562,000","96,170,000","58,891,000","108,958,000","85,535,000","99,071,000","40,531,000","77,033,000","68,205,000","65,187,000","-24,779,000","59,689,000","55,556,000","57,580,000","3,342,000","70,699,000","63,105,000","68,083,000","-15,874,000","47,858,000","47,346,000","126,499,000","-395,729,000","149,000,000","131,400,000","118,900,000","-270,000,000","108,600,000","108,300,000","100,800,000","-203,800,000","95,400,000","84,800,000","70,200,000","-113,600,000","55,400,000","48,100,000","43,500,000","-91,000,000","34,000,000","29,100,000","26,400,000","-58,500,000","23,500,000","18,400,000","16,000,000","-36,700,000","15,300,000","15,300,000","15,300,000"
TaxRateForCalcs,"0.4","0.096","0.11","0.27","0.27","0.27","0.27","0.014","0.27","0.379","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.35","0.122","0.216","0.03","0.35","0.294","0.268","0.265","0.35","0.341","0.289","0.35","0.03","0.35","0.23","0.291","0.231","0.047","0.31","0.298","0.244","0.276","0.321","0.248","0.35","0.176","0.376","0.224","0.35","0.205","0.298","0.369","0.268","0.336","0.391","0.4","0.4","0.4","0.4","0.4","0.222","0.4","0.4","0.4","0.4","0.4","0.043","0.28","0.4","0.4","0.4","0.4","0.026","0.06","0.4","0.4","0.4","0.015","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-59,200,000","-7,664,670.659","110,294.118","-11,880,000","-7,020,000","2,970,000","-12,690,000","-211,267.606","-2,160,000","0","-400,000","800,000","-8,000,000","5,200,000","-16,400,000","2,000,000","10,800,000","10,800,000","-163,480,000","-18,120,000","-37,200,000","-24,800,000","0","0","34,364,516.129","67,069,098.712","-17,150,000","-30,870,000","-5,092,000","11,130,000","3,500,000","340,782.123","0","0","0","0","0","0","0","0","0","-759,065.836","0","0","-442,440.645","-254,780.036","0","0","0","0","0","0","0","0","0","-2,789,773.111","0","0","0","-2,383,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
