name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalRevenue,"11,205,000,000","2,377,000,000","2,655,000,000","3,035,000,000","3,138,000,000","3,106,000,000","3,247,000,000","3,209,000,000","3,016,000,000","3,092,000,000","3,207,000,000","3,129,000,000","2,818,000,000","2,894,000,000","3,557,000,000","2,305,000,000","1,740,000,000","1,698,000,000","2,135,000,000","2,101,000,000","1,999,000,000","2,024,000,000","2,256,000,000","2,250,000,000","2,009,000,000","2,084,000,000","2,376,000,000","2,524,000,000","2,152,000,000","2,330,000,000","2,730,000,000","2,505,000,000","2,561,000,000","2,547,000,000","2,972,000,000","3,380,000,000","2,796,000,000","2,366,000,000","2,809,000,000","2,520,000,000","2,110,000,000","1,900,000,000","2,167,000,000","2,131,000,000","1,707,000,000","1,708,054,960","1,663,257,721","1,800,085,161","1,869,529,819","1,570,826,047","1,538,484,921","1,931,829,474","1,561,105,207","1,339,944,649","2,088,255,749","1,631,831,899","1,546,012,270","1,273,000,000","1,343,000,000","1,150,000,000","994,000,000","928,000,000","893,000,000","978,000,000","835,000,000","722,000,000","767,000,000","590,000,000","502,000,000","574,000,000","625,000,000","540,000,000","521,000,000","501,000,000","527,000,000","598,000,000","582,000,000","672,000,000","716,194,000","176,620,000","150,900,000","168,700,000","170,500,000","149,100,000","137,400,000","163,600,000","174,700,000","185,500,000","171,000,000","164,200,000","166,800,000","193,500,000","158,700,000","168,900,000","171,200,000","174,600,000","179,300,000","174,500,000","188,200,000","182,700,000","178,300,000","149,600,000","145,900,000","138,300,000","132,800,000","125,300,000","137,900,000","134,300,000","104,500,000","92,300,000"
	OperatingRevenue,"11,205,000,000","2,377,000,000","2,655,000,000","3,035,000,000","3,138,000,000","3,106,000,000","3,247,000,000","3,209,000,000","3,016,000,000","3,092,000,000","3,207,000,000","3,129,000,000","2,818,000,000","2,894,000,000","3,557,000,000","2,305,000,000","1,740,000,000","1,698,000,000","2,135,000,000","2,101,000,000","1,999,000,000","2,024,000,000","2,256,000,000","2,250,000,000","2,009,000,000","2,084,000,000","2,376,000,000","2,524,000,000","2,152,000,000","2,330,000,000","2,730,000,000","2,505,000,000","2,561,000,000","2,547,000,000","2,972,000,000","3,380,000,000","2,796,000,000","2,366,000,000","2,809,000,000","2,520,000,000","2,110,000,000","1,900,000,000","2,167,000,000","2,131,000,000","1,707,000,000","1,708,054,960","1,663,257,721","1,800,085,161","1,869,529,819","1,570,826,047","1,538,484,921","1,931,829,474","1,561,105,207","1,339,944,649","2,088,255,749","1,631,831,899","1,546,012,270","1,273,000,000","1,343,000,000","1,150,000,000","994,000,000","928,000,000","893,000,000","978,000,000","835,000,000","722,000,000","767,000,000","590,000,000","502,000,000","574,000,000","625,000,000","540,000,000","521,000,000","501,000,000","527,000,000","598,000,000","582,000,000","672,000,000","716,194,000","176,620,000","150,900,000","168,700,000","170,500,000","149,100,000","137,400,000","163,600,000","174,700,000","185,500,000","171,000,000","164,200,000","166,800,000","193,500,000","158,700,000","168,900,000","171,200,000","174,600,000","179,300,000","174,500,000","188,200,000","182,700,000","178,300,000","149,600,000","145,900,000","138,300,000","132,800,000","125,300,000","137,900,000","134,300,000","104,500,000","92,300,000"
CostOfRevenue,"8,509,000,000","1,979,000,000","2,195,000,000","2,248,000,000","2,087,000,000","2,064,000,000","2,236,000,000","2,200,000,000","1,775,000,000","1,732,000,000","1,923,000,000","2,037,000,000","1,752,000,000","1,707,000,000","1,980,000,000","1,853,000,000","1,528,000,000","1,543,000,000","1,854,000,000","1,762,000,000","1,688,000,000","1,676,000,000","1,840,000,000","1,838,000,000","1,714,000,000","1,679,000,000","1,830,000,000","1,927,000,000","1,570,000,000","1,629,000,000","2,011,000,000","1,811,000,000","1,826,000,000","1,629,000,000","1,760,000,000","1,809,000,000","1,599,000,000","1,469,000,000","1,605,000,000","1,515,000,000","1,125,000,000","1,056,000,000","1,390,000,000","1,437,000,000","866,000,000","873,566,116","1,291,535,636","982,542,048","886,423,774","848,678,120","969,909,434","945,046,209","729,011,690","656,134,686","839,980,985","687,381,245","594,534,300","592,000,000","572,000,000","519,000,000","513,000,000","529,000,000","444,000,000","569,000,000","533,000,000","476,000,000","555,000,000","460,000,000","419,000,000","476,000,000","506,000,000","453,000,000","426,000,000","420,000,000","445,000,000","451,000,000","434,000,000","432,000,000","473,643,000","133,419,000","106,900,000","119,100,000","125,100,000","107,000,000","97,700,000","120,200,000","125,900,000","131,700,000","124,400,000","119,900,000","119,900,000","141,600,000","107,100,000","119,000,000","112,400,000","123,700,000","123,200,000","116,500,000","120,200,000","119,300,000","119,500,000","98,300,000","97,500,000","87,700,000","86,700,000","85,300,000","94,500,000","86,700,000","66,900,000","53,200,000"
GrossProfit,"2,696,000,000","398,000,000","460,000,000","787,000,000","1,051,000,000","1,042,000,000","1,011,000,000","1,009,000,000","1,241,000,000","1,360,000,000","1,284,000,000","1,092,000,000","1,066,000,000","1,187,000,000","1,577,000,000","452,000,000","212,000,000","155,000,000","281,000,000","339,000,000","311,000,000","348,000,000","416,000,000","412,000,000","295,000,000","405,000,000","546,000,000","597,000,000","582,000,000","701,000,000","719,000,000","694,000,000","735,000,000","918,000,000","1,212,000,000","1,571,000,000","1,197,000,000","897,000,000","1,204,000,000","1,005,000,000","985,000,000","844,000,000","777,000,000","694,000,000","841,000,000","834,488,844","371,722,085","817,543,113","983,106,045","722,147,927","568,575,487","986,783,265","832,093,517","683,809,963","1,248,274,764","944,450,654","951,477,970","681,000,000","771,000,000","631,000,000","481,000,000","399,000,000","449,000,000","409,000,000","302,000,000","246,000,000","212,000,000","130,000,000","83,000,000","98,000,000","119,000,000","87,000,000","95,000,000","81,000,000","82,000,000","147,000,000","148,000,000","240,000,000","242,551,000","43,201,000","44,000,000","49,600,000","45,400,000","42,100,000","39,700,000","43,400,000","48,800,000","53,800,000","46,600,000","44,300,000","46,900,000","51,900,000","51,600,000","49,900,000","58,800,000","50,900,000","56,100,000","58,000,000","68,000,000","63,400,000","58,800,000","51,300,000","48,400,000","50,600,000","46,100,000","40,000,000","43,400,000","47,600,000","37,600,000","39,100,000"
OperatingExpense,"883,000,000","120,000,000","260,000,000","226,000,000","277,000,000","128,000,000","194,000,000","227,000,000","167,000,000","140,000,000","220,000,000","111,000,000","93,000,000","117,000,000","131,000,000","142,000,000","141,000,000","82,000,000","194,000,000","276,000,000","98,000,000","144,000,000","163,000,000","104,000,000","83,000,000","155,000,000","108,000,000","106,000,000","178,000,000","97,000,000","206,000,000","17,000,000","179,000,000","-23,000,000","270,000,000","206,000,000","56,000,000","65,000,000","116,000,000","94,000,000","277,000,000","326,000,000","19,000,000","70,000,000","274,000,000","172,696,332","958,743,622","194,805,195","103,806,228","104,927,477","-80,691,268","166,948,226","68,012,752","55,350,553","-47,438,155","125,181,625","93,697,713","93,000,000","120,000,000","129,000,000","101,000,000","98,000,000","108,000,000","104,000,000","106,000,000","90,000,000","98,000,000","85,000,000","67,000,000","71,000,000","165,000,000","47,000,000","74,000,000","71,000,000","84,000,000","91,000,000","86,000,000","86,000,000","101,397,000","33,612,000","36,000,000","33,100,000","33,600,000","36,300,000","35,700,000","35,400,000","39,400,000","34,000,000","33,500,000","33,800,000","38,900,000","40,500,000","34,300,000","33,000,000","38,600,000","34,800,000","34,400,000","33,000,000","37,800,000","31,700,000","29,600,000","26,400,000","28,100,000","23,100,000","22,200,000","18,300,000","20,400,000","20,800,000","18,700,000","18,500,000"
	SellingGeneralAndAdministration,"110,000,000","1,000,000","49,000,000","8,000,000","52,000,000","56,000,000","52,000,000","35,000,000","56,000,000","58,000,000","101,000,000","75,000,000","9,000,000","56,000,000","77,000,000","78,000,000","63,000,000","52,000,000","36,000,000","24,000,000","22,000,000","39,000,000","32,000,000","25,000,000","42,000,000","32,000,000","40,000,000","49,000,000","32,000,000","30,000,000","64,000,000","37,000,000","35,000,000","28,000,000","56,000,000","28,000,000","32,000,000","15,000,000","103,000,000","75,000,000","15,000,000","70,000,000","51,000,000","57,000,000","49,000,000","36,556,158","4,189,276","21,290,185","47,832,282","38,061,928","30,721,836","39,749,578","42,507,970","27,675,277","29,173,951","33,530,792","22,308,979","28,000,000","29,000,000","27,000,000","23,000,000","23,000,000","30,000,000","17,000,000","23,000,000","19,000,000","16,000,000","16,000,000","17,000,000","19,000,000","18,000,000","16,000,000","20,000,000","18,000,000","18,000,000","17,000,000","18,000,000","20,000,000","28,094,000","4,866,000","6,500,000","4,600,000","3,800,000","4,400,000","4,900,000","4,500,000","4,000,000","3,600,000","4,400,000","2,600,000","3,000,000","3,000,000","4,300,000","3,700,000","5,600,000","3,400,000","3,200,000","3,100,000","4,600,000","2,500,000","2,600,000","2,400,000","4,000,000","2,200,000","2,100,000","1,900,000","2,000,000","2,200,000","2,200,000","2,400,000"
		GeneralAndAdministrativeExpense,"110,000,000","1,000,000","49,000,000","8,000,000","52,000,000","56,000,000","52,000,000","35,000,000","56,000,000","58,000,000","101,000,000","75,000,000","9,000,000","56,000,000","77,000,000","78,000,000","63,000,000","52,000,000","36,000,000","24,000,000","22,000,000","39,000,000","32,000,000","25,000,000","42,000,000","32,000,000","40,000,000","49,000,000","32,000,000","30,000,000","64,000,000","37,000,000","35,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"18,000,000","30,000,000","2,000,000","27,000,000","9,000,000","16,000,000","2,000,000","3,000,000","27,000,000","27,000,000","64,000,000","52,000,000","15,000,000","24,000,000","45,000,000","57,000,000","42,000,000","27,000,000","6,000,000","5,000,000","2,000,000","14,000,000","-4,000,000","3,000,000","12,000,000","1,000,000","9,000,000","19,000,000","2,000,000","4,000,000","23,000,000","4,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"152,000,000","31,000,000","43,000,000","35,000,000","43,000,000","40,000,000","50,000,000","32,000,000","29,000,000","31,000,000","37,000,000","23,000,000","24,000,000","32,000,000","32,000,000","21,000,000","21,000,000","25,000,000","30,000,000","29,000,000","24,000,000","25,000,000","36,000,000","22,000,000","30,000,000","31,000,000","31,000,000","30,000,000","34,000,000","34,000,000","41,000,000","33,000,000","34,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"79,000,000","22,000,000","22,000,000","24,000,000","11,000,000","10,000,000","10,000,000","9,000,000","8,000,000","8,000,000","15,000,000","15,000,000","13,000,000","12,000,000","7,000,000","6,000,000","6,000,000","11,000,000","11,000,000","16,000,000","13,000,000","7,000,000","5,000,000","5,000,000","4,000,000","6,000,000","8,000,000","4,000,000","4,000,000","2,000,000","-89,000,000","41,000,000","38,000,000","29,000,000","-69,000,000","39,000,000","24,000,000","7,000,000","-29,000,000","15,000,000","18,000,000","17,000,000","-30,000,000","16,000,000","12,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
