name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalRevenue,"36,336,000,000","6,969,000,000","9,964,000,000","10,217,000,000","9,186,000,000","8,203,000,000","9,813,000,000","9,543,000,000","8,616,000,000","8,603,000,000","9,167,000,000","9,050,000,000","7,235,000,000","8,515,000,000","7,819,000,000","7,324,000,000","6,626,000,000","5,719,000,000","5,899,000,000","6,505,000,000","6,965,000,000","6,240,000,000","9,072,000,000","9,062,000,000","9,902,000,000","9,503,000,000","13,125,000,000","12,333,000,000","11,032,000,000","10,935,000,000","15,081,000,000","10,725,000,000","11,893,000,000","11,054,000,000","17,398,627,487.436","15,316,534,240.358","14,989,000,000","13,213,000,000","14,929,000,000","14,102,000,000","9,658,000,000","6,604,000,000","16,605,000,000","16,978,000,000","4,948,000,000","5,324,000,000","9,438,000,000","10,897,000,000","10,600,000,000","7,832,000,000","8,163,000,000","7,898,000,000","8,692,000,000","7,489,000,000","7,313,000,000","4,852,000,000","4,146,000,000","3,340,000,000","5,355,000,000","3,536,000,000","3,536,000,000","2,213,000,000","2,317,000,000","2,173,000,000","1,920,000,000","1,610,000,000","1,638,000,000","1,432,000,000","1,170,000,000","1,110,000,000","1,049,000,000","1,094,000,000","1,027,000,000","953,000,000"
	OperatingRevenue,"35,953,000,000","6,969,000,000","9,581,000,000","10,217,000,000","9,186,000,000","8,203,000,000","9,813,000,000","9,543,000,000","8,616,000,000","8,603,000,000","9,167,000,000","9,050,000,000","7,235,000,000","8,515,000,000","7,819,000,000","7,324,000,000","6,626,000,000","5,719,000,000","5,899,000,000","6,505,000,000","6,965,000,000","6,240,000,000","9,072,000,000","9,062,000,000","9,902,000,000","9,503,000,000","13,125,000,000","12,333,000,000","11,032,000,000","10,935,000,000","12,699,000,000","10,963,000,000","12,150,000,000","11,339,000,000","18,797,627,487.436","15,316,534,240.358","15,345,000,000","13,548,000,000","15,207,000,000","14,496,000,000","9,930,000,000","6,848,000,000","17,046,000,000","17,398,000,000","5,084,000,000","5,421,000,000","10,521,000,000","10,897,000,000","10,600,000,000","7,832,000,000","9,036,000,000","7,898,000,000","8,692,000,000","7,489,000,000","8,025,000,000","4,852,000,000","4,146,000,000","3,340,000,000","5,355,000,000","3,536,000,000","3,536,000,000","2,213,000,000","2,317,000,000","2,173,000,000","1,920,000,000","1,610,000,000","1,638,000,000","1,432,000,000","1,170,000,000","1,110,000,000","1,049,000,000","1,094,000,000","1,027,000,000","953,000,000"
	ExciseTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"238,000,000","257,000,000","285,000,000",,,"356,000,000","335,000,000","278,000,000","394,000,000","272,000,000","244,000,000","441,000,000","420,000,000","136,000,000","97,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"20,764,000,000","4,278,000,000","5,632,000,000","5,681,000,000","5,173,000,000","4,701,000,000","5,752,000,000","5,756,000,000","5,377,000,000","5,224,000,000","5,791,000,000","5,412,000,000","5,102,000,000","4,734,000,000","3,651,000,000","4,955,000,000","4,795,000,000","4,249,000,000","5,119,000,000","5,040,000,000","5,186,000,000","5,168,000,000","6,892,000,000","6,501,000,000","6,081,000,000","5,590,000,000","6,658,000,000","6,266,000,000","6,223,000,000","5,720,000,000","9,817,000,000","6,128,000,000","6,015,000,000","5,690,000,000","7,521,159,611.525","5,710,770,551.597","5,721,000,000","5,576,000,000","6,040,000,000","5,113,000,000","4,122,000,000","3,539,000,000","10,030,000,000","9,626,000,000","3,135,000,000","2,900,000,000","4,981,000,000","4,550,000,000","4,763,000,000","4,242,000,000","4,504,000,000","3,785,000,000","3,784,000,000","4,390,000,000","4,387,000,000","2,181,000,000","1,884,000,000","1,695,000,000","2,581,000,000","1,508,000,000","1,508,000,000","1,247,000,000","1,208,000,000","1,053,000,000","912,000,000","928,000,000","1,005,000,000","812,000,000","670,000,000","641,000,000","582,000,000","550,000,000","594,000,000","537,000,000"
GrossProfit,"15,572,000,000","2,691,000,000","4,332,000,000","4,536,000,000","4,013,000,000","3,502,000,000","4,061,000,000","3,787,000,000","3,239,000,000","3,379,000,000","3,376,000,000","3,638,000,000","2,133,000,000","3,781,000,000","4,168,000,000","2,369,000,000","1,831,000,000","1,470,000,000","780,000,000","1,465,000,000","1,779,000,000","1,072,000,000","2,180,000,000","2,561,000,000","3,821,000,000","3,913,000,000","6,467,000,000","6,067,000,000","4,809,000,000","5,215,000,000","5,264,000,000","4,597,000,000","5,878,000,000","5,364,000,000","9,877,467,875.911","9,605,763,688.761","9,268,000,000","7,637,000,000","8,889,000,000","8,989,000,000","5,536,000,000","3,065,000,000","6,575,000,000","7,352,000,000","1,813,000,000","2,424,000,000","4,457,000,000","6,347,000,000","5,837,000,000","3,590,000,000","3,659,000,000","4,113,000,000","4,908,000,000","3,099,000,000","2,926,000,000","2,671,000,000","2,262,000,000","1,645,000,000","2,774,000,000","2,028,000,000","2,028,000,000","966,000,000","1,109,000,000","1,120,000,000","1,008,000,000","682,000,000","633,000,000","620,000,000","500,000,000","469,000,000","467,000,000","544,000,000","433,000,000","416,000,000"
OperatingExpense,"2,603,000,000","541,000,000","828,000,000","664,000,000","570,000,000","479,000,000","482,000,000","344,000,000","390,000,000","396,000,000","476,000,000","447,000,000","386,000,000","378,000,000","520,000,000","459,000,000","462,000,000","307,000,000","382,000,000","631,000,000","715,000,000","762,000,000","1,223,000,000","931,000,000","822,000,000","892,000,000","1,397,000,000","1,330,000,000","1,207,000,000","1,303,000,000","2,995,000,000","879,000,000","974,000,000","828,000,000","1,532,506,067.185","1,021,182,376.455","797,000,000","761,000,000","948,000,000","634,000,000","532,000,000","465,000,000","1,591,000,000","1,437,000,000","495,000,000","422,000,000","475,000,000","1,025,000,000","602,000,000","675,000,000","369,000,000","683,000,000","529,000,000","397,000,000","176,000,000","423,000,000","389,000,000","309,000,000","389,000,000","257,000,000","257,000,000","171,000,000","287,000,000","234,000,000","176,000,000","153,000,000","241,000,000","119,000,000","112,000,000","96,000,000","61,000,000","144,000,000","103,000,000","123,000,000"
	SellingGeneralAndAdministration,"356,000,000","96,000,000","157,000,000","67,000,000","57,000,000","81,000,000","91,000,000","97,000,000","102,000,000","109,000,000","67,000,000","107,000,000","111,000,000","93,000,000","121,000,000","65,000,000","95,000,000","53,000,000","60,000,000","63,000,000","80,000,000","90,000,000","170,000,000","202,000,000","131,000,000","159,000,000","129,000,000","150,000,000","190,000,000","204,000,000","577,000,000","519,000,000","615,000,000","529,000,000","1,067,858,663.852","564,005,927.741","434,000,000","419,000,000","647,000,000","418,000,000","343,000,000","293,000,000","841,000,000","752,000,000","230,000,000","233,000,000","102,000,000","730,000,000","344,000,000","485,000,000","107,000,000","477,000,000","377,000,000","284,000,000","1,000,000","289,000,000","288,000,000","238,000,000","285,000,000","135,000,000","135,000,000","113,000,000","306,000,000","112,000,000","149,000,000","105,000,000","129,000,000","74,000,000","100,000,000","95,000,000","47,000,000","129,000,000","91,000,000","114,000,000"
		GeneralAndAdministrativeExpense,"268,000,000","79,000,000","65,000,000","67,000,000","57,000,000","81,000,000","91,000,000","97,000,000","102,000,000","109,000,000","116,000,000","90,000,000","92,000,000","93,000,000","118,000,000","63,000,000","93,000,000","52,000,000","58,000,000","59,000,000","77,000,000","87,000,000","142,000,000","179,000,000","109,000,000","112,000,000","110,000,000","120,000,000","149,000,000","159,000,000",,,,,,"387,987,028.966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"268,000,000","79,000,000","65,000,000","67,000,000","57,000,000","81,000,000","91,000,000","97,000,000","102,000,000","109,000,000","108,000,000","90,000,000","92,000,000","93,000,000","115,000,000","61,000,000","58,000,000","51,000,000","55,000,000","56,000,000","74,000,000","84,000,000","134,000,000","174,000,000","100,000,000","110,000,000","107,000,000","117,000,000","141,000,000","154,000,000",,,,,,"170,280,364.633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,"33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
