name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,12/31/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,03/31/2003,12/31/2002,03/31/2002,12/31/2001,12/31/2000,06/30/2000,12/31/1999,12/31/1998
TotalAssets,"21,087,806,000","20,294,830,000","20,329,044,000","20,225,507,000","17,566,777,000","17,200,917,000","17,392,130,000","18,688,105,000","18,797,972,000","19,126,054,000","19,167,187,000","19,105,401,000","19,198,194,000","19,040,158,000","19,046,697,000","18,631,847,000","18,101,418,000","17,975,027,000","19,362,449,000","18,889,680,000","20,484,430,000","20,647,199,000","21,687,203,000","21,678,858,000","22,631,146,000","22,220,335,000","21,726,902,000","20,861,376,000","20,533,072,000","19,642,024,000","7,688,022,000","7,648,659,000","7,072,501,000","6,785,897,000","5,907,519,000","5,711,444,000","5,771,972,000","5,461,093,000","5,449,963,000","5,282,580,000","4,904,861,000","4,403,015,000","4,338,048,000","3,940,955,000","3,901,742,000","3,399,294,000","3,350,383,000","2,960,231,000","2,928,789,000","2,585,393,000","2,145,783,000","1,949,092,000","1,934,374,000","1,878,860,000","1,829,229,000","1,706,200,000","1,646,674,000","1,628,514,000","1,518,040,000","1,525,034,000","1,585,440,000","1,395,438,000","1,434,942,000","1,157,385,000","963,371,000","976,333,000","879,000,000"
	CurrentAssets,"4,018,228,000","3,918,083,000","3,420,048,000","3,369,415,000","3,306,362,000","3,051,295,000","3,147,291,000","3,644,897,000","3,745,499,000","3,763,357,000","3,905,175,000","3,506,982,000","3,626,775,000","2,949,945,000","2,841,112,000","2,762,091,000","2,822,901,000","3,207,750,000","3,454,669,000","3,073,577,000","3,634,624,000","3,594,577,000","3,887,107,000","4,199,493,000","4,979,549,000","4,291,914,000","3,722,084,000","3,106,904,000","3,347,614,000","3,611,325,000","1,192,244,000","1,343,351,000","1,209,927,000","1,533,069,000","647,635,000","657,194,000","1,408,971,000","638,159,000","699,740,000",,"1,351,031,000","1,194,182,000","1,292,814,000","1,045,225,000","1,093,903,000","995,100,000","1,004,024,000","705,497,000","706,308,000","588,332,000","579,225,000","482,939,000","589,742,000","617,733,000","590,788,000","556,923,000","512,281,000","486,712,000","380,788,000","371,571,000","415,839,000","303,339,000","335,496,000","337,249,000","234,733,000","264,760,000","252,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,465,774,000","1,413,290,000","1,458,100,000","1,551,351,000","1,412,604,000","1,206,203,000","1,196,422,000","1,476,694,000","1,621,688,000","1,570,392,000","1,774,385,000","1,485,151,000","1,632,986,000","1,374,794,000","1,245,541,000","1,349,136,000","1,367,279,000","1,548,350,000","1,615,927,000","1,370,297,000","1,536,622,000","1,276,026,000","1,685,061,000","1,969,958,000","2,566,396,000","1,768,413,000","1,331,240,000","880,762,000","1,127,801,000","457,547,000","176,569,000","570,891,000","233,461,000","631,052,000","647,635,000","657,194,000","791,912,000","638,159,000","699,740,000",,"410,014,000","433,207,000","448,945,000","335,277,000","159,458,000","388,951,000","144,561,000","159,724,000","218,611,000","125,125,000","159,235,000","151,345,000","284,365,000","303,094,000","304,625,000","96,235,000","97,834,000","218,963,000","59,316,000","34,727,000","33,945,000","55,310,000","139,959,000","130,859,000","5,055,000","40,416,000","10,700,000"
			CashAndCashEquivalents,"1,072,579,000","947,442,000","1,061,348,000","1,124,326,000","1,081,642,000","686,440,000","773,889,000","814,230,000","1,142,004,000","939,851,000","1,150,553,000","853,152,000","949,327,000","708,376,000","637,397,000","768,000,000","753,497,000","1,022,926,000","1,073,971,000","959,160,000","989,396,000","750,309,000","1,105,789,000","1,161,339,000","1,984,903,000","1,024,196,000","790,929,000","456,710,000","650,263,000","457,547,000","176,569,000","374,407,000","233,461,000","631,052,000","647,635,000","657,194,000","731,497,000","638,159,000","699,740,000",,"15,707,000","13,037,000","303,145,000","11,123,000","11,506,000","8,784,000","10,468,000","7,760,000","158,542,000","14,360,000","46,252,000","8,367,000","10,345,000","9,886,000","191,335,000","6,373,000","5,238,000","133,938,000","7,509,000","3,467,000","3,326,000","1,713,000","73,431,000","68,690,000","4,877,000","40,376,000","10,700,000"
				CashFinancial,"684,694,000","641,155,000","687,512,000","500,389,000","622,356,000","521,806,000","530,162,000","475,344,000","578,284,000","403,604,000","434,862,000","441,780,000","559,436,000","606,074,000","492,426,000","357,820,000","581,116,000","621,606,000","446,605,000","339,036,000","405,748,000",,"426,674,000",,"744,733,000","310,796,000",,,"273,921,000",,,,,,,,,,,,"15,707,000","13,037,000","14,344,000",,"11,506,000",,,,"9,565,000",,"11,733,000",,,,"11,620,000",,,"4,988,000",,,"3,326,000",,"6,903,000","6,521,000",,"6,389,000",
				CashEquivalents,"387,885,000","306,287,000","373,836,000","623,937,000","459,286,000","164,634,000","243,727,000","338,886,000","563,720,000","536,247,000","715,691,000","411,372,000","389,891,000","102,302,000","144,971,000","410,180,000","172,381,000","401,320,000","627,366,000","620,124,000","583,648,000",,"679,115,000",,"1,240,170,000","713,400,000",,,"376,342,000",,,,,,,,,,,,,,"288,801,000",,,,,,"148,977,000",,"34,519,000",,,,"179,715,000",,,"128,950,000",,,,,"66,528,000","62,169,000",,"33,987,000",
			OtherShortTermInvestments,"393,195,000","465,848,000","396,752,000","427,025,000","330,962,000","519,763,000","422,533,000","662,464,000","479,684,000","630,541,000","623,832,000","631,999,000","683,659,000","666,418,000","608,144,000","581,136,000","613,782,000","525,424,000","541,956,000","411,137,000","547,226,000","525,717,000","579,272,000","808,619,000","581,493,000","744,217,000","540,311,000","424,052,000","477,538,000",,,"196,484,000",,,,,"60,415,000",,,,"394,307,000","420,170,000","145,800,000","324,154,000","147,952,000","380,167,000","134,093,000","151,964,000","60,069,000","110,765,000","112,983,000","142,978,000","274,020,000","293,208,000","113,290,000","89,862,000","92,596,000","85,025,000","51,807,000","31,260,000","30,619,000","53,597,000","66,528,000","62,169,000","178,000","40,000",
		Receivables,"1,552,172,000","1,655,963,000","1,293,187,000","1,428,177,000","1,486,269,000","1,356,821,000","1,488,282,000","1,572,259,000","1,434,960,000","1,437,819,000","1,417,413,000","1,293,317,000","1,276,671,000","1,146,790,000","1,124,157,000","1,056,892,000","1,023,601,000","1,220,754,000","1,433,312,000","1,322,081,000","1,639,161,000","1,813,872,000","1,692,550,000","1,654,798,000","1,841,383,000","1,960,238,000","1,943,542,000","1,808,051,000","1,662,046,000","1,745,131,000","543,244,000","538,244,000","528,639,000","481,400,000",,,"492,197,000",,,,"511,699,000","599,716,000","603,333,000","515,489,000","468,527,000","454,741,000","418,048,000","398,805,000","361,277,000","349,241,000","313,131,000","219,204,000","204,879,000","194,310,000","184,188,000","166,801,000","161,005,000","168,662,000","132,278,000","149,382,000","165,014,000","157,637,000","167,313,000","191,532,000","157,040,000","165,108,000","182,200,000"
			AccountsReceivable,"1,263,993,000","995,016,000","1,215,766,000","1,131,925,000","1,165,513,000","1,081,228,000","1,189,011,000","1,294,217,000","1,216,632,000","1,210,604,000","1,209,783,000","1,092,758,000","1,108,443,000","916,622,000","870,627,000","815,378,000","797,157,000","976,536,000","1,149,908,000","1,017,301,000","1,379,145,000","1,712,992,000","1,467,824,000","1,550,784,000","1,633,722,000","1,748,783,000","1,709,907,000","1,542,565,000","1,441,517,000","1,745,131,000","543,244,000","538,244,000","527,315,000","481,350,000",,,"423,777,000",,,,"439,686,000","506,359,000","530,256,000",,,,,,"356,512,000",,"312,232,000",,,,"180,142,000",,,"168,245,000",,,"160,349,000","149,767,000","157,500,000","203,552,000",,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,813,000",,,,
