name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
MarketCap,"7,874,706,761","7,265,499,070","13,290,134,152","12,572,684,367","15,449,540,382","16,587,237,627","12,747,932,028","19,823,456,885","21,450,160,173","20,259,209,778","18,546,720,788","16,689,200,189","18,433,820,861","20,273,039,838","21,178,828,059","16,793,652,632","17,084,184,263","14,650,413,381","14,120,049,723","14,253,086,912","15,995,016,623","16,696,260,350","17,887,030,419","27,188,400,556","27,702,415,595","25,994,073,265","25,887,070,856","27,622,908,270","23,709,358,916","23,978,231,360","24,324,419,437","24,205,290,478","20,252,972,874","22,474,591,016","21,836,250,692","15,264,200,963","26,917,738,913","28,886,069,654","28,810,737,077","22,636,421,267","20,584,714,974","25,325,858,238","25,405,057,590","21,025,360,942","15,960,857,941","11,905,713,930","12,383,831,346","22,011,109,195","43,974,996,917","29,424,880,487","26,402,706,202","31,059,923,997","28,899,541,598","27,093,320,248","29,448,491,224","20,883,696,522","23,899,968,123","21,328,758,907","13,517,146,703","16,272,519,664","9,240,061,768","7,261,482,041","5,772,825,098","5,380,931,460","3,865,442,099","3,805,937,903","3,867,455,045","3,054,964,489","2,959,787,024","2,558,184,541"
EnterpriseValue,"7,803,352,761","6,553,143,070","12,592,712,152","12,131,792,367","15,028,588,382","16,210,149,627","12,451,429,028","19,500,800,885","21,127,504,173","19,508,230,778","17,795,741,788","15,838,960,189","17,241,177,861","19,080,396,838","19,625,584,059","15,340,265,632","15,628,291,263","13,194,520,381","12,282,422,723","12,425,485,912","14,126,423,623","15,439,476,350","16,581,879,419","25,883,249,556","26,401,409,595","25,187,019,265","25,080,016,856","27,387,088,270","23,566,866,916","24,227,984,360","24,574,172,437","24,745,808,478","19,994,370,874","22,150,948,016","21,608,676,692","15,036,626,963","26,852,854,913","28,658,457,654","28,538,426,077","22,165,303,267","20,015,998,974","24,426,841,238","24,805,664,590","21,197,186,942","16,082,722,941","12,687,373,930","13,823,331,346","23,499,260,195","45,419,694,917","31,926,091,487","29,372,924,202","34,821,645,997","30,474,226,598","29,188,630,248","28,893,967,224","20,801,464,522","23,817,736,123","21,089,042,907","13,831,119,703","16,586,492,664","9,953,998,768","7,910,187,041","6,600,922,098","6,156,522,460","4,565,819,099","4,365,218,903","4,315,006,045","3,583,439,489","3,596,638,024","2,882,806,541"
PeRatio,"13.881","9.563","16.356","13.062","17.491","17.018","37.963","29.929","44.378","45.156","59","56.62","155.7","1,451.099",,,,,"66.111","21.918","16.083","12.281","11.619","17.519","17.996","17.178","16.96","16.827","14.08","14.16","14.556","14.665","14.101","16.916","17.538","12.005","21.986","24.01","25.779","22.08","21.364","24.398","21.325","20.239","10.816","5.898","7.226","8.553","18.215","15.338","13.721","15.297","14.4","13.909","16.855","13.152","15.052","14.931","9.957","11.986","7.827","7.323","7.409","16.224","15.595","18.217","18.511","20.246","19.615","16.954"
ForwardPeRatio,"29.07","10.341","14.903","12.063","15.129","17.762","15.385","19.048","28.902","32.051","35.461","26.042","65.36","92.593","131.579","94.34","131.579","31.348","41.841","36.364","33.113","31.447","21.882","27.248","27.027","26.81","19.763","20.161","16.863","13.569","14.265","14.205","13.717","11.614","12.87","8.54","13.038","14.104","16.155",,"10.695","12.804",,"14.706",,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"2.964","1.052","2.049","1.66","1.961","0.97","0.779","0.964","1.418","1.576","0.399","0.294","0.766","1.156",,,,,,"22.885","6.348","2.293","2.07","2.343","2.469","2.237","1.776","1.71","1.428","1.071","0.789","0.8","0.771","0.53","0.458",,"0.483","0.523","1.01",,"0.396","0.474",,"0.545",,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.087","0.975","1.745","1.604","2.026","2.335","1.762","3.022","3.579","3.87","3.963","3.773","4.334","4.693","4.349","3.129","2.789","2.058","1.681","1.544","1.593","1.599","1.726","2.603","2.651","2.445","2.415","2.538","2.182","2.222","2.284","2.257","2.011","2.263","2.363","1.618","3.061","3.477","3.749","3.026","2.822","3.447","3.089","2.179","1.51","0.996","2.042","3.343","6.115","3.591","2.629","3.342","3.388","3.506","3.892","2.867","3.281","3.018","2.212","2.663","1.687","1.535","1.396","1.487","1.141","1.183","1.223","0.949","0.919","0.795"
PbRatio,"0.696","0.593","1.118","1.047","1.294","1.415","1.076","1.684","1.828","1.78","1.636","1.473","1.594","1.785","1.835","1.462","1.442","1.248","1.174","1.142","1.257","1.289","1.394","2.102","2.187","2.168","2.14","2.355","2.025","2.114","2.173","2.249","1.879","2.148","2.122","1.452","2.578","2.813","2.92","2.338","2.22","2.719","2.769","2.341","1.848","1.417","1.515","2.534","5.282","3.892","3.768","5.094","4.946","5.075","6.225","4.95","5.665","5.385","4.113","4.952","3.118","2.566","2.313","2.68","2.079","2.015","2.1","1.674","1.706","1.485"
EnterprisesValueRevenueRatio,"1.086","3.718","7.235","6.878","7.836","8.66","5.915","10.27","11.813","10.453","11.2","12.156","13.873","16.536","22.633","14.63","13.945","10.495","8.65","7.969","7.562","6.851","6.195","10.693","9.922","9.763","9.379","11.34","8.33","9.046","8.91","9.313","7.137","8.463","7.856","6.027","11.174","12.332","13.828","10.934","10.1","14.906","13.429","11.966","7.672","5.18","4.268","7.535","14.426","12.157","11.801","13.799","11.702","12.035","14.027","10.82","12.138","11.827","7.285","10.111","5.707","5.444","5.187","6.113","4.58","5.08","5.666","4.717","4.139","3.651"
EnterprisesValueEBITDARatio,"10.972","-18.483","40.85","54.719","56.514","35.954","26.038","41.393","46.665","48.488","49.678","63.527","78.039","81.213","119.576","80.288","99.419","63.809","-60.785","-79.492","52.298","28.631","30.896","69.951","36.275","31.772","31.914","43.234","31.524","33.845","39.375","33.579","26.347","29.686","29.672","22.943","47.51","47.458","47.845","40.717","36.561","51.562","58.799","41.639","25.861","16.721","19.129","21.987","47.405","37.765","33.566","42.046","33.462","34.016","32.392","27.662","31.846","32.168","21.799","31.406","18.352","17.284","15.978","24.587","22.635","27.911","197.991","22.87","22.055","19.687"
