name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"4,321,938,215","9,215,800,000","6,865,880,000","6,855,157,196","6,062,327,982"
EnterpriseValue,"9,318,938,215","14,276,800,000","10,461,999,000","10,584,521,196","9,919,712,982"
PeRatio,"23.639","23.402","12.408","27.059","49.293"
ForwardPeRatio,"8.643","16.208","14.389","19.048","21.552"
PegRatio,"0.981","1.466","1.68","2.217",
PsRatio,"0.164","0.366","0.287","0.303","0.262"
PbRatio,"1.207","2.591","2.182","2.5","2.435"
EnterprisesValueRevenueRatio,"0.355","0.55","0.433","0.438","0.433"
EnterprisesValueEBITDARatio,"11.309","13.507","10.348","11.122","12.692"
