name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
EBIT,"52,495,000,000","105,512,000,000","104,993,000,000","92,342,000,000","88,313,000,000","63,329,000,000","75,714,000,000","104,777,000,000","101,859,000,000","113,065,000,000","111,091,000,000","87,521,000,000","35,122,000,000","90,225,000,000","81,316,000,000","68,047,000,000","58,117,000,000","34,163,000,000","26,412,000,000","26,801,000,000","32,466,000,000","16,417,000,000","7,134,000,000"
EBITDA,"160,379,000,000"
ReconciledCostOfRevenue,"2,400,975,000,000","2,489,719,000,000","2,402,950,000,000","1,885,961,000,000","1,488,116,000,000","1,589,294,000,000","2,424,496,000,000","2,453,123,000,000","2,371,655,000,000","2,095,361,000,000","1,541,707,000,000","1,040,946,000,000","1,326,783,000,000","1,012,961,000,000","880,029,000,000","668,249,000,000","459,207,000,000","323,104,000,000","251,182,000,000","236,135,000,000","249,234,000,000","175,259,000,000","146,753,000,000"
ReconciledDepreciation,"107,884,000,000","108,812,000,000","109,967,000,000","115,310,000,000","108,425,000,000","96,368,000,000","90,097,000,000","81,265,000,000","70,456,000,000","63,816,000,000","59,223,000,000","50,487,000,000","45,853,000,000","43,384,000,000","34,260,000,000","31,831,000,000","31,242,000,000","27,671,000,000","26,613,000,000","24,919,000,000","24,286,000,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"22,852,000,000","57,465,000,000","61,618,000,000","51,244,000,000","46,672,000,000","32,438,000,000","46,466,000,000","66,132,000,000","63,879,000,000","73,225,000,000","71,800,000,000","61,760,000,000","29,689,000,000","54,947,000,000","50,664,000,000","39,558,000,000","32,275,000,000","19,011,000,000","14,121,000,000","14,018,000,000","16,154,000,000","5,665,000,000","37,000,000"
TotalUnusualItemsExcludingGoodwill,"-3,129,000,000","-6,502,000,000","-7,583,000,000","-20,204,000,000","2,476,000,000","-8,452,000,000","-772,000,000","-843,000,000","-981,000,000","-1,098,000,000","-13,771,000,000","-6,862,000,000","-9,510,000,000","-2,894,000,000","824,000,000","1,730,000,000","980,000,000","262,000,000","240,000,000","917,000,000","1,101,000,000","854,000,000","954,000,000"
TotalUnusualItems,"-3,129,000,000","-6,502,000,000","-7,583,000,000","-20,204,000,000","2,476,000,000","-8,452,000,000","-772,000,000","-843,000,000","-981,000,000","-1,098,000,000","-13,771,000,000","-6,862,000,000","-9,510,000,000","-2,894,000,000","824,000,000","1,730,000,000","980,000,000","262,000,000","240,000,000","917,000,000","1,101,000,000","854,000,000","954,000,000"
NormalizedEBITDA,"163,508,000,000","220,826,000,000","222,543,000,000","227,856,000,000","194,262,000,000","168,149,000,000","166,583,000,000","186,885,000,000","173,296,000,000","177,979,000,000","184,085,000,000","144,870,000,000","90,485,000,000","136,503,000,000","114,752,000,000","98,148,000,000","88,379,000,000","61,572,000,000","52,785,000,000","50,803,000,000","55,651,000,000","15,563,000,000","6,180,000,000"
TaxRateForCalcs,"0.129","0.199","0.204","0.188","0.258","0.224","0.268","0.261","0.263","0.25","0.248","0.2","0.25","0.311","0.307","0.307","0.3","0.312","0.309","0.328","0.307","0.14","0.4"
TaxEffectOfUnusualItems,"-404,677,850.73","-1,293,791,497.548","-1,546,515,780.446","-3,793,682,780.258","639,674,264.825","-1,894,292,090.907","-207,083,720.078","-219,618,829.693","-258,080,426.292","-274,276,861.282","-3,411,640,313.232","-1,369,878,959.388","-2,377,500,000","-899,080,363.281","253,312,619.451","531,898,604.47","293,990,847.109","81,711,877.395","74,239,505.724","300,372,453.928","337,639,434.013","119,510,801.728","381,600,000"
