name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"162,000,000",,,,"159,000,000",,,,"91,063,623",,,,"152,944,682",,,,"90,866,729",,,,"80,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"374,000,000",,,,"418,000,000",,,,"371,539,582",,,,"349,587,844",,,,"206,197,577",,,,"166,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"529,000,000",,,,"483,000,000",,,,"534,239,922",,,,"311,848,247",,,,"313,373,719",,,,"266,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315,000,000",,,,"315,000,000",,,,"342,399,224",,,,"189,691,131",,,,"175,908,667",,,,"140,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"338,000,000","331,000,000","290,000,000","690,000,000","673,000,000","260,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"155,000,000","117,000,000",,,,"133,000,000",,,"184,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","91,000,000","165,000,000",,,,,,,,,"7,438,895","6,918,819","104,846,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,"0","0","350,000,000","350,000,000","350,000,000","350,000,000","350,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,"232,000,000","201,000,000","230,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,260,557",,,,,"1",,"-1,062,699",,"-1","1","1",,,"160,000,000","130,000,000","130,000,000","130,000,000","156,000,000","127,000,000","134,000,000","135,000,000",,,"128,000,000","134,000,000","165,000,000",,"149,000,000","161,000,000",,"147,000,000","160,000,000","172,000,000","39,818,000","36,200,000","34,500,000","37,000,000","39,500,000","35,800,000","37,200,000","40,900,000","44,800,000","38,700,000","40,300,000","40,000,000","43,200,000","41,900,000","40,200,000","39,000,000","40,400,000","37,500,000","37,800,000","37,800,000","39,400,000",,,"31,400,000",,,,"26,400,000",,,
	TotalNonCurrentAssets,"35,258,000,000","34,855,000,000","36,399,000,000","35,481,000,000","35,309,000,000","34,309,000,000","33,331,000,000","33,130,000,000","32,821,000,000","32,280,000,000","30,801,000,000","30,803,000,000","31,160,000,000","30,867,000,000","30,563,000,000","29,904,000,000","29,692,000,000","29,883,000,000","30,239,000,000","32,864,000,000","33,004,000,000","31,922,000,000","31,668,000,000","31,326,000,000","31,232,000,000","30,413,000,000","29,699,000,000","29,273,000,000","28,813,000,000","28,044,000,000","27,524,000,000","27,601,000,000","27,028,000,000","26,830,000,000","26,286,000,000","25,619,000,000","25,630,000,000","25,903,000,000","25,623,000,000","25,754,000,000","25,555,000,000","26,197,000,000","26,305,000,000","26,959,000,000","27,891,087,861","27,434,434,191","12,122,631,467","11,128,638,307","11,014,298,940","10,568,080,246","10,264,334,691","4,906,482,465","4,913,514,760","4,551,491,146","4,125,405,164","4,527,607,362","4,542,000,000","4,542,000,000","4,388,000,000","4,219,000,000","4,248,000,000","4,248,000,000","4,453,000,000","4,588,000,000","4,523,000,000","4,334,000,000","4,261,000,000","3,978,000,000","4,177,000,000","4,003,000,000","3,968,000,000","3,857,000,000","4,116,000,000","4,109,000,000","4,220,000,000","4,014,000,000","3,961,000,000","3,906,000,000","2,556,476,000","2,406,200,000","2,326,300,000","2,310,700,000","2,199,600,000","2,117,900,000","2,049,600,000","1,963,900,000","2,040,100,000","1,989,900,000","1,922,200,000","1,929,100,000","2,237,900,000","2,212,300,000","2,079,800,000","2,040,300,000","2,002,900,000","1,733,800,000","1,728,700,000","1,715,700,000","1,721,800,000","1,693,500,000","1,574,900,000","1,573,800,000","1,518,200,000","1,492,700,000","1,446,500,000","1,121,500,000","1,103,600,000","1,157,800,000","1,115,900,000"
		NetPPE,"31,653,000,000","31,355,000,000","33,041,000,000","32,210,000,000","31,882,000,000","31,050,000,000","30,142,000,000","29,853,000,000","29,545,000,000","29,045,000,000","27,690,000,000","27,573,000,000","27,913,000,000","27,595,000,000","27,385,000,000","26,859,000,000","26,680,000,000","26,791,000,000","27,071,000,000","29,787,000,000","29,912,000,000","28,925,000,000","28,760,000,000","28,409,000,000","28,317,000,000","27,811,000,000","25,840,000,000","25,579,000,000","25,186,000,000","24,377,000,000","23,884,000,000","23,786,000,000","23,089,000,000","23,150,000,000","22,755,000,000","22,235,000,000","22,223,000,000","21,886,000,000","21,743,000,000","21,884,000,000","21,735,000,000","22,426,000,000","22,656,000,000","23,236,000,000","24,019,916,803","23,908,450,704","9,064,296,359","8,063,301,445","8,025,923,259","7,807,130,797","8,148,663,420","3,811,902,232","3,907,979,705","3,838,536,813","3,502,850,117","3,474,623,536","3,527,000,000","3,532,000,000","3,476,000,000","3,508,000,000","3,490,000,000","3,488,000,000","3,700,000,000","3,788,000,000","3,773,000,000","3,615,000,000","3,578,000,000","3,293,000,000","3,405,000,000","3,393,000,000","3,343,000,000","3,241,000,000","3,295,000,000","3,298,000,000","3,477,000,000","3,233,000,000","3,490,000,000","3,283,000,000","1,230,150,000","1,199,400,000","1,151,900,000","1,145,000,000","1,161,000,000","1,095,500,000","1,049,200,000","1,002,700,000","1,010,900,000","957,000,000","868,600,000","864,800,000","1,047,800,000","1,058,600,000","900,100,000","907,700,000","829,000,000","858,700,000","860,600,000","860,400,000","873,100,000","870,400,000","865,000,000","893,500,000","864,400,000","847,700,000","813,200,000","757,600,000","777,400,000","814,000,000","765,000,000"
			GrossPPE,,"49,356,000,000",,,,"47,753,000,000",,,,"43,873,000,000",,,,"41,973,000,000",,,,"39,756,000,000",,,,"39,743,000,000",,,,"37,095,000,000",,,,"32,287,000,000",,,,"30,168,000,000",,,,"26,682,000,000",,,,"26,400,000,000",,,"24,019,916,803","28,173,870,811","12,476,048,541","11,475,676,776","11,438,123,650","11,219,584,864","11,462,784,457","7,125,398,513","7,222,094,096","7,152,842,498","6,615,625,349","6,587,841,606","6,640,000,000","6,645,000,000","6,361,000,000","6,393,000,000","6,375,000,000","6,373,000,000","5,046,000,000","5,134,000,000","5,119,000,000","4,961,000,000","4,769,000,000","4,484,000,000","4,596,000,000","4,584,000,000","4,385,000,000","4,283,000,000","4,337,000,000","4,340,000,000","4,361,000,000","3,233,000,000","3,490,000,000","4,167,000,000","2,123,150,000","2,092,400,000","2,044,900,000","2,038,000,000","1,968,600,000","1,903,100,000","1,856,800,000","1,810,300,000","1,701,100,000","1,647,200,000","1,558,800,000","1,555,000,000","1,634,600,000","1,645,400,000","1,486,900,000","1,494,500,000","1,333,700,000","1,363,400,000","1,365,300,000","1,365,100,000","1,291,900,000","1,289,200,000","1,283,800,000","1,312,300,000","1,239,100,000","1,222,400,000","1,187,900,000","1,132,300,000","1,188,900,000","1,225,500,000","1,176,500,000"
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,018,000,000",,,,"23,882,000,000",,,,"23,465,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,484,000,000",,,,,,"2,834,000,000",,"3,233,000,000","198,000,000","2,454,000,000",,,,"852,700,000",,,,"874,900,000","1,701,100,000","1,647,200,000","1,558,800,000","857,600,000","1,634,600,000","1,645,400,000","1,486,900,000","807,900,000","1,333,700,000","1,363,400,000","1,365,300,000","769,600,000","1,291,900,000","1,289,200,000","1,283,800,000","727,200,000","1,239,100,000","1,222,400,000","1,187,900,000","731,400,000","1,188,900,000","1,225,500,000","1,176,500,000"
				OtherProperties,,"23,024,000,000",,,,"22,887,000,000",,,,"17,509,000,000",,,,"17,786,000,000",,,,"16,890,000,000",,,,"14,858,000,000",,,,"12,496,000,000",,,,"10,246,000,000",,,,,,,,,,,,,,,,"1,114,618,747",,,,"429,039,626",,,"6,982,241,697","413,560,112",,,,"273,000,000",,,,"176,000,000",,,,"343,000,000",,,,"348,000,000",,,,"308,000,000",,,,,,,,,,,,,,,,"-100,000",,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,"5,292,000,000",,,,"2,345,000,000",,,,"5,261,000,000",,,,"3,907,000,000",,,,"2,511,000,000",,,,"2,302,000,000",,,,"2,443,000,000",,,,"0",,,,"56,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"366,000,000",,,,"348,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,"-18,001,000,000",,,,"-16,703,000,000",,,,"-14,828,000,000",,,,"-14,378,000,000",,,,"-12,965,000,000",,,,"-10,818,000,000",,,,"-9,284,000,000",,,,"-7,910,000,000",,,,"-7,018,000,000",,,,"-4,796,000,000",,,,"-3,974,000,000",,,,"-4,265,420,107","-3,411,752,182","-3,412,375,331","-3,412,200,391","-3,412,454,067","-3,314,121,037","-3,313,496,281","-3,314,114,391","-3,314,305,685","-3,112,775,232","-3,113,218,070","-3,113,000,000","-3,113,000,000","-2,885,000,000","-2,885,000,000","-2,885,000,000","-2,885,000,000","-1,346,000,000","-1,346,000,000","-1,346,000,000","-1,346,000,000","-1,191,000,000","-1,191,000,000","-1,191,000,000","-1,191,000,000","-1,042,000,000","-1,042,000,000","-1,042,000,000","-1,042,000,000","-884,000,000",,,"-884,000,000","-893,000,000","-893,000,000","-893,000,000","-893,000,000","-807,600,000","-807,600,000","-807,600,000","-807,600,000","-690,200,000","-690,200,000","-690,200,000","-690,200,000","-586,800,000","-586,800,000","-586,800,000","-586,800,000","-504,700,000","-504,700,000","-504,700,000","-504,700,000","-418,800,000","-418,800,000","-418,800,000","-418,800,000","-374,700,000","-374,700,000","-374,700,000","-374,700,000","-411,500,000","-411,500,000","-411,500,000"
