name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996
TotalRevenue,"5,452,000,000","5,663,000,000","5,153,000,000","3,456,000,000","3,138,000,000","3,063,000,000","2,974,000,000","2,687,000,000","2,613,000,000","2,730,642,000","2,515,871,000","2,365,853,000","2,459,837,000","2,064,654,000","1,884,953,000","1,003,153,000","877,532,000","708,178,000","425,683,000","453,355,000","564,613,000","268,400,000","134,800,000","77,200,000","54,400,000"
	NetInterestIncome,"1,349,000,000","1,389,000,000","1,173,000,000","619,000,000","542,000,000","579,000,000","556,000,000","444,000,000","422,000,000","459,818,000","376,800,000","306,841,000","471,126,000","439,960,000","696,151,000","398,949,000","234,108,000","145,907,000","98,975,000","136,516,000","152,974,000","69,300,000","37,400,000","18,200,000","11,500,000"
		InterestIncome,"1,493,000,000","1,544,000,000","1,279,000,000","692,000,000","597,000,000","623,000,000","582,000,000","470,000,000","456,000,000","496,661,000","427,723,000","362,076,000","799,189,000","1,013,600,000","1,031,971,000","540,348,000","278,550,000","168,794,000","116,345,000","191,530,000","242,812,000","116,200,000","66,700,000","36,600,000","22,500,000"
			InterestIncomeFromSecurities,,"248,000,000","222,000,000","139,000,000","141,000,000","174,000,000","169,000,000","118,000,000",,,,,,,,,,,,,,,,,
			OtherInterestIncome,,"1,296,000,000","1,057,000,000","553,000,000","456,000,000","449,000,000","413,000,000","352,000,000",,,,,,,,,,,,,,,,,
		InterestExpense,"144,000,000","155,000,000","106,000,000","73,000,000","55,000,000","44,000,000","26,000,000","26,000,000","34,000,000","36,843,000","50,923,000","55,235,000","328,063,000","573,640,000","335,820,000","141,399,000","44,442,000","22,887,000","17,370,000","55,014,000","89,838,000","46,900,000","29,300,000","18,400,000","11,000,000"
			InterestExpenseForLongTermDebtAndCapitalSecurities,"137,000,000","144,000,000","99,000,000","71,000,000","53,000,000","43,000,000","25,000,000","25,000,000","28,000,000","32,017,000","44,858,000","40,070,000","78,447,000","118,173,000",,,,,,,,,,,
			OtherInterestExpense,,"11,000,000","7,000,000","2,000,000","2,000,000","1,000,000","1,000,000","1,000,000","6,000,000","4,826,000","6,065,000","15,165,000","249,616,000","455,467,000",,,,,,,,,,,
	NonInterestIncome,"4,103,000,000","4,274,000,000","3,980,000,000","2,837,000,000","2,596,000,000","2,484,000,000","2,418,000,000","2,243,000,000","2,191,000,000","2,270,824,000","2,139,071,000","2,059,012,000","1,988,711,000","1,624,694,000","1,188,802,000","604,204,000","643,424,000","562,271,000","326,708,000","316,839,000","411,639,000","199,100,000","97,400,000","59,000,000","42,900,000"
		FeesAndCommissions,"3,885,000,000","4,096,000,000","3,878,000,000","2,765,000,000","2,536,000,000","2,426,000,000","2,346,000,000","2,116,000,000","2,111,000,000","2,156,985,000","2,005,275,000","2,005,579,000","1,955,592,000","1,581,344,000","1,052,007,000","523,985,000","560,052,000","472,760,000","252,526,000","269,384,000","389,742,000","188,900,000","85,600,000","51,900,000","36,500,000"
			FeesandCommissionIncome,"4,117,000,000","4,305,000,000","4,067,000,000","2,914,000,000","2,672,000,000","2,574,000,000","2,480,000,000","2,225,000,000","2,111,000,000","2,156,985,000","2,005,275,000","2,005,579,000","1,955,592,000","1,581,344,000","1,052,007,000","523,985,000","560,052,000","472,760,000","252,526,000","269,384,000","389,742,000","188,900,000","85,600,000","51,900,000","36,500,000"
				ServiceChargeOnDepositorAccounts,"4,117,000,000","4,305,000,000","4,067,000,000","2,914,000,000","2,672,000,000","2,574,000,000","2,480,000,000","2,225,000,000","828,000,000","762,527,000","682,206,000","568,084,000",,,,,,,,,,,,,
				TrustFeesbyCommissions,,,,,,,,,,,,,,,,,,,,,,,,"51,900,000","36,500,000"
				OtherCustomerServices,,"2,002,000,000","1,969,000,000","1,384,000,000","1,372,000,000","1,401,000,000","1,351,000,000","1,171,000,000","1,283,000,000","1,394,458,000","1,323,069,000","1,437,495,000",,,,,,,,,,,,,
			FeesandCommissionExpense,"232,000,000","209,000,000","189,000,000","149,000,000","136,000,000","148,000,000","134,000,000","109,000,000",,,,,,,,,,,,,,,,,
		GainLossonSaleofAssets,,"0","-11,000,000","0","0","7,000,000","10,000,000","57,000,000","0",,"38,000","-2,003,000","928,000","5,881,000",,,,,,"9,692,000",,,,,
			GainOnSaleOfSecurity,,"0","-11,000,000","0","0","7,000,000","10,000,000","57,000,000",,,"38,000","-2,003,000","928,000","5,881,000",,,,,,,,,,,
			GainonSaleofInvestmentProperty,,,,,,,,,"0",,"-38,000","-2,003,000",,,,,,,,"9,692,000",,,,,
