name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
TotalRevenue,"1,681,357,000","1,681,357,000","1,633,721,000","1,560,258,000","1,572,275,000","1,502,958,000","1,537,610,000","1,477,219,000"
	OperatingRevenue,"1,577,808,000","1,577,808,000","1,555,056,000","1,490,394,000","1,514,134,000","1,472,029,000","1,515,733,000","1,460,306,000"
CostOfRevenue,"809,122,000","809,122,000","791,370,000","759,466,000","773,550,000","727,120,000","779,678,000","744,090,000"
GrossProfit,"872,235,000","872,235,000","842,351,000","800,792,000","798,725,000","775,838,000","757,932,000","733,129,000"
OperatingExpense,"686,582,000","686,582,000","670,016,000","634,484,000","656,216,000","656,612,000","653,685,000","617,277,000"
	SellingGeneralAndAdministration,"627,503,000","627,503,000","611,883,000","579,837,000","600,804,000","604,018,000","602,755,000","568,421,000"
	ResearchAndDevelopment,"51,601,000","51,601,000","51,489,000","48,148,000","48,804,000","45,977,000","44,243,000","42,152,000"
	DepreciationAmortizationDepletionIncomeStatement,"7,478,000","7,478,000","6,644,000","6,499,000","6,608,000","6,617,000","6,687,000","6,704,000"
		DepreciationAndAmortizationInIncomeStatement,"7,478,000","7,478,000","6,644,000","6,499,000","6,608,000","6,617,000","6,687,000","6,704,000"
			Amortization,"7,478,000","7,478,000","6,644,000","6,499,000","6,608,000","6,617,000","6,687,000","6,704,000"
				AmortizationOfIntangiblesIncomeStatement,"7,478,000","7,478,000","6,644,000","6,499,000","6,608,000","6,617,000","6,687,000","6,704,000"
OperatingIncome,"185,653,000","185,653,000","172,335,000","166,308,000","142,509,000","119,226,000","104,247,000","115,852,000"
NetNonOperatingInterestIncomeExpense,"-18,624,000","-18,624,000","-17,926,000","-15,709,000","-49,908,000","-60,294,000","-63,529,000","-68,149,000"
	InterestIncomeNonOperating,"848,000","848,000","1,245,000","1,198,000","1,351,000","1,693,000","924,000","570,000"
	InterestExpenseNonOperating,"19,472,000","19,472,000","19,171,000","16,907,000","51,259,000","61,987,000","64,453,000","68,719,000"
	TotalOtherFinanceCost,"19,613,000","19,613,000","18,402,000",,"49,908,000",,,
OtherIncomeExpense,"-1,864,000","-1,864,000","-4,105,000","1,077,000","-3,379,000","-26,782,000","1,348,000","-6,240,000"
	GainOnSaleOfSecurity,"-989,000","-989,000","-476,000",,"-6,112,000","-28,364,000","1,887,000","976,000"
	SpecialIncomeCharges,"498,000","498,000","258,000","-177,000","501,000","1,364,000","-1,386,000","-7,300,000"
		RestructuringAndMergernAcquisition,,,"0","0","1,673,000","1,643,000","0","955,000"
		OtherSpecialCharges,"-498,000","-498,000","-258,000","177,000","-2,174,000","-3,007,000","1,386,000","6,345,000"
	OtherNonOperatingIncomeExpenses,"-1,373,000","-1,373,000","-3,887,000","1,254,000","2,232,000","218,000","847,000","84,000"
PretaxIncome,"165,165,000","165,165,000","150,304,000","151,676,000","89,222,000","32,150,000","42,066,000","41,463,000"
TaxProvision,"40,600,000","40,600,000","47,232,000","55,056,000","39,707,000","27,994,000","16,700,000","17,150,000"
NetIncomeCommonStockholders,"121,070,000","121,070,000","99,872,000","92,114,000","23,189,000","16,706,000","3,906,000","19,636,000"
	NetIncome,"121,070,000","121,070,000","99,872,000","92,114,000","45,012,000","-966,000","21,557,000","19,636,000"
		NetIncomeIncludingNoncontrollingInterests,"124,565,000","124,565,000","103,072,000","96,620,000","49,515,000","4,156,000","25,366,000","24,313,000"
			NetIncomeContinuousOperations,"124,565,000","124,565,000","103,072,000","96,620,000","49,515,000","4,156,000","25,366,000","24,313,000"
		MinorityInterests,"-3,495,000","-3,495,000","-3,200,000","-4,506,000","-4,503,000","-5,122,000","-3,809,000","-4,677,000"
	PreferredStockDividends,,,,,"11,576,000",,"13,785,000",
	OtherunderPreferredStockDividend,,,"0","0","10,247,000","-17,672,000","3,866,000",
AverageDilutionEarnings,,,"0","0","16,475,000",,"0",
DilutedNIAvailtoComStockholders,"121,070,000","121,070,000","99,872,000","92,114,000","39,664,000","16,706,000","3,906,000","19,636,000"
BasicEPS,,"1.61","1.336","1.24","0.313","0.24","0.23","0.277"
DilutedEPS,,"1.6","1.336","1.23","0.313","0.24","0.23","0.277"
BasicAverageShares,,"75,418,204","74,760,062","74,399,836","74,093,598","69,106,356","16,716,825","70,988,319"
DilutedAverageShares,,"75,759,605","74,760,062","74,590,999","74,093,598","69,107,445","16,716,825","70,992,198"
TotalOperatingIncomeAsReported,"185,653,000","185,653,000","172,335,000","166,308,000","140,836,000","117,583,000","104,247,000","114,897,000"
TotalExpenses,"1,495,704,000","1,495,704,000","1,461,386,000","1,393,950,000","1,429,766,000","1,383,732,000","1,433,363,000","1,361,367,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"121,070,000","121,070,000","99,872,000","92,114,000","45,012,000","-966,000","21,557,000","19,636,000"
NormalizedIncome,"121,440,214","121,440,214","100,021,548","92,226,749","48,378,600","15,234,000","21,254,897","23,746,600"
InterestIncome,"848,000","848,000","1,245,000","1,198,000","1,351,000","1,693,000","924,000","570,000"
