name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
TotalRevenue,"588,916,000","158,153,000","150,462,000","145,031,000","135,270,000","126,018,000","119,042,000","110,325,000","98,701,000","90,597,000","82,989,000","76,240,000","67,035,000","60,764,000","53,136,000"
	OperatingRevenue,"588,916,000","158,153,000","150,462,000","145,031,000","135,270,000","126,018,000","119,042,000","110,325,000","98,701,000","90,597,000","82,989,000","76,240,000","67,035,000","60,764,000","53,136,000"
CostOfRevenue,"36,300,000","10,560,000","9,392,000","8,628,000","7,720,000","6,871,000","6,412,000","5,959,000","5,569,000","5,242,000","4,720,000","4,322,000","3,325,000","2,904,000","2,852,000"
GrossProfit,"552,616,000","147,593,000","141,070,000","136,403,000","127,550,000","119,147,000","112,630,000","104,366,000","93,132,000","85,355,000","78,269,000","71,918,000","63,710,000","57,860,000","50,284,000"
OperatingExpense,"518,294,000","133,958,000","131,366,000","132,855,000","120,115,000","104,957,000","108,995,000","102,922,000","89,210,000","85,323,000","75,406,000","65,923,000","57,326,000","53,254,000","47,027,000"
	SellingGeneralAndAdministration,"444,278,000","114,418,000","112,455,000","114,329,000","103,076,000","90,064,000","95,497,000","90,474,000","79,379,000","76,260,000","68,897,000","60,566,000","53,130,000","49,366,000","43,611,000"
		GeneralAndAdministrativeExpense,"50,434,000","13,812,000","12,322,000","12,540,000","11,760,000","11,433,000","10,630,000","9,541,000","7,871,000","8,590,000","5,006,000","5,033,000","4,059,000","4,064,000","3,101,000"
			OtherGandA,"50,434,000","13,812,000","12,322,000","12,540,000","11,760,000","11,433,000","10,630,000","9,541,000","7,871,000","8,590,000","5,006,000","5,033,000","4,059,000","4,064,000","3,101,000"
		SellingAndMarketingExpense,"393,844,000","100,606,000","100,133,000","101,789,000","91,316,000","78,631,000","84,867,000","80,933,000","71,508,000","67,670,000","63,891,000","55,533,000","49,071,000","45,302,000","40,510,000"
	ResearchAndDevelopment,"69,462,000","18,399,000","17,745,000","17,346,000","15,972,000","14,153,000","12,771,000","11,844,000","9,098,000","8,317,000","5,796,000","4,709,000","3,648,000","3,319,000","2,984,000"
	DepreciationAmortizationDepletionIncomeStatement,"4,554,000","1,141,000","1,166,000","1,180,000","1,067,000","740,000","727,000","604,000","733,000","746,000","713,000","648,000","548,000","569,000","432,000"
		DepreciationAndAmortizationInIncomeStatement,"4,554,000","1,141,000","1,166,000","1,180,000","1,067,000","740,000","727,000","604,000","733,000","746,000","713,000","648,000","548,000","569,000","432,000"
OperatingIncome,"34,322,000","13,635,000","9,704,000","3,548,000","7,435,000","14,190,000","3,635,000","1,444,000","3,922,000","32,000","2,863,000","5,995,000","6,384,000","4,606,000","3,257,000"
