name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,815,413","6,367,223.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"61,947,000","354,459,000","255,990,000","260,615,000","14,851,000","194,631,000","6,686,000","189,954,000","9,428,000","182,208,000","10,833,000","13,233,000","11,921,000","176,188,000","11,301,000","11,212,000","9,914,000","173,117,000","178,245,000","19,750,000","159,271,000","167,478,000","8,278,000","154,190,000","153,972,000","162,547,000","148,200,000","145,571,000","146,841,000","-370,077,000","135,017,000","135,393,000","8,085,000","-22,576,000","8,987,000",,"7,177,000","-276,399,000","94,271,000","93,162,000","6,901,000","-244,084,000","90,055,000","98,353,000","91,704,000",,"957,000","103,503,000","95,907,000","405,295,800",,,"103,719,924","94,743,639","100,172,111","90,227,582.5","85,695,288","85,641,989.95","81,723,395.25","82,841,420","78,896,304.5","81,027,687","76,329,582","75,693,777","75,903,685","73,347,435","73,325,092.5","72,057,804","72,621,384","73,300,680","69,833,115","70,789,317","70,238,252","50,390,871","79,476,750.5","66,492,814.5","66,143,341","171,013,670","67,470,960","64,573,560","63,934,500","152,787,690","59,520,000","51,330,000","58,652,000"
		DepreciationAndAmortizationInIncomeStatement,"61,947,000","354,459,000","255,990,000","260,615,000","14,851,000","194,631,000","6,686,000","189,954,000","9,428,000","182,208,000","10,833,000","13,233,000","11,921,000","176,188,000","11,301,000","11,212,000","9,914,000","173,117,000","178,245,000","19,750,000","159,271,000","167,478,000","8,278,000","154,190,000","153,972,000","162,547,000","148,200,000","145,571,000","146,841,000","-370,077,000","135,017,000","135,393,000","8,085,000","-22,576,000","8,987,000",,"7,177,000","-276,399,000","94,271,000","93,162,000","6,901,000","-244,084,000","90,055,000","98,353,000","91,704,000",,"957,000","103,503,000","95,907,000","405,295,800",,,"103,719,924","94,743,639","100,172,111","90,227,582.5","85,695,288","85,641,989.95","81,723,395.25","82,841,420","78,896,304.5","81,027,687","76,329,582","75,693,777","75,903,685","73,347,435","73,325,092.5","72,057,804","72,621,384","73,300,680","69,833,115","70,789,317","70,238,252","50,390,871","79,476,750.5","66,492,814.5","66,143,341","171,013,670","67,470,960","64,573,560","63,934,500","152,787,690","59,520,000","51,330,000","58,652,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,806,000",,,,,,,,,,,,,,,,"103,719,924",,"100,172,111","90,227,582.5","85,695,288",,"81,723,395.25","82,841,420","78,896,304.5",,"76,329,582","75,693,777","75,903,685",,"73,325,092.5","72,057,804","72,621,384",,"69,833,115","70,789,317","70,238,252","50,390,871","79,476,750.5","66,492,814.5","66,143,341","171,013,670","67,470,960","64,573,560","63,934,500","152,787,690","59,520,000","51,330,000","58,652,000"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"371,000",,,,,,,,,,"957,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"371,000",,,,,,,,,,"957,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,072,000",,,"17,236,000",,"5,093,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-657,813","-132,019.25","-4,990,209.4","2,006,153,891.55","-34,166,755.35",,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"534,962,000","-39,967,000","116,945,000","211,252,000","121,452,000","156,115,000","133,483,000","137,749,000","119,075,000","333,751,000","140,815,000","64,085,000","94,135,000","661,737,000","138,658,000","-53,794,000","135,889,000","-180,594,000","224,597,000","178,796,000","337,981,000","1,054,515,000","173,520,000","197,318,000","138,714,000","69,753,000","142,839,000","201,114,000","87,061,000","256,962,000","60,619,000","56,431,000","70,095,000","275,211,000","36,540,000","86,585,000","34,133,000",,"-37,529,000",,"11,656,000",,"1,866,000","24,241,000","3,307,000",,"36,380,000","701,262,000","-91,768,000",,"-15,698,880","-41,214,474","27,616,908",,"-16,089,281","266,202.75","15,404,748.2",,"303,741,766.35","22,361,043.5","2,658.5",,"-19,655,625",,,,"63,968,802.5","261,084,738","3,336",,"306,382,395",,"-2,324","-80,242,824","80,240,513.5","2,309.5",,,,,,,,,
OperatingIncome,"3,083,925,000","622,723,000","913,127,000","695,088,000","852,987,000","551,088,000","537,045,000","607,944,000","562,082,000","292,540,000","483,967,000","473,845,000","789,290,000","30,240,000","179,131,000","1,311,621,000","301,415,000","843,172,000","61,825,000","281,905,000","629,291,000","311,311,000","306,050,000","283,278,000","649,320,000","43,166,000","289,992,000","280,970,000","498,459,000","-153,813,000","365,055,000","243,340,000","460,928,000","164,011,000","378,297,000","349,063,000","453,177,000","698,990,000","396,517,000","200,394,000","265,633,000","172,043,000","390,202,000","536,574,000","400,402,000","495,859,000","350,575,000","549,205,000","389,836,000","411,083,120","351,647,920","402,443,478","435,474,732","408,738,328","298,842,492","582,116,158.25","274,020,885.2","318,322,445.55","179,553,753","192,582,686.5","145,247,147.5","116,550,973","196,619,148","145,800,566","162,114,810","-213,602,872.5","73,366,077.5","29,008,459","-76,464,456","512,754,805","-211,479,180","131,123,000","237,726,608","338,716,345.5","58,283,662.5","127,553,685","130,615,925","97,776,240","204,646,640","126,844,800","138,640,250","68,423,450","134,400,000","86,022,000","53,836,000"
