name,ttm,12/31/2019
MarketCap,"4,707,392,005","7,232,964,837"
PeRatio,"3.012","4.813"
ForwardPeRatio,"3.872","4.708"
PsRatio,"0.727","1.14"
PbRatio,"0.276","0.405"
