name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"16,606,914,651","29,034,212,692","28,335,227,910","34,720,849,472","15,485,923,457","23,753,589,913","19,614,913,528","9,874,812,111"
EnterpriseValue,"13,673,979,645","27,506,301,428","31,739,475,440","42,234,628,912","23,614,423,315","34,228,497,583","36,558,934,054","25,526,976,417"
PeRatio,"4.392","9.044","6.384","7.38","8.458","32.727","11.479","20.313"
ForwardPeRatio,"3.559","4.158","3.745","5.931","4.929","10.225","14.085",
PegRatio,"4.09","4.779","0.692","2.024","0.401","0.682","0.241",
PsRatio,"0.109","0.191","0.174","0.205","0.121","0.168","0.126","0.085"
PbRatio,"0.531","0.944","1.083","1.434","0.97","1.53","1.549","1.15"
EnterprisesValueRevenueRatio,"0.131","0.254","0.287","0.381","0.213","0.309","0.38","0.294"
EnterprisesValueEBITDARatio,"1.578","2.644","3.002","3.175","2.221","4.073","4.379","3.294"
