name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
		NonCurrentDeferredTaxesLiabilities,"2,098,000","18,325,000","16,004,000","25,614,000","36,303,000","66,181,000","89,369,000","118,240,000","127,766,000","130,211,000","147,608,000","185,169,000","216,903,000","245,897,000"
		NonCurrentDeferredRevenue,"82,842,000","80,524,000","72,222,000","62,785,000","65,480,000","64,482,000","73,739,000","61,808,000","59,537,000","53,618,000","45,844,000","36,658,000","40,897,000","31,113,000"
	OtherLiabilities,"269,289,000","223,123,000",,,,,,,,,"4,003,000","3,910,000","12,837,000","10,806,000"
TotalEquityGrossMinorityInterest,"1,023,873,000","974,073,000","965,008,000","820,995,000","715,610,000","971,600,000","1,099,971,000","1,140,020,000","1,344,748,000","1,173,755,000","850,875,000","790,312,000","747,166,000","626,917,000"
	StockholdersEquity,"1,023,873,000","974,073,000","965,008,000","820,995,000","715,610,000","971,600,000","1,099,971,000","1,140,020,000","1,344,748,000","1,173,755,000","850,875,000","790,312,000","747,166,000","626,917,000"
		CapitalStock,"126,000","125,000","123,000","120,000","119,000","118,000","117,000","116,000","110,000","109,000","87,000","87,000","86,000","83,000"
			CommonStock,"126,000","125,000","123,000","120,000","119,000","118,000","117,000","116,000","110,000","109,000","87,000","87,000","86,000","83,000"
		RetainedEarnings,"1,554,567,000","1,070,146,000","718,336,000","569,949,000","469,130,000","396,121,000","313,570,000","199,827,000","296,802,000","126,420,000","183,282,000","135,762,000","90,266,000","33,642,000"
		AdditionalPaidInCapital,"1,703,973,000","1,634,337,000","1,556,117,000","1,445,256,000","1,418,298,000","1,355,085,000","1,292,374,000","1,228,075,000","1,137,723,000","1,051,722,000","679,277,000","670,897,000","664,568,000","591,254,000"
		TreasuryStock,"2,234,793,000","1,730,535,000","1,309,568,000","1,194,645,000","1,172,490,000","780,661,000","506,205,000","287,998,000","89,037,000",,,,,
		GainsLossesNotAffectingRetainedEarnings,,,,"315,000","553,000","937,000","115,000","0","-850,000","-4,496,000","-11,272,000","-15,498,000","-6,512,000","1,938,000"
		OtherEquityInterest,,,,,,,,,,,"-499,000","-936,000","-1,242,000",
TotalCapitalization,"3,377,691,000","3,345,881,000","3,350,030,000","2,996,431,000","2,903,850,000","2,495,858,000","2,635,067,000","2,457,845,000","2,677,416,000","2,560,394,000","2,220,098,000","2,257,959,000","2,198,237,000","1,971,292,000"
CommonStockEquity,"1,023,873,000","974,073,000","965,008,000","820,995,000","715,610,000","971,600,000","1,099,971,000","1,140,020,000","1,344,748,000","1,173,755,000","850,875,000","790,312,000","747,166,000","626,917,000"
CapitalLeaseObligations,"250,492,000","104,564,000","107,518,000","105,649,000","59,940,000",,,,,,,,,
NetTangibleAssets,"-919,613,000","-1,000,345,000","-876,854,000","-898,839,000","-1,042,259,000","-824,942,000","-725,912,000","-735,031,000","-527,008,000","-679,688,000","-1,039,574,000","-1,157,757,000","-1,224,713,000","-1,197,350,000"
InvestedCapital,"3,422,691,000","3,345,881,000","3,350,030,000","2,996,431,000","2,903,850,000","2,605,858,000","2,635,067,000","2,457,845,000","2,677,416,000","2,560,394,000","2,220,098,000","2,257,959,000","2,198,237,000","1,975,010,000"
TangibleBookValue,"-919,613,000","-1,000,345,000","-876,854,000","-898,839,000","-1,042,259,000","-824,942,000","-725,912,000","-735,031,000","-527,008,000","-679,688,000","-1,039,574,000","-1,157,757,000","-1,224,713,000","-1,197,350,000"
TotalDebt,"2,649,310,000","2,476,372,000","2,492,540,000","2,281,085,000","2,248,180,000","1,634,258,000","1,535,096,000","1,317,825,000","1,332,668,000","1,386,639,000","1,369,223,000","1,467,647,000","1,451,071,000","1,348,093,000"
NetDebt,"985,912,000","875,517,000","810,055,000","659,508,000","792,372,000","652,996,000","506,161,000","274,131,000","611,896,000","967,431,000","990,629,000","1,248,408,000","1,263,068,000","1,102,930,000"
ShareIssued,"126,494,028","124,909,796","123,030,383","119,917,854","119,572,352","118,234,552","117,112,465","115,713,741","110,531,939","108,840,975","107,183,866","107,183,866","107,183,866","107,183,866"
OrdinarySharesNumber,"80,234,039","85,089,150","89,768,268","89,296,584","89,524,325","97,144,670","101,896,164","106,291,941","107,914,310","108,840,975","107,183,866","107,183,866","107,183,866","107,183,866"
TreasurySharesNumber,"46,259,989","39,820,646","33,262,115","30,621,270","30,048,027","21,089,882","15,216,301","9,421,800","2,617,629",,,,,
