name,ttm,12/31/2019,12/31/2018,12/31/2017
MarketCap,"4,389,163,435","5,155,073,764","2,527,543,160","4,649,386,833"
EnterpriseValue,"5,470,975,435","6,043,210,764","2,673,025,160","4,836,238,833"
PeRatio,"28.6","40.008","18.369","63.697"
ForwardPeRatio,"54.348","37.736","24.155","60.606"
PsRatio,"2.127","2.719","1.63","3.619"
PbRatio,"5.423","7.13","4.484","11.978"
EnterprisesValueRevenueRatio,"2.577","2.954","1.563","3.492"
EnterprisesValueEBITDARatio,"22.331","25.916","14.583","32.158"
