name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalAssets,"16,741,100,000","16,107,500,000","5,539,516,000","5,706,971,000","5,802,242,000","2,285,322,000","2,275,324,000","2,362,905,000","1,207,608,000","1,275,726,000","1,185,641,000","1,127,353,000","1,190,495,000","1,152,521,000"
	CurrentAssets,"2,785,900,000","2,048,100,000","359,457,000","415,112,000","675,066,000","235,172,000","221,176,000","206,917,000","95,559,000","139,690,000","69,268,000","75,721,000","69,475,000","51,236,000"
		CashCashEquivalentsAndShortTermInvestments,"152,800,000","166,700,000","64,057,000","117,558,000","434,159,000","109,577,000","84,470,000","86,160,000","40,318,000","84,843,000","19,055,000","29,299,000","19,175,000","11,718,000"
			CashAndCashEquivalents,"152,800,000","166,700,000","64,057,000","117,558,000","434,159,000","109,577,000","84,470,000","86,160,000","40,318,000","84,843,000","19,055,000","29,299,000","19,175,000","11,718,000"
				CashFinancial,,,,,,"109,577,000","84,470,000","86,160,000","40,318,000",,,,,
		Receivables,"2,419,600,000","1,714,900,000","243,900,000","241,307,000","169,951,000","94,359,000","91,221,000","91,690,000","47,201,000","45,531,000","42,269,000","38,318,000","39,546,000","31,695,000"
			AccountsReceivable,"488,500,000","516,400,000","179,019,000","172,642,000","130,394,000","58,223,000","57,634,000","62,673,000","47,201,000","45,531,000","41,600,000","38,318,000","39,546,000","31,695,000"
				GrossAccountsReceivable,,,,,,,,,"49,207,000",,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,"-2,006,000",,,,,
			TaxesReceivable,,,,,,,,,,,"669,000",,,"0"
			OtherReceivables,"1,944,300,000","1,207,900,000","71,620,000","74,609,000","42,514,000","38,377,000","36,087,000","31,376,000",,,,,,
			ReceivablesAdjustmentsAllowances,"-13,200,000","-9,400,000","-6,739,000","-5,944,000","-2,957,000","-2,241,000","-2,500,000","-2,359,000",,,,,,
		PrepaidAssets,"204,500,000","160,100,000","50,908,000","54,131,000","68,138,000","26,784,000","36,499,000","21,199,000","6,002,000","8,174,000","6,164,000","4,327,000","9,585,000","7,823,000"
		RestrictedCash,"9,000,000","6,400,000","592,000","2,116,000","2,818,000","1,477,000","2,460,000","2,460,000","1,149,000",,,,,
		CurrentDeferredAssets,,,,,"0","2,975,000","6,526,000","5,408,000","889,000","1,142,000","1,780,000",,"1,169,000",
			CurrentDeferredTaxesAssets,,,,,"0","2,975,000","6,526,000","5,408,000","889,000","1,142,000","1,780,000",,"1,169,000",
		OtherCurrentAssets,,,,,,,,,,,,"3,777,000",,
	TotalNonCurrentAssets,"13,955,200,000","14,059,400,000","5,180,059,000","5,291,859,000","5,127,176,000","2,050,150,000","2,054,148,000","2,155,988,000","1,112,049,000","1,136,036,000","1,116,373,000","1,051,632,000","1,121,020,000","1,101,285,000"
		NetPPE,"841,700,000","553,200,000","100,956,000","80,395,000","67,143,000","54,277,000","51,697,000","55,039,000","14,304,000","13,570,000","14,036,000","14,030,000","13,040,000","10,019,000"
			GrossPPE,"1,152,100,000","749,000,000","201,337,000","165,415,000","137,784,000","110,740,000","98,685,000","89,258,000","41,270,000","36,012,000","31,273,000","25,830,000","22,054,000","15,018,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"47,500,000","54,800,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000",,,,,,
				BuildingsAndImprovements,"302,200,000","309,500,000","59,935,000","42,749,000","37,855,000","28,521,000","30,053,000","28,557,000",,,,,,
				MachineryFurnitureEquipment,"427,100,000","384,700,000","138,747,000","120,011,000","97,274,000","79,564,000","65,977,000","58,046,000","34,802,000","30,407,000","25,915,000","20,978,000","17,532,000","12,168,000"
				OtherProperties,"375,300,000",,,,,,,,,,,,,
				Leases,,,,,,,,,"6,468,000","5,605,000","5,358,000","4,852,000","4,522,000","2,850,000"
			AccumulatedDepreciation,"-310,400,000","-195,800,000","-100,381,000","-85,020,000","-70,641,000","-56,463,000","-46,988,000","-34,219,000","-26,966,000","-22,442,000","-17,237,000","-11,800,000","-9,014,000","-4,999,000"
		GoodwillAndOtherIntangibleAssets,"12,455,400,000","12,861,900,000","5,049,600,000","5,185,428,000","5,039,253,000","1,961,661,000","1,965,577,000","2,064,036,000","1,096,634,000","1,121,780,000","1,101,838,000","1,037,602,000","1,107,980,000","1,091,266,000"
			Goodwill,"7,959,900,000","7,858,000,000","3,707,823,000","3,652,733,000","3,549,212,000","1,573,227,000","1,541,386,000","1,559,607,000","931,639,000","926,668,000","885,517,000","822,409,000","860,690,000","820,470,000"
			OtherIntangibleAssets,"4,495,500,000","5,003,900,000","1,341,777,000","1,532,695,000","1,490,041,000","388,434,000","424,191,000","504,429,000","164,995,000","195,112,000","216,321,000","215,193,000","247,290,000","270,796,000"
		InvestmentsAndAdvances,"394,900,000","429,800,000",,,,,,,,,,,,
			LongTermEquityInvestment,"234,800,000","239,300,000",,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"234,800,000","239,300,000",,,,,,,,,,,,
			InvestmentinFinancialAssets,"83,400,000","77,600,000",,,,,,,,,,,,
				AvailableForSaleSecurities,"83,400,000","77,600,000",,,,,,,,,,,,
			OtherInvestments,"76,700,000","112,900,000",,,,,,,,,,,,
		NonCurrentAccountsReceivable,"78,600,000","31,500,000",,,,,,,,,,,,
		NonCurrentDeferredAssets,,"4,800,000","2,324,000","2,410,000","2,199,000","1,135,000","1,077,000","1,459,000","1,111,000","686,000","499,000",,,
			NonCurrentDeferredTaxesAssets,,"4,800,000","2,324,000","2,410,000","2,199,000","1,135,000","1,077,000","1,459,000","1,111,000","686,000","499,000",,,
		OtherNonCurrentAssets,"184,600,000","178,200,000","27,179,000","23,626,000","18,581,000","33,077,000","35,797,000","35,454,000",,,,,,
TotalLiabilitiesNetMinorityInterest,"11,625,000,000","11,527,500,000","2,853,128,000","3,448,393,000","3,696,796,000","938,652,000","1,043,616,000","1,287,402,000","227,505,000","418,543,000","539,654,000","540,100,000","577,902,000","589,389,000"
	CurrentLiabilities,"2,776,200,000","1,921,800,000","443,660,000","560,625,000","416,718,000","191,595,000","167,002,000","160,252,000","84,488,000","76,374,000","83,878,000","66,872,000","61,459,000","52,548,000"
		PayablesAndAccruedExpenses,"346,200,000","251,900,000","105,180,000","95,141,000","78,519,000","43,786,000","36,565,000","34,492,000","18,323,000","33,001,000","39,208,000","33,927,000","29,550,000","20,791,000"
			Payables,"50,200,000","52,500,000","33,118,000","19,963,000","13,385,000","13,120,000","10,537,000","11,842,000","4,170,000","3,790,000","5,507,000","6,719,000","5,739,000","2,496,000"
				AccountsPayable,"36,900,000","41,400,000","27,087,000","16,490,000","11,957,000","12,004,000","8,368,000","10,528,000","4,170,000","3,790,000","4,804,000","1,821,000","2,558,000","2,305,000"
				TotalTaxPayable,"13,300,000","11,100,000","6,031,000","3,473,000","1,428,000","1,116,000","2,169,000","1,314,000",,"0","703,000","4,898,000","3,181,000","191,000"
					IncomeTaxPayable,"13,300,000","11,100,000","6,031,000","3,473,000","1,428,000","1,116,000","2,169,000","1,314,000",,"0","703,000","4,898,000","3,181,000","191,000"
			CurrentAccruedExpenses,"296,000,000","199,400,000","72,062,000","75,178,000","65,134,000","30,666,000","26,028,000","22,650,000","14,153,000","29,211,000","33,701,000","27,208,000","23,811,000","18,295,000"
				InterestPayable,"27,600,000","200,000","16,425,000","21,470,000","28,903,000",,,"0","95,000","1,305,000","2,070,000","2,007,000","2,090,000","2,177,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"290,600,000","322,000,000","96,016,000","104,118,000","83,894,000","53,975,000","44,664,000","39,812,000","19,770,000",,,,,
		CurrentDebtAndCapitalLeaseObligation,"76,300,000","87,500,000","37,863,000","126,144,000","32,281,000","20,470,000","23,212,000","22,248,000",,"1,702,000","4,270,000","2,101,000","2,429,000","5,694,000"
			CurrentDebt,"76,300,000","87,500,000","37,863,000","126,144,000","32,281,000","20,470,000","23,212,000","22,248,000",,"1,702,000","4,270,000","2,101,000","2,429,000","5,694,000"
		CurrentDeferredLiabilities,"333,200,000","245,700,000","204,601,000","235,222,000","222,024,000","73,364,000","62,561,000","63,700,000","46,395,000","41,671,000","40,400,000","30,844,000","29,480,000","26,063,000"
			CurrentDeferredTaxesLiabilities,,,,,"0","110,000",,,,,,,"0","384,000"
			CurrentDeferredRevenue,"333,200,000","245,700,000","204,601,000","235,222,000","222,024,000","73,254,000","62,561,000","63,700,000","46,395,000","41,671,000","40,400,000","30,844,000","29,480,000","25,679,000"
		OtherCurrentLiabilities,"1,729,900,000","1,014,700,000",,,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"8,848,800,000","9,605,700,000","2,409,468,000","2,887,768,000","3,280,078,000","747,057,000","876,614,000","1,127,150,000","143,017,000","342,169,000","455,776,000","473,228,000","516,443,000","536,841,000"
		LongTermDebtAndCapitalLeaseObligation,"7,426,400,000","8,168,500,000","2,007,332,000","2,374,986,000","2,719,070,000","618,435,000","751,295,000","989,890,000","100,000,000","289,092,000","392,989,000","406,625,000","440,580,000","466,235,000"
