name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,12/31/2018,09/30/2018,12/31/2017,09/30/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"47,326,570,000","41,577,804,000","42,401,354,000","42,914,825,000","39,550,502,000","39,177,388,000","39,517,532,000","36,830,185,000","36,051,462,000","35,122,665,000","33,497,341,000","33,943,921,000","31,473,399,000","31,465,087,000","30,855,854,000","26,045,336,000","24,286,207,000","23,774,612,000","23,556,957,000","25,792,461,000","25,234,600,000","24,902,973,000","24,462,484,000","25,084,107,000","24,533,637,000","25,098,439,000","24,606,266,000","25,019,023,000","29,391,845,000","28,590,777,000","28,398,498,000","28,720,763,000","28,889,282,000","28,659,940,000","29,043,565,000","28,381,915,000","28,381,915,000"
	CurrentAssets,"13,295,176,000","9,367,484,000","10,515,879,000","11,692,640,000","7,840,207,000","8,482,879,000","8,980,159,000","7,152,716,000","5,998,574,000","6,203,516,000","4,800,287,000","5,661,717,000","3,386,683,000","3,844,592,000","3,977,033,000","3,816,547,000","2,062,571,000","1,635,738,000","1,345,656,000","3,435,187,000","2,872,087,000","2,996,860,000","2,462,538,000","2,998,130,000","2,459,168,000","3,293,138,000","2,803,496,000","3,156,334,000","2,866,039,000","2,538,875,000","2,451,733,000","2,808,573,000","3,023,099,000","3,248,900,000","3,669,410,000","2,817,240,000","2,817,240,000"
		CashCashEquivalentsAndShortTermInvestments,"10,973,890,000","7,500,193,000","9,118,556,000","10,224,400,000","6,151,457,000","7,141,575,000","7,730,143,000","6,141,940,000","5,188,138,000","5,313,060,000","4,114,919,000","4,886,178,000","2,996,499,000","3,148,494,000","3,252,954,000","3,193,500,000","1,595,502,000","1,188,554,000","882,618,000","2,789,884,000","2,578,620,000","2,641,901,000","2,093,213,000","2,559,733,000","2,097,256,000","2,919,049,000","2,320,126,000","2,658,550,000","2,393,857,000","2,214,549,000","2,092,284,000","2,395,832,000","2,582,722,000","2,828,916,000","3,065,730,000","2,100,771,000","2,100,771,000"
			CashAndCashEquivalents,"10,973,890,000","7,500,193,000","9,118,556,000","10,224,400,000","6,151,457,000","7,141,575,000","7,730,143,000","6,141,940,000","5,188,138,000","5,313,060,000","4,114,919,000","4,886,178,000","2,996,499,000","3,148,494,000","3,252,954,000","3,193,500,000","1,595,502,000","1,188,554,000","882,618,000","2,789,884,000","2,168,187,000","2,234,520,000","1,618,814,000","2,088,965,000","1,663,683,000","2,552,519,000","2,018,958,000","2,290,539,000","2,115,508,000","1,964,049,000","1,865,969,000","2,169,167,000","2,348,807,000","2,588,096,000","2,828,783,000","1,821,150,000","1,821,150,000"
				CashFinancial,,,,,"1,912,047,000",,"1,616,408,000",,"1,560,536,000",,,,"1,171,725,000",,,,"140,638,000",,,,"119,136,000",,,,,,,,,,,,,,,,
				CashEquivalents,,,,,"4,239,410,000",,"6,113,735,000",,"3,627,602,000",,,,"1,824,774,000",,,,"1,454,864,000",,,,"2,049,051,000",,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,"0",,,,"0","0","0","0","410,433,000","407,381,000","474,399,000","470,768,000","433,573,000","366,530,000","301,168,000","368,011,000","278,349,000","250,500,000","226,315,000","226,665,000","233,915,000","240,820,000","236,947,000","279,621,000","279,621,000"
		Receivables,"1,838,539,000","1,479,410,000","1,029,394,000","1,091,287,000","1,615,506,000","992,079,000","1,195,946,000","803,378,000","754,224,000","656,092,000","502,188,000","595,928,000","334,774,000","468,424,000","522,181,000","484,987,000","462,197,000","447,184,000","463,038,000","645,303,000","290,361,000","354,959,000","369,325,000","438,397,000","359,165,000","604,851,000","483,370,000","497,784,000","471,713,000","211,731,000","253,061,000","310,715,000","440,111,000","241,390,000","392,441,000","453,856,000","716,360,000"
			AccountsReceivable,"1,838,539,000","1,479,410,000","1,029,394,000","1,091,287,000","1,395,362,000","992,079,000","997,370,000","803,378,000","607,544,000","656,092,000","502,188,000","595,928,000","159,196,000","468,424,000","522,181,000","484,987,000","337,581,000","305,662,000","373,162,000","486,108,000","207,515,000","223,269,000","290,607,000","361,425,000","244,796,000","483,290,000","375,527,000","394,599,000","294,503,000","211,731,000","253,061,000","310,715,000","297,885,000","241,390,000","392,441,000","453,856,000","456,107,000"
				GrossAccountsReceivable,,,,,"1,444,037,000",,"1,028,898,000",,"638,166,000",,,,"295,611,000",,,,,,,,,,,,,,,,,,,,,,,,
