name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015
MarketCap,"527,374,382,752","472,009,018,911","472,052,003,384","272,741,340,499","195,514,518,696","207,725,339,756"
EnterpriseValue,"494,368,591,844","472,009,018,911","472,052,003,384","272,741,340,499","195,514,518,696","207,725,339,756"
PeRatio,"21.359","46.562","44.865","49.566","19.076","46.853"
ForwardPeRatio,"23.81","26.738","26.042","25.381","22.779","26.316"
PegRatio,"1.224","1.069","0.881","1.003","0.799","0.882"
PsRatio,"7.5","9.338","13.25","13.238","13.943","17.824"
PbRatio,"5.004","6.902","8.494","7.127","5.881","9.407"
EnterprisesValueRevenueRatio,"1.011","1.253","1.886","1.723","1.933","2.726"
EnterprisesValueEBITDARatio,"2.325","3.408","3.747","3.542","2.17","5.26"
